trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,block_name
138337020,1,1,"ALTON PARK",,0,102,shp-1-03,2,2,101
138338020,1,1,"ALTON PARK",,0,1002,shp-1-04,2,2,104
138339020,1,1,"ALTON PARK",,0,602,shp-1-03,2,2,102
138340020,1,1,"ALTON PARK",,0,102,shp-1-03,2,2,101
138341020,1,1,"ALTON PARK",,0,1102,shp-1-03,2,2,105
138342020,1,1,"ALTON PARK",,0,702,shp-1-03,2,2,103
138343020,1,1,"ALTON PARK",,0,1202,shp-1-03,2,2,106
138344020,1,1,"ALTON PARK",,0,602,shp-1-03,2,2,102
138345020,1,1,"ALTON PARK",,0,102,shp-1-03,2,2,101
138346020,1,1,"ALTON PARK",,0,1302,shp-1-03,2,2,107
138347020,1,1,"ALTON PARK",,0,502,shp-1-04,2,2,1015
138349020,1,1,"ALTON PARK",,0,602,shp-1-03,2,2,102
138350020,1,1,"ALTON PARK",,0,102,shp-1-03,2,2,101
138351020,1,1,"ALTON PARK",,0,1402,shp-1-03,2,2,1072
138352020,1,1,"ALTON PARK",,0,202,shp-1-04,2,2,1011
138353020,1,1,"ALTON PARK",,0,8702,shp-1-03,2,2,409
138354020,1,1,"ALTON PARK",,0,902,shp-1-04,2,2,1033
138355020,1,1,"ALTON PARK",,0,1502,shp-1-03,2,2,108
138356020,1,1,"ALTON PARK",,0,302,shp-1-03,2,2,1012
138357020,1,1,"ALTON PARK",,0,2702,shp-1-03,2,2,151
138358020,1,1,"ALTON PARK",,0,202,shp-1-03,2,2,1011
138359020,1,1,"ALTON PARK",,0,4002,shp-1-03,2,2,157
138360020,1,1,"ALTON PARK",,0,3502,shp-1-03,2,2,153
138361020,1,1,"ALTON PARK",,0,402,shp-1-03,2,2,1013
138362020,1,1,"ALTON PARK",,0,3602,shp-1-04,2,2,154
138363020,1,1,"ALTON PARK",,0,2702,shp-1-03,2,2,151
138364020,1,1,"ALTON PARK",,0,3202,shp-1-04,2,2,1518
138365020,1,1,"ALTON PARK",,0,4002,shp-1-03,2,2,157
138366020,1,1,"ALTON PARK",,0,3502,shp-1-03,2,2,153
138367020,1,1,"ALTON PARK",,0,402,shp-1-03,2,2,1013
138368020,1,1,"ALTON PARK",,0,3902,shp-1-03,2,2,156
138369020,1,1,"ALTON PARK",,0,2902,shp-1-04,2,2,1512
138370020,1,1,"ALTON PARK",,0,2702,shp-1-03,2,2,151
138371020,1,1,"ALTON PARK",,0,2802,shp-1-04,2,2,1511
138372020,1,1,"ALTON PARK",,0,4102,shp-1-03,2,2,158
138373020,1,1,"ALTON PARK",,0,402,shp-1-03,2,2,1013
138374020,1,1,"ALTON PARK",,0,3102,shp-1-03,2,2,1514
138375020,1,1,"ALTON PARK",,0,3002,shp-1-03,2,2,1513
138376020,1,1,"ALTON PARK",,0,2802,shp-1-03,2,2,1511
138377020,1,1,"ALTON PARK",,0,3102,shp-1-03,2,2,1514
138378020,1,1,"ALTON PARK",,0,2802,shp-1-03,2,2,1511
138379020,1,1,"ALTON PARK",,0,3102,shp-1-03,2,2,1514
138380020,1,1,"ALTON PARK",,0,2802,shp-1-03,2,2,1511
138381020,1,1,"ALTON PARK",,0,3102,shp-1-03,2,2,1514
138382020,1,1,"DOWNTOWN",,1,102,shp-1-66,2,2,101
138383020,1,1,"DOWNTOWN",,1,1002,shp-1-66,2,2,104
138384020,1,1,"DOWNTOWN",,1,1102,shp-1-66,2,2,105
138385020,1,1,"DOWNTOWN",,1,702,shp-1-66,2,2,103
138386020,1,1,"DOWNTOWN",,1,1202,shp-1-66,2,2,106
138387020,1,1,"DOWNTOWN",,1,602,shp-1-66,2,2,102
138388020,1,1,"DOWNTOWN",,1,102,shp-1-66,2,2,101
138389020,1,1,"DOWNTOWN",,1,502,shp-1-66,2,2,1015
138390020,1,1,"DOWNTOWN",,1,602,shp-1-66,2,2,102
138391020,1,1,"DOWNTOWN",,1,102,shp-1-66,2,2,101
138392020,1,1,"DOWNTOWN",,1,1402,shp-1-66,2,2,1072
138393020,1,1,"DOWNTOWN",,1,202,shp-1-66,2,2,1011
138394020,1,1,"DOWNTOWN",,1,602,shp-1-66,2,2,102
138395020,1,1,"DOWNTOWN",,1,102,shp-1-65,2,2,101
138396020,1,1,"DOWNTOWN",,1,1302,shp-1-66,2,2,107
138398020,1,1,"DOWNTOWN",,1,8702,shp-1-66,2,2,409
138399020,1,1,"DOWNTOWN",,1,902,shp-1-66,2,2,1033
138400020,1,1,"DOWNTOWN",,1,1502,shp-1-66,2,2,108
138401020,1,1,"DOWNTOWN",,1,302,shp-1-66,2,2,1012
138402020,1,1,"DOWNTOWN",,1,2702,shp-1-66,2,2,151
138403020,1,1,"DOWNTOWN",,1,202,shp-1-65,2,2,1011
138404020,1,1,"DOWNTOWN",,1,4002,shp-1-66,2,2,157
138405020,1,1,"DOWNTOWN",,1,3502,shp-1-66,2,2,153
138406020,1,1,"DOWNTOWN",,1,402,shp-1-66,2,2,1013
138407020,1,1,"DOWNTOWN",,1,3602,shp-1-66,2,2,154
138408020,1,1,"DOWNTOWN",,1,2702,shp-1-66,2,2,151
138409020,1,1,"DOWNTOWN",,1,3202,shp-1-66,2,2,1518
138410020,1,1,"DOWNTOWN",,1,4002,shp-1-66,2,2,157
138411020,1,1,"DOWNTOWN",,1,3502,shp-1-66,2,2,153
138412020,1,1,"DOWNTOWN",,1,402,shp-1-66,2,2,1013
138413020,1,1,"DOWNTOWN",,1,3902,shp-1-66,2,2,156
138414020,1,1,"DOWNTOWN",,1,2902,shp-1-66,2,2,1512
138415020,1,1,"DOWNTOWN",,1,2702,shp-1-65,2,2,151
138416020,1,1,"DOWNTOWN",,1,2802,shp-1-66,2,2,1511
138417020,1,1,"DOWNTOWN",,1,4102,shp-1-66,2,2,158
138418020,1,1,"DOWNTOWN",,1,402,shp-1-66,2,2,1013
138419020,1,1,"DOWNTOWN",,1,3102,shp-1-66,2,2,1514
138420020,1,1,"DOWNTOWN",,1,3002,shp-1-66,2,2,1513
138421020,1,1,"DOWNTOWN",,1,2802,shp-1-66,2,2,1511
138422020,1,1,"DOWNTOWN",,1,3102,shp-1-66,2,2,1514
138423020,1,1,"DOWNTOWN",,1,2802,shp-1-66,2,2,1511
138424020,1,1,"DOWNTOWN",,1,3102,shp-1-66,2,2,1514
138425020,1,1,"DOWNTOWN",,1,2802,shp-1-66,2,2,1511
138426020,1,1,"DOWNTOWN",,1,3102,shp-1-65,2,2,1514
138517020,10A,1,"AVONDALE",,0,8702,shp-10A-01,2,2,409
138518020,10A,1,"AVONDALE",,0,102,shp-10A-01,2,2,101
138519020,10A,1,"AVONDALE",,0,402,shp-10A-04,2,2,1013
138520020,10A,1,"AVONDALE",,0,2702,shp-10A-01,2,2,151
138521020,10A,1,"AVONDALE",,0,402,shp-10A-01,2,2,1013
138522020,10A,1,"AVONDALE",,0,402,shp-10A-01,2,2,1013
138523020,10A,1,"AVONDALE",,0,2802,shp-10A-01,2,2,1511
138524020,10A,1,"AVONDALE",,0,2802,shp-10A-01,2,2,1511
138525020,10A,1,"AVONDALE",,0,2802,shp-10A-01,2,2,1511
138526020,10A,1,"AVONDALE",,0,2802,shp-10A-01,2,2,1511
138527020,10A,1,"AVONDALE",,0,102,shp-10A-01,2,2,101
138528020,10A,1,"AVONDALE",,0,902,shp-10A-01,2,2,1033
138529020,10A,1,"AVONDALE",,0,1102,shp-10A-01,2,2,105
138530020,10A,1,"AVONDALE",,0,1202,shp-10A-01,2,2,106
138531020,10A,1,"AVONDALE",,0,502,shp-10A-01,2,2,1015
138532020,10A,1,"AVONDALE",,0,4002,shp-10A-01,2,2,157
138533020,10A,1,"AVONDALE",,0,2702,shp-10A-01,2,2,151
138534020,10A,1,"AVONDALE",,0,4002,shp-10A-01,2,2,157
138535020,10A,1,"AVONDALE",,0,2902,shp-10A-01,2,2,1512
138536020,10A,1,"AVONDALE",,0,402,shp-10A-01,2,2,1013
138537020,10A,1,"AVONDALE",,0,3002,shp-10A-01,2,2,1513
138538020,10A,1,"AVONDALE",,0,102,shp-10A-01,2,2,101
138539020,10A,1,"AVONDALE",,0,1502,shp-10A-01,2,2,108
138540020,10A,1,"DOWNTOWN",,1,702,shp-10A-51,2,2,103
138541020,10A,1,"DOWNTOWN",,1,1202,shp-10A-51,2,2,106
138542020,10A,1,"DOWNTOWN VIA DODSON AVE HEALTH CTR",,1,602,shp-10A-55,2,2,102
138544020,10A,1,"DOWNTOWN VIA DODSON AVE HEALTH CTR",,1,602,shp-10A-55,2,2,102
138545020,10A,1,"DOWNTOWN VIA DODSON AVE HEALTH CTR",,1,1402,shp-10A-55,2,2,1072
138546020,10A,1,"DOWNTOWN VIA DODSON AVE HEALTH CTR",,1,202,shp-10A-55,2,2,1011
138547020,10A,1,"DOWNTOWN VIA DODSON AVE HEALTH CTR",,1,602,shp-10A-57,2,2,102
138548020,10A,1,"DOWNTOWN",,1,3402,shp-10A-52,2,2,152
138549020,10A,1,"DOWNTOWN",,1,3602,shp-10A-59,2,2,154
138550020,10A,1,"DOWNTOWN",,1,4102,shp-10A-51,2,2,158
138551020,10A,1,"DOWNTOWN",,1,4102,shp-10A-59,2,2,158
138552020,10A,1,"DOWNTOWN",,1,3102,shp-10A-52,2,2,1514
138553020,10A,1,"DOWNTOWN",,1,3102,shp-10A-52,2,2,1514
138554020,10A,1,"DOWNTOWN",,1,3102,shp-10A-52,2,2,1514
138555020,10A,1,"DOWNTOWN",,1,3502,shp-10A-52,2,2,153
