entry_no,tatripid,vid,start_pdist,end_pdist,num_docs,start_timestamp,end_timestamp,start_tmstmp,end_tmstmp,route_id
0,139142,150,0,65460,99,1586371920.0,1586374920.0,20200408 14:52,20200408 15:42,16
1,140951,119,1105,416,275,1586382060.0,1586390340.0,20200408 17:41,20200408 19:59,3
2,140350,729,281,9052,38,1586400000.0,1586401140.0,20200408 22:40,20200408 22:59,33
3,138425,148,0,40129,75,1586401500.0,1586403720.0,20200408 23:05,20200408 23:42,1
4,140132,120,99,34409,59,1586347740.0,1586349540.0,20200408 08:09,20200408 08:39,9
5,138359,138,49,30595,64,1586362500.0,1586364360.0,20200408 12:15,20200408 12:46,1
6,138532,138,376,30069,40,1586366640.0,1586367840.0,20200408 13:24,20200408 13:44,10A
7,140141,132,201,34533,59,1586383260.0,1586385000.0,20200408 18:01,20200408 18:30,9
8,138730,137,1030,33029,65,1586380380.0,1586382300.0,20200408 17:13,20200408 17:45,13
9,138551,125,45470,416,80,1586390400.0,1586392140.0,20200408 20:00,20200408 20:29,10A
10,139465,118,36,76375,99,1586381460.0,1586384400.0,20200408 17:31,20200408 18:20,3
11,139299,145,0,15005,36,1586370360.0,1586371440.0,20200408 14:26,20200408 14:44,2
12,139652,145,45,95692,105,1586340300.0,1586343480.0,20200408 06:05,20200408 06:58,4
13,140433,729,0,8107,34,1586375880.0,1586376900.0,20200408 15:58,20200408 16:15,33
14,138738,144,67,34781,69,1586350320.0,1586352360.0,20200408 08:52,20200408 09:26,13
15,140017,141,0,12823,24,1586355360.0,1586356080.0,20200408 10:16,20200408 10:28,8
16,139259,110,884,88159,118,1586359200.0,1586362740.0,20200408 11:20,20200408 12:19,19
17,139999,115,379,2701,35,1586376120.0,1586377140.0,20200408 16:02,20200408 16:19,PO
18,138615,113,418,104065,130,1586339040.0,1586342940.0,20200408 05:44,20200408 06:49,PO
19,138361,120,43,30014,61,1586364960.0,1586366760.0,20200408 12:56,20200408 13:26,1
20,140279,718,292,8763,27,1586378160.0,1586378880.0,20200408 16:36,20200408 16:48,33
21,139995,132,42,410,83,1586365440.0,1586367360.0,20200408 13:04,20200408 13:36,7
22,139674,505,42,73566,123,1586382240.0,1586385960.0,20200408 17:44,20200408 18:46,4
23,139736,149,73,72802,139,1586380500.0,1586384640.0,20200408 17:15,20200408 18:24,4
24,138376,148,522,30134,58,1586385000.0,1586386740.0,20200408 18:30,20200408 18:59,1
25,139996,101,15708,21258,110,1586375220.0,1586377980.0,20200408 15:47,20200408 16:33,7
26,138531,142,303,30069,47,1586349960.0,1586351340.0,20200408 08:46,20200408 09:09,10A
27,139307,150,432,15005,22,1586352120.0,1586352720.0,20200408 09:22,20200408 09:32,2
28,138671,101,129,37675,70,1586356200.0,1586358300.0,20200408 10:30,20200408 11:05,10G
29,140027,141,195,12458,15,1586379960.0,1586380380.0,20200408 17:06,20200408 17:13,8
30,139330,145,721,13726,46,1586383860.0,1586385300.0,20200408 18:11,20200408 18:35,21
31,138366,111,43,30321,65,1586370900.0,1586372820.0,20200408 14:35,20200408 15:07,1
32,139714,118,108,72707,133,1586350500.0,1586354460.0,20200408 08:55,20200408 10:01,4
33,140125,126,418,51881,98,1586374500.0,1586377440.0,20200408 15:35,20200408 16:24,PO
34,139171,131,0,53121,67,1586368260.0,1586370240.0,20200408 13:51,20200408 14:24,16
35,139282,501,180,20128,30,1586375700.0,1586376540.0,20200408 15:55,20200408 16:09,2
36,139435,136,450,34358,40,1586364600.0,1586365740.0,20200408 12:50,20200408 13:09,28
37,139466,119,418,90034,131,1586378100.0,1586382000.0,20200408 16:35,20200408 17:40,PO
38,138636,149,0,57252,106,1586364000.0,1586367180.0,20200408 12:40,20200408 13:33,PO
39,138354,504,438,44696,71,1586355300.0,1586357460.0,20200408 10:15,20200408 10:51,1
40,138349,133,375,30759,64,1586349540.0,1586351460.0,20200408 08:39,20200408 09:11,1
41,139316,148,654,13730,46,1586354520.0,1586355900.0,20200408 10:02,20200408 10:25,21
42,139295,148,432,14870,18,1586362260.0,1586362740.0,20200408 12:11,20200408 12:19,2
43,139160,132,0,53121,60,1586379240.0,1586381040.0,20200408 16:54,20200408 17:24,16
44,138382,130,0,40442,76,1586337660.0,1586339940.0,20200408 05:21,20200408 05:59,1
45,140950,142,2408,373,202,1586379840.0,1586385360.0,20200408 17:04,20200408 18:36,3
46,140387,703,116,8239,27,1586353800.0,1586354580.0,20200408 09:50,20200408 10:03,33
47,139267,150,112,20016,56,1586354640.0,1586356320.0,20200408 10:04,20200408 10:32,2
48,139720,126,106,364,218,1586364000.0,1586369940.0,20200408 12:40,20200408 14:19,4
49,139516,727,0,5183,42,1586362380.0,1586363580.0,20200408 12:13,20200408 12:33,34
50,138337,130,375,30694,53,1586336100.0,1586337660.0,20200408 04:55,20200408 05:21,1
51,139731,118,66,72761,133,1586357700.0,1586361660.0,20200408 10:55,20200408 12:01,4
52,138565,111,70,26357,64,1586378280.0,1586380200.0,20200408 16:38,20200408 17:10,10A
53,138553,134,398,26368,48,1586394300.0,1586395740.0,20200408 21:05,20200408 21:29,10A
54,140948,131,635,70469,88,1586342460.0,1586345100.0,20200408 06:41,20200408 07:25,3
55,139636,132,418,87822,139,1586335500.0,1586339640.0,20200408 04:45,20200408 05:54,PO
56,140451,726,0,7927,23,1586369040.0,1586369700.0,20200408 14:04,20200408 14:15,33
