entry_no,tatripid,vid,start_pdist,end_pdist,num_docs,start_timestamp,end_timestamp,start_tmstmp,end_tmstmp,route_id
0,139696,124,0,87822,132,1586441280.0,1586445240.0,20200409 10:08,20200409 11:14,4
1,140005,139,416,15986,40,1586438400.0,1586439540.0,20200409 09:20,20200409 09:39,PO
2,139350,150,210,0,101,1586454900.0,1586457360.0,20200409 13:55,20200409 14:36,21
3,138540,122,1008,35976,76,1586424000.0,1586426280.0,20200409 05:20,20200409 05:58,PO
4,140361,729,0,8262,30,1586429040.0,1586429940.0,20200409 06:44,20200409 06:59,33
5,140506,703,80,8252,77,1586486520.0,1586488200.0,20200409 22:42,20200409 23:10,33
6,139245,142,1173,61477,106,1586426160.0,1586429400.0,20200409 05:56,20200409 06:50,19
7,140497,729,67,8164,34,1586461440.0,1586462460.0,20200409 15:44,20200409 16:01,33
8,139663,145,42,73585,122,1586470380.0,1586474040.0,20200409 18:13,20200409 19:14,4
9,140122,119,49,36147,58,1586478540.0,1586480280.0,20200409 20:29,20200409 20:58,9
10,139438,137,750,34392,37,1586442120.0,1586443260.0,20200409 10:22,20200409 10:41,28
11,140047,143,186,51300,54,1586461620.0,1586463240.0,20200409 15:47,20200409 16:14,8
12,139737,138,20283,416,163,1586476800.0,1586481120.0,20200409 20:00,20200409 21:12,4
13,139330,503,721,13746,60,1586470380.0,1586472180.0,20200409 18:13,20200409 18:43,21
14,140319,729,265,9053,23,1586471520.0,1586472180.0,20200409 18:32,20200409 18:43,33
15,139309,150,418,28707,56,1586425620.0,1586427300.0,20200409 05:47,20200409 06:15,PO
16,138671,107,1051,37604,62,1586443140.0,1586445000.0,20200409 10:39,20200409 11:10,10G
17,139435,140,750,34377,63,1586451000.0,1586452860.0,20200409 12:50,20200409 13:21,28
18,139324,503,480,13787,54,1586457660.0,1586459220.0,20200409 14:41,20200409 15:07,21
19,138341,136,49,30694,67,1586424900.0,1586426880.0,20200409 05:35,20200409 06:08,1
20,140048,143,194,53073,53,1586464140.0,1586465700.0,20200409 16:29,20200409 16:55,8
21,140365,722,70,8262,24,1586430540.0,1586431260.0,20200409 07:09,20200409 07:21,33
22,139132,127,376,49379,60,1586471460.0,1586473260.0,20200409 18:31,20200409 19:01,16
23,138378,504,130,30321,61,1586478780.0,1586480580.0,20200409 20:33,20200409 21:03,1
24,139669,506,42,73585,115,1586455260.0,1586458740.0,20200409 14:01,20200409 14:59,4
25,138529,136,376,30069,58,1586428800.0,1586430540.0,20200409 06:40,20200409 07:09,10A
26,139500,726,0,5203,25,1586431380.0,1586432160.0,20200409 07:23,20200409 07:36,34
27,138554,130,398,26368,48,1586487600.0,1586489040.0,20200409 23:00,20200409 23:24,10A
28,139754,505,0,72759,143,1586465100.0,1586469420.0,20200409 16:45,20200409 17:57,4
29,138654,504,1051,11465,120,1586491260.0,1586494380.0,20200410 00:01,20200410 00:53,10G
30,138563,117,398,45532,136,1586430900.0,1586434440.0,20200409 07:15,20200409 08:14,10A
31,139301,503,0,15005,22,1586461200.0,1586461860.0,20200409 15:40,20200409 15:51,2
32,140021,143,160,12662,24,1586451300.0,1586452020.0,20200409 12:55,20200409 13:07,8
33,139329,501,654,13815,50,1586468220.0,1586469660.0,20200409 17:37,20200409 18:01,21
34,138616,117,1058,87908,109,1586427600.0,1586430900.0,20200409 06:20,20200409 07:15,10C
35,138733,141,49,32973,61,1586461500.0,1586463300.0,20200409 15:45,20200409 16:15,13
36,139703,145,0,416,213,1586434200.0,1586440020.0,20200409 08:10,20200409 09:47,4
37,138655,127,107,37608,67,1586427900.0,1586429880.0,20200409 06:25,20200409 06:58,10G
38,139120,125,33,11465,168,1586470800.0,1586475300.0,20200409 18:20,20200409 19:35,15
39,138741,111,44,34781,80,1586447040.0,1586449440.0,20200409 11:44,20200409 12:24,13
40,139699,505,0,416,217,1586437800.0,1586443680.0,20200409 09:10,20200409 10:48,4
41,140331,730,56,8974,55,1586476920.0,1586478120.0,20200409 20:02,20200409 20:22,33
42,139571,727,871,871,179,1586464680.0,1586470080.0,20200409 16:38,20200409 18:08,34
43,139503,726,462,5203,17,1586434920.0,1586435400.0,20200409 08:22,20200409 08:30,34
44,139298,504,2294,416,114,1586454900.0,1586457840.0,20200409 13:55,20200409 14:44,2
45,139732,751,97,416,170,1586451600.0,1586456700.0,20200409 13:00,20200409 14:25,4
46,140446,722,90,8078,35,1586466600.0,1586467140.0,20200409 17:10,20200409 17:19,33
47,138394,128,0,40705,67,1586445120.0,1586447160.0,20200409 11:12,20200409 11:46,1
48,140447,722,110,8262,92,1586468400.0,1586470560.0,20200409 17:40,20200409 18:16,33
49,140368,703,70,8262,28,1586431500.0,1586432340.0,20200409 07:25,20200409 07:39,33
50,140345,703,255,9053,82,1586484000.0,1586486460.0,20200409 22:00,20200409 22:41,33
51,138412,122,0,40273,76,1586460360.0,1586462580.0,20200409 15:26,20200409 16:03,1
52,140256,703,241,8940,28,1586439900.0,1586440680.0,20200409 09:45,20200409 09:58,33
53,138660,138,0,37672,67,1586454300.0,1586456280.0,20200409 13:45,20200409 14:18,10G
54,139653,506,418,87822,129,1586420400.0,1586424240.0,20200409 04:20,20200409 05:24,PO
55,140473,730,5985,7804,14,1586476800.0,1586477040.0,20200409 20:00,20200409 20:04,33
56,138627,139,256,41211,61,1586443500.0,1586445300.0,20200409 10:45,20200409 11:15,10G
57,140098,113,418,51869,88,1586423820.0,1586426460.0,20200409 05:17,20200409 06:01,PO
58,139449,140,1740,32698,42,1586455680.0,1586456940.0,20200409 14:08,20200409 14:29,28
59,140425,730,70,8165,39,1586469060.0,1586470200.0,20200409 17:51,20200409 18:10,33
60,140465,729,77,7777,48,1586472240.0,1586473680.0,20200409 18:44,20200409 19:08,33
61,140390,729,209,8158,31,1586445360.0,1586446260.0,20200409 11:16,20200409 11:31,33
62,139288,150,432,14919,23,1586432640.0,1586433300.0,20200409 07:44,20200409 07:55,2
63,139315,504,117,13759,27,1586439780.0,1586440560.0,20200409 09:43,20200409 09:56,21
64,138405,144,105,40541,68,1586452080.0,1586454120.0,20200409 13:08,20200409 13:42,1
65,139171,115,283,53121,55,1586455020.0,1586456640.0,20200409 13:57,20200409 14:24,16
66,138658,124,106,11465,130,1586433000.0,1586436900.0,20200409 07:50,20200409 08:55,10G
67,140105,131,49,36081,59,1586426520.0,1586428260.0,20200409 06:02,20200409 06:31,9
68,138620,144,376,87746,108,1586461500.0,1586464740.0,20200409 15:45,20200409 16:39,10C
69,139308,503,416,416,34,1586476800.0,1586477220.0,20200409 20:00,20200409 20:07,PI
70,140135,131,535,34517,59,1586428320.0,1586430060.0,20200409 06:32,20200409 07:01,9
71,140392,729,245,8158,29,1586449020.0,1586449800.0,20200409 12:17,20200409 12:30,33
72,139988,128,42,416,90,1586458380.0,1586460480.0,20200409 14:53,20200409 15:28,7
73,140398,730,523,8162,32,1586443920.0,1586444880.0,20200409 10:52,20200409 11:08,33
74,140401,703,0,8164,31,1586440740.0,1586441640.0,20200409 09:59,20200409 10:14,33
75,139170,501,0,52911,83,1586445300.0,1586447820.0,20200409 11:15,20200409 11:57,16
76,140502,729,681,8102,29,1586466960.0,1586467800.0,20200409 17:16,20200409 17:30,33
77,140033,143,248,53073,65,1586427900.0,1586429820.0,20200409 06:25,20200409 06:57,8
78,139998,142,0,2701,35,1586425080.0,1586426100.0,20200409 05:38,20200409 05:55,7
79,138358,125,42,30321,55,1586447940.0,1586449560.0,20200409 11:59,20200409 12:26,1
80,139660,136,418,87822,145,1586456820.0,1586461140.0,20200409 14:27,20200409 15:39,PO
81,138347,138,418,44658,86,1586431500.0,1586434080.0,20200409 07:25,20200409 08:08,PO
82,139990,136,47,416,83,1586432700.0,1586435100.0,20200409 07:45,20200409 08:25,7
83,139137,139,1058,49232,71,1586462400.0,1586464500.0,20200409 16:00,20200409 16:35,16
84,139429,140,399,34284,40,1586469480.0,1586470680.0,20200409 17:58,20200409 18:18,28
85,138546,125,221,28826,48,1586446500.0,1586447880.0,20200409 11:35,20200409 11:58,10A
86,140242,729,166,8958,26,1586440800.0,1586441580.0,20200409 10:00,20200409 10:13,33
87,139678,148,418,87822,137,1586455800.0,1586459940.0,20200409 14:10,20200409 15:19,PO
88,139460,140,3339,0,153,1586470680.0,1586474700.0,20200409 18:18,20200409 19:25,28
89,139313,150,370,13764,47,1586433300.0,1586434680.0,20200409 07:55,20200409 08:18,21
90,138619,107,418,102805,119,1586430900.0,1586434500.0,20200409 07:15,20200409 08:15,PO
91,138545,139,398,28887,47,1586445360.0,1586446740.0,20200409 11:16,20200409 11:39,10A
92,138399,142,0,40622,76,1586443620.0,1586445900.0,20200409 10:47,20200409 11:25,1
93,138742,111,44,416,133,1586450700.0,1586454360.0,20200409 12:45,20200409 13:46,13
94,139744,148,74,72736,148,1586468700.0,1586473140.0,20200409 17:45,20200409 18:59,4
95,140252,730,56,9040,37,1586442840.0,1586443920.0,20200409 10:34,20200409 10:52,33
96,139676,150,119,73585,108,1586476800.0,1586480040.0,20200409 20:00,20200409 20:54,4
97,139672,137,13937,87822,117,1586452860.0,1586456340.0,20200409 13:21,20200409 14:19,4
98,139646,506,0,73585,116,1586427960.0,1586431440.0,20200409 06:26,20200409 07:24,4
99,140236,727,141,9052,35,1586435640.0,1586436600.0,20200409 08:34,20200409 08:50,33
100,138630,144,376,40753,54,1586454180.0,1586455800.0,20200409 13:43,20200409 14:10,10G
101,140011,143,0,12390,12,1586427540.0,1586427900.0,20200409 06:19,20200409 06:25,8
102,140144,139,351,34609,46,1586453640.0,1586455020.0,20200409 13:34,20200409 13:57,9
103,139742,150,99,416,199,1586487300.0,1586492700.0,20200409 22:55,20200410 00:25,4
104,138351,139,42,30537,54,1586439600.0,1586441220.0,20200409 09:40,20200409 10:07,1
105,139106,125,64,25409,35,1586460720.0,1586461740.0,20200409 15:32,20200409 15:49,15
106,139739,150,102,72759,146,1586464200.0,1586468580.0,20200409 16:30,20200409 17:43,4
107,139697,107,418,95652,102,1586465280.0,1586468340.0,20200409 16:48,20200409 17:39,PO
108,138426,130,0,416,129,1586490720.0,1586494380.0,20200409 23:52,20200410 00:53,1
109,138626,128,376,41228,61,1586439840.0,1586441700.0,20200409 09:44,20200409 10:15,10G
110,140013,143,0,11867,24,1586432220.0,1586432940.0,20200409 07:37,20200409 07:49,8
111,140243,729,439,8974,20,1586442600.0,1586443200.0,20200409 10:30,20200409 10:40,33
112,140244,729,312,8974,26,1586444580.0,1586445300.0,20200409 11:03,20200409 11:15,33
113,140027,143,0,11716,29,1586465760.0,1586466600.0,20200409 16:56,20200409 17:10,8
114,139352,503,0,9661,25,1586459280.0,1586460000.0,20200409 15:08,20200409 15:20,21
115,140123,112,49,36203,84,1586430300.0,1586432760.0,20200409 07:05,20200409 07:46,9
116,140103,132,0,36161,82,1586443500.0,1586445960.0,20200409 10:45,20200409 11:26,9
117,138356,115,42,30509,62,1586444220.0,1586446080.0,20200409 10:57,20200409 11:28,1
118,139576,727,871,871,177,1586470140.0,1586475480.0,20200409 18:09,20200409 19:38,34
119,139695,129,418,43120,68,1586429760.0,1586431800.0,20200409 06:56,20200409 07:30,PO
120,140007,120,416,15986,22,1586444580.0,1586445240.0,20200409 11:03,20200409 11:14,PO
121,140040,143,532,52599,70,1586444820.0,1586446860.0,20200409 11:07,20200409 11:41,8
122,139177,115,1350,52805,56,1586463480.0,1586465100.0,20200409 16:18,20200409 16:45,16
123,139278,503,7,20128,44,1586464200.0,1586465520.0,20200409 16:30,20200409 16:52,2
124,139152,113,113,52571,72,1586430120.0,1586432280.0,20200409 07:02,20200409 07:38,16
125,,134,0,0,5673,1586418900.0,1586476740.0,20200409 03:55,20200409 19:59,U
126,139450,140,2452,33348,34,1586452920.0,1586453940.0,20200409 13:22,20200409 13:39,28
127,140396,730,271,240,34,1586440200.0,1586441160.0,20200409 09:50,20200409 10:06,33
128,140109,118,49,36318,71,1586453100.0,1586455260.0,20200409 13:25,20200409 14:01,9
129,140300,722,96,8747,38,1586461860.0,1586462940.0,20200409 15:51,20200409 16:09,33
130,138552,130,398,26368,49,1586473500.0,1586474940.0,20200409 19:05,20200409 19:29,10A
131,140372,727,436,8102,23,1586433120.0,1586433780.0,20200409 07:52,20200409 08:03,33
132,139292,504,66,15176,22,1586442600.0,1586443200.0,20200409 10:30,20200409 10:40,2
133,140245,729,291,9052,22,1586446320.0,1586446920.0,20200409 11:32,20200409 11:42,33
134,138732,141,418,48662,84,1586457120.0,1586459640.0,20200409 14:32,20200409 15:14,PO
135,140473,730,70,8262,42,1586476080.0,1586476740.0,20200409 19:48,20200409 19:59,33
136,140246,729,439,8896,34,1586447940.0,1586448960.0,20200409 11:59,20200409 12:16,33
137,140041,143,263,51135,60,1586447340.0,1586449080.0,20200409 11:49,20200409 12:18,8
138,140014,143,756,12390,9,1586434920.0,1586435160.0,20200409 08:22,20200409 08:26,8
139,138556,117,168,26352,62,1586467920.0,1586469780.0,20200409 17:32,20200409 18:03,10A
140,139650,149,375,73585,99,1586432040.0,1586435040.0,20200409 07:34,20200409 08:24,4
141,140230,729,312,8974,27,1586433720.0,1586434560.0,20200409 08:02,20200409 08:16,33
142,139637,751,418,87822,138,1586432700.0,1586436840.0,20200409 07:45,20200409 08:54,PO
143,138392,139,0,39548,74,1586441220.0,1586443440.0,20200409 10:07,20200409 10:44,1
144,140309,729,7920,8410,3,1586459700.0,1586459760.0,20200409 15:15,20200409 15:16,33
145,138415,120,0,0,235,1586464200.0,1586470680.0,20200409 16:30,20200409 18:18,1
146,138622,111,418,103950,136,1586464320.0,1586468460.0,20200409 16:32,20200409 17:41,PO
147,139733,112,115,416,280,1586467800.0,1586475600.0,20200409 17:30,20200409 19:40,4
148,139323,501,418,28787,60,1586455800.0,1586457540.0,20200409 14:10,20200409 14:39,PO
149,140148,115,236,34888,60,1586451240.0,1586452980.0,20200409 12:54,20200409 13:23,9
150,140219,722,1264,8410,25,1586429820.0,1586430540.0,20200409 06:57,20200409 07:09,33
151,139102,144,64,25409,41,1586433540.0,1586434800.0,20200409 07:59,20200409 08:20,15
152,140234,722,93,8767,34,1586434860.0,1586435880.0,20200409 08:21,20200409 08:38,33
153,138419,130,0,40442,74,1586469480.0,1586471700.0,20200409 17:58,20200409 18:35,1
154,139502,726,0,4938,27,1586433660.0,1586434440.0,20200409 08:01,20200409 08:14,34
155,139139,132,418,65588,112,1586438400.0,1586441760.0,20200409 09:20,20200409 10:16,PO
156,139164,119,0,52440,59,1586476800.0,1586478540.0,20200409 20:00,20200409 20:29,16
157,140247,729,402,8565,25,1586449860.0,1586450580.0,20200409 12:31,20200409 12:43,33
158,138652,504,737,37645,65,1586476860.0,1586478780.0,20200409 20:01,20200409 20:33,10G
159,140226,727,131,9052,37,1586431980.0,1586433120.0,20200409 07:33,20200409 07:52,33
160,139331,501,654,13699,48,1586472360.0,1586473800.0,20200409 18:46,20200409 19:10,21
161,138549,112,398,416,123,1586458200.0,1586461320.0,20200409 14:50,20200409 15:42,10A
162,139146,119,590,49564,57,1586445360.0,1586447040.0,20200409 11:16,20200409 11:44,16
163,138750,141,535,376,238,1586467440.0,1586474640.0,20200409 17:24,20200409 19:24,13
164,138421,504,0,40334,58,1586473320.0,1586475000.0,20200409 19:02,20200409 19:30,1
165,138641,101,919,41228,64,1586463900.0,1586465820.0,20200409 16:25,20200409 16:57,10G
166,140349,730,56,9052,31,1586486100.0,1586487000.0,20200409 22:35,20200409 22:50,33
167,138639,126,376,41228,152,1586435100.0,1586440200.0,20200409 08:25,20200409 09:50,10G
168,140024,143,218,12390,27,1586458500.0,1586459280.0,20200409 14:55,20200409 15:08,8
169,139993,107,375,416,150,1586445000.0,1586448960.0,20200409 11:10,20200409 12:16,7
170,140320,730,97,8929,29,1586471700.0,1586472540.0,20200409 18:35,20200409 18:49,33
171,140426,703,70,8151,34,1586449500.0,1586450520.0,20200409 12:25,20200409 12:42,33
172,138362,112,82,44608,75,1586452200.0,1586454420.0,20200409 13:10,20200409 13:47,1
173,140421,730,209,8262,23,1586461920.0,1586462580.0,20200409 15:52,20200409 16:03,33
174,139321,504,721,11527,37,1586452080.0,1586453160.0,20200409 13:08,20200409 13:26,21
175,139248,113,1454,60832,88,1586463480.0,1586466120.0,20200409 16:18,20200409 17:02,19
176,140324,730,96,8974,25,1586473860.0,1586474580.0,20200409 19:11,20200409 19:23,33
177,139638,505,42,73585,119,1586434200.0,1586437740.0,20200409 08:10,20200409 09:09,4
178,140131,112,63,33730,64,1586432820.0,1586434740.0,20200409 07:47,20200409 08:19,9
179,140339,730,1239,8575,23,1586480820.0,1586481480.0,20200409 21:07,20200409 21:18,33
180,139689,505,42,73121,128,1586461200.0,1586465040.0,20200409 15:40,20200409 16:44,4
181,139109,125,64,25409,35,1586469720.0,1586471220.0,20200409 18:02,20200409 18:27,15
182,140001,127,0,15986,34,1586458860.0,1586459820.0,20200409 15:01,20200409 15:17,7
183,139157,112,0,53121,68,1586443500.0,1586445540.0,20200409 10:45,20200409 11:19,16
184,139175,119,0,11465,163,1586447100.0,1586451360.0,20200409 11:45,20200409 12:56,16
185,140008,138,0,0,2,1586447940.0,1586447940.0,20200409 11:59,20200409 11:59,7
186,140022,143,221,12823,21,1586453760.0,1586454360.0,20200409 13:36,20200409 13:46,8
187,140035,143,432,53073,64,1586433000.0,1586434920.0,20200409 07:50,20200409 08:22,8
188,139336,150,721,13473,25,1586437320.0,1586438040.0,20200409 09:02,20200409 09:14,21
189,,135,0,0,545,1586476800.0,1586502000.0,20200409 20:00,20200410 03:00,U
190,139715,503,0,72778,114,1586422800.0,1586426460.0,20200409 05:00,20200409 06:01,4
191,139250,141,1446,61477,81,1586437260.0,1586439720.0,20200409 09:01,20200409 09:42,19
192,140315,729,166,8632,29,1586462460.0,1586463300.0,20200409 16:01,20200409 16:15,33
193,139717,129,11125,79245,87,1586431860.0,1586434440.0,20200409 07:31,20200409 08:14,4
194,138633,130,102,41053,58,1586471700.0,1586473440.0,20200409 18:35,20200409 19:04,10G
195,139713,503,106,71846,130,1586436000.0,1586439900.0,20200409 08:40,20200409 09:45,4
196,139734,118,416,416,40,1586476800.0,1586478000.0,20200409 20:00,20200409 20:20,PI
197,140275,730,166,8933,36,1586457120.0,1586458200.0,20200409 14:32,20200409 14:50,33
198,138731,142,418,48685,89,1586451600.0,1586454300.0,20200409 13:00,20200409 13:45,PO
199,140039,143,432,52594,59,1586442600.0,1586444340.0,20200409 10:30,20200409 10:59,8
200,139750,132,0,91913,175,1586471460.0,1586476740.0,20200409 18:31,20200409 19:59,4
201,139728,145,41185,72664,59,1586476800.0,1586478540.0,20200409 20:00,20200409 20:29,4
202,139311,150,370,13708,36,1586429820.0,1586430900.0,20200409 06:57,20200409 07:15,21
203,139322,150,672,13667,50,1586453400.0,1586454840.0,20200409 13:30,20200409 13:54,21
204,139349,504,583,9612,31,1586453220.0,1586454120.0,20200409 13:27,20200409 13:42,21
205,139341,150,0,9787,22,1586434740.0,1586435400.0,20200409 08:19,20200409 08:30,21
206,140229,722,56,8694,31,1586433180.0,1586434080.0,20200409 07:53,20200409 08:08,33
207,139155,112,0,52962,77,1586436060.0,1586438400.0,20200409 08:41,20200409 09:20,16
208,139291,150,432,15005,20,1586440260.0,1586440800.0,20200409 09:51,20200409 10:00,2
209,138738,111,44,34781,82,1586435880.0,1586438340.0,20200409 08:38,20200409 09:19,13
210,139148,115,376,49542,78,1586461080.0,1586463420.0,20200409 15:38,20200409 16:17,16
211,138560,101,70,416,258,1586465880.0,1586473080.0,20200409 16:58,20200409 18:58,10A
212,138661,120,393,37751,69,1586460300.0,1586462340.0,20200409 15:25,20200409 15:59,10G
213,139462,125,131,90313,87,1586426280.0,1586428860.0,20200409 05:58,20200409 06:41,3
214,138739,111,44,34781,85,1586439480.0,1586442000.0,20200409 09:38,20200409 10:20,13
215,139542,726,116,5020,11,1586433360.0,1586433660.0,20200409 07:56,20200409 08:01,34
216,139991,138,0,416,136,1586439900.0,1586443320.0,20200409 09:45,20200409 10:42,7
217,140274,730,439,9037,24,1586455560.0,1586456220.0,20200409 14:06,20200409 14:17,33
218,140038,143,432,52989,55,1586440140.0,1586441760.0,20200409 09:49,20200409 10:16,8
219,139459,137,1696,33340,59,1586440380.0,1586442120.0,20200409 09:53,20200409 10:22,28
220,140142,127,79,34517,55,1586476980.0,1586478600.0,20200409 20:03,20200409 20:30,9
221,139296,504,149,15061,28,1586451240.0,1586452020.0,20200409 12:54,20200409 13:07,2
222,139246,142,973,61477,86,1586432520.0,1586435100.0,20200409 07:42,20200409 08:25,19
223,140002,111,66,2701,34,1586454720.0,1586455740.0,20200409 13:52,20200409 14:09,7
224,138346,126,0,30065,65,1586431080.0,1586433060.0,20200409 07:18,20200409 07:51,1
225,140270,722,56,8566,33,1586436660.0,1586437620.0,20200409 08:51,20200409 09:07,33
226,139317,504,721,13765,52,1586443260.0,1586444760.0,20200409 10:41,20200409 11:06,21
227,139249,113,34,61477,79,1586469660.0,1586472000.0,20200409 18:01,20200409 18:40,19
228,139691,145,49,73585,129,1586450100.0,1586453940.0,20200409 12:35,20200409 13:39,4
229,139443,137,91,33825,60,1586436360.0,1586438220.0,20200409 08:46,20200409 09:17,28
230,140046,143,432,52964,53,1586459340.0,1586460900.0,20200409 15:09,20200409 15:35,8
231,140399,730,209,8233,34,1586445720.0,1586446740.0,20200409 11:22,20200409 11:39,33
232,138365,138,42,21732,106,1586456280.0,1586459520.0,20200409 14:18,20200409 15:12,1
233,139165,132,0,11465,165,1586449500.0,1586453880.0,20200409 12:25,20200409 13:38,16
234,139433,140,341,34379,50,1586457000.0,1586458500.0,20200409 14:30,20200409 14:55,28
235,140140,127,0,33861,63,1586461920.0,1586463780.0,20200409 15:52,20200409 16:23,9
236,139549,727,868,871,170,1586441220.0,1586446320.0,20200409 10:07,20200409 11:32,34
237,140257,703,252,8974,24,1586441700.0,1586442360.0,20200409 10:15,20200409 10:26,33
238,140423,729,64,8262,80,1586465340.0,1586466960.0,20200409 16:49,20200409 17:16,33
239,138720,111,365,32939,47,1586427120.0,1586428500.0,20200409 06:12,20200409 06:35,13
240,139545,726,497,5011,31,1586436480.0,1586437560.0,20200409 08:48,20200409 09:06,34
241,140378,703,0,8144,31,1586435220.0,1586436120.0,20200409 08:27,20200409 08:42,33
242,140017,143,0,12177,25,1586441820.0,1586442540.0,20200409 10:17,20200409 10:29,8
243,139312,504,654,13698,29,1586432220.0,1586433060.0,20200409 07:37,20200409 07:51,21
244,140137,119,235,34888,61,1586443500.0,1586445360.0,20200409 10:45,20200409 11:16,9
245,139297,150,59,15261,19,1586452800.0,1586453340.0,20200409 13:20,20200409 13:29,2
246,140327,730,56,8048,51,1586475300.0,1586476200.0,20200409 19:35,20200409 19:50,33
247,140112,127,49,36179,66,1586474760.0,1586476740.0,20200409 19:26,20200409 19:59,9
248,140225,729,56,8956,35,1586431620.0,1586432640.0,20200409 07:27,20200409 07:44,33
249,139461,131,418,90129,108,1586421180.0,1586424420.0,20200409 04:33,20200409 05:27,PO
250,138567,111,70,26368,78,1586468460.0,1586470800.0,20200409 17:41,20200409 18:20,10A
251,139173,119,87,52538,74,1586469000.0,1586471160.0,20200409 17:50,20200409 18:26,16
252,138669,120,138,37861,71,1586451900.0,1586454000.0,20200409 13:05,20200409 13:40,10G
253,140469,730,0,8262,22,1586474640.0,1586475240.0,20200409 19:24,20200409 19:34,33
254,138398,129,0,40492,73,1586436540.0,1586438700.0,20200409 08:49,20200409 09:25,1
255,138350,127,375,30421,52,1586438400.0,1586439960.0,20200409 09:20,20200409 09:46,1
256,139655,503,375,73585,97,1586439960.0,1586442840.0,20200409 09:46,20200409 10:34,4
257,139642,134,42,73585,96,1586437560.0,1586440440.0,20200409 09:06,20200409 09:54,4
258,138665,128,1378,36648,58,1586426700.0,1586428440.0,20200409 06:05,20200409 06:34,10G
259,140948,125,11,70080,67,1586428860.0,1586430840.0,20200409 06:41,20200409 07:14,3
260,138389,138,0,40442,76,1586434080.0,1586436360.0,20200409 08:08,20200409 08:46,1
261,138359,138,0,21732,115,1586448840.0,1586452320.0,20200409 12:14,20200409 13:12,1
262,139304,501,57,15065,26,1586467380.0,1586468160.0,20200409 17:23,20200409 17:36,2
263,139720,149,101,390,223,1586450400.0,1586456520.0,20200409 12:40,20200409 14:22,4
264,139989,101,42,416,97,1586438700.0,1586441040.0,20200409 09:25,20200409 10:04,7
265,139255,141,0,364,176,1586451660.0,1586456460.0,20200409 13:01,20200409 14:21,19
266,139279,503,365,20039,35,1586468520.0,1586469600.0,20200409 17:42,20200409 18:00,2
267,140151,119,535,34866,49,1586473560.0,1586475000.0,20200409 19:06,20200409 19:30,9
268,140112,127,36179,36179,6,1586476800.0,1586476920.0,20200409 20:00,20200409 20:02,9
269,139758,149,12274,416,246,1586485740.0,1586492580.0,20200409 22:29,20200410 00:23,4
270,138521,122,376,29805,43,1586455740.0,1586457000.0,20200409 14:09,20200409 14:30,10A
271,138645,127,210,37861,72,1586444760.0,1586446920.0,20200409 11:06,20200409 11:42,10G
272,139159,751,0,11465,167,1586459100.0,1586463540.0,20200409 15:05,20200409 16:19,16
273,139300,501,432,14959,22,1586459160.0,1586459760.0,20200409 15:06,20200409 15:16,2
274,138420,117,0,39610,66,1586471520.0,1586473500.0,20200409 18:32,20200409 19:05,1
275,139136,139,340,48749,54,1586455080.0,1586456640.0,20200409 13:58,20200409 14:24,16
276,139692,149,33704,73585,49,1586476800.0,1586478240.0,20200409 20:00,20200409 20:24,4
277,139268,504,106,20125,44,1586445240.0,1586446560.0,20200409 11:14,20200409 11:36,2
278,139673,150,418,87822,148,1586459700.0,1586464140.0,20200409 15:15,20200409 16:29,PO
279,139668,112,418,87822,143,1586463420.0,1586467740.0,20200409 16:17,20200409 17:29,PO
280,140439,722,70,8206,34,1586453880.0,1586454840.0,20200409 13:38,20200409 13:54,33
281,139648,148,418,87822,132,1586428380.0,1586432340.0,20200409 06:33,20200409 07:39,PO
282,139332,501,62,13789,35,1586477640.0,1586478660.0,20200409 20:14,20200409 20:31,21
283,140154,128,235,34632,59,1586463900.0,1586465640.0,20200409 16:25,20200409 16:54,9
284,140283,703,100,9052,29,1586452440.0,1586453220.0,20200409 13:14,20200409 13:27,33
285,139118,125,33,24731,37,1586465580.0,1586466660.0,20200409 16:53,20200409 17:11,15
286,138353,129,0,30537,68,1586434500.0,1586436480.0,20200409 08:15,20200409 08:48,1
