,tatripid,vid,start_pdist,end_pdist,num_docs,start_timestamp,end_timestamp,start_tmstmp,end_tmstmp,route_id,destination
0,139439,136,418,48510,55,1586512800.0,1586514480.0,20200410 06:00,20200410 06:28,PO,
1,139999,103,416,2701,30,1586548920.0,1586549820.0,20200410 16:02,20200410 16:17,PO,
2,139308,128,33306,416,129,1586563200.0,1586567040.0,20200410 20:00,20200410 21:04,2,DOWNTOWN
3,140401,730,70,8152,34,1586526960.0,1586527980.0,20200410 09:56,20200410 10:13,33,SHUTTLE PARK SOUTH
4,138659,135,0,37861,59,1586524440.0,1586526240.0,20200410 09:14,20200410 09:44,10G,DOWNTOWN
5,139717,128,64,79314,103,1586518200.0,1586521260.0,20200410 07:30,20200410 08:21,4,DOWNTOWN EXPRESS
6,140122,112,49,36148,66,1586564760.0,1586566740.0,20200410 20:26,20200410 20:59,9,EAST LAKE  
7,138423,150,0,40302,56,1586566920.0,1586568600.0,20200410 21:02,20200410 21:30,1,DOWNTOWN
8,139559,727,393,4995,33,1586537760.0,1586538720.0,20200410 12:56,20200410 13:12,34,SHUTTLE PARK NORTH
9,139647,501,53,73585,104,1586516520.0,1586519640.0,20200410 07:02,20200410 07:54,4,EASTGATE HAMILTON PL
10,140261,730,56,9052,31,1586535000.0,1586535900.0,20200410 12:10,20200410 12:25,33,SHUTTLE PARK NORTH
11,139442,136,860,34305,40,1586520060.0,1586521260.0,20200410 08:01,20200410 08:21,28,CHATTANOOGA STATE
12,139657,501,69,73585,100,1586531040.0,1586534040.0,20200410 11:04,20200410 11:54,4,EASTGATE HAMILTON PL
13,138546,126,398,28622,44,1586533140.0,1586534460.0,20200410 11:39,20200410 12:01,10A,DOWNTOWN VIA DODSON AVE HEALTH CTR
14,140460,729,209,8207,21,1586556420.0,1586557020.0,20200410 18:07,20200410 18:17,33,SHUTTLE PARK SOUTH
15,139118,107,33,24731,62,1586551200.0,1586553060.0,20200410 16:40,20200410 17:11,15,DOWNTOWN 
