entry_no,tatripid,vid,start_pdist,end_pdist,num_docs,start_timestamp,end_timestamp,start_tmstmp,end_tmstmp,route_id
0,139736,149,381,72639,137,1585948860.0,1585953000.0,20200403 17:21,20200403 18:30,4
1,140400,730,489,8060,23,1585929060.0,1585929720.0,20200403 11:51,20200403 12:02,33
2,139996,129,42,21351,98,1585943640.0,1585946040.0,20200403 15:54,20200403 16:34,7
3,140280,730,439,8644,30,1585948020.0,1585948860.0,20200403 17:07,20200403 17:21,33
4,139579,726,231,6419,109,1585955640.0,1585958280.0,20200403 19:14,20200403 19:58,34
5,139656,501,418,87822,143,1585927620.0,1585931940.0,20200403 11:27,20200403 12:39,PO
6,139165,140,1046,11465,135,1585931640.0,1585935120.0,20200403 12:34,20200403 13:32,16
7,139436,103,341,34411,68,1585929600.0,1585931640.0,20200403 12:00,20200403 12:34,28
8,139305,117,0,15261,30,1585950900.0,1585951740.0,20200403 17:55,20200403 18:09,2
9,138357,130,117,30694,63,1585927200.0,1585929060.0,20200403 11:20,20200403 11:51,1
10,139558,726,126,4974,12,1585932360.0,1585932660.0,20200403 12:46,20200403 12:51,34
11,139739,145,10673,72462,240,1585945800.0,1585950240.0,20200403 16:30,20200403 17:44,4
12,138645,134,393,37861,59,1585926480.0,1585928220.0,20200403 11:08,20200403 11:37,10G
13,140104,101,49,35862,70,1585909860.0,1585911900.0,20200403 06:31,20200403 07:05,9
14,138524,148,543,29905,59,1585956600.0,1585958340.0,20200403 19:30,20200403 19:59,10A
15,138726,128,68,32811,50,1585930860.0,1585932360.0,20200403 12:21,20200403 12:46,13
16,139324,117,728,13775,40,1585939200.0,1585940640.0,20200403 14:40,20200403 15:04,21
17,140035,141,532,53073,70,1585914420.0,1585916520.0,20200403 07:47,20200403 08:22,8
18,138400,124,0,40555,73,1585920420.0,1585922640.0,20200403 09:27,20200403 10:04,1
19,138624,132,376,40864,53,1585926540.0,1585928100.0,20200403 11:09,20200403 11:35,10G
20,139448,103,2260,33340,32,1585940580.0,1585941540.0,20200403 15:03,20200403 15:19,28
21,140112,138,49,30963,57,1585956660.0,1585958340.0,20200403 19:31,20200403 19:59,9
22,138647,142,129,37546,72,1585938300.0,1585940460.0,20200403 14:25,20200403 15:01,10G
23,139148,143,1091,49564,80,1585942500.0,1585944900.0,20200403 15:35,20200403 16:15,16
24,140117,122,243,36212,66,1585929480.0,1585931400.0,20200403 11:58,20200403 12:30,9
25,139258,138,884,88657,109,1585921320.0,1585924740.0,20200403 09:42,20200403 10:39,19
26,139120,118,33,11465,175,1585952400.0,1585957020.0,20200403 18:20,20200403 19:37,15
27,139362,504,1020,6361,8,1585958160.0,1585958340.0,20200403 19:56,20200403 19:59,21
28,139538,726,0,13837,37,1585911660.0,1585912800.0,20200403 07:01,20200403 07:20,34
29,138401,143,0,40705,80,1585927740.0,1585930140.0,20200403 11:29,20200403 12:09,1
30,140217,718,546,8622,28,1585910640.0,1585911420.0,20200403 06:44,20200403 06:57,33
31,138385,107,0,40592,78,1585909620.0,1585911900.0,20200403 06:27,20200403 07:05,1
