,tatripid,vid,start_pdist,end_pdist,num_docs,start_timestamp,end_timestamp,start_tmstmp,end_tmstmp,route_id,destination
0,140410,703,8102,7744,38,1585839840.0,1585840860.0,20200402 11:04,20200402 11:21,33,SHUTTLE PARK SOUTH
1,138394,126,0,40639,80,1585840020.0,1585842420.0,20200402 11:07,20200402 11:47,1,DOWNTOWN
2,139512,727,4426,5201,23,1585839540.0,1585840260.0,20200402 10:59,20200402 11:11,34,TREMONT + FRAZIER
3,138667,104,436,36648,70,1585831800.0,1585833900.0,20200402 08:50,20200402 09:25,10G,DOWNTOWN
4,138883,144,322,4105,35,1585827540.0,1585828500.0,20200402 07:39,20200402 07:55,14,MACLELLAN GYM UNIVERSITY CTR
5,138837,142,3548,9600,18,1585865520.0,1585866060.0,20200402 18:12,20200402 18:21,14,MCCALLIE + HOUSTON
6,138566,113,1645,26368,46,1585861620.0,1585863000.0,20200402 17:07,20200402 17:30,10A,DOWNTOWN
7,138390,126,342,40563,68,1585833060.0,1585835100.0,20200402 09:11,20200402 09:45,1,DOWNTOWN
8,140007,119,416,15986,30,1585839600.0,1585840440.0,20200402 11:00,20200402 11:14,PO,
9,139746,118,103,416,258,1585878900.0,1585886040.0,20200402 21:55,20200402 23:54,4,DOWNTOWN
10,139463,125,79,76702,94,1585826040.0,1585828860.0,20200402 07:14,20200402 08:01,3,ENTERPRISE SOUTH
11,138807,144,5285,8844,15,1585860360.0,1585860780.0,20200402 16:46,20200402 16:53,14,MCCALLIE + HOUSTON
12,139547,727,243,4811,13,1585833900.0,1585834260.0,20200402 09:25,20200402 09:31,34,SHUTTLE PARK NORTH
13,139285,148,179,15176,17,1585822560.0,1585823040.0,20200402 06:16,20200402 06:24,2,DOWNTOWN
14,140423,730,2142,7993,52,1585860600.0,1585862100.0,20200402 16:50,20200402 17:15,33,SHUTTLE PARK SOUTH
15,138350,129,42,30694,53,1585833600.0,1585835220.0,20200402 09:20,20200402 09:47,1,ALTON PARK
16,140484,730,978,0,14,1585876740.0,1585877160.0,20200402 21:19,20200402 21:26,33,SHUTTLE PARK SOUTH
17,138881,142,134,4100,37,1585872060.0,1585873140.0,20200402 20:01,20200402 20:19,14,MACLELLAN GYM UNIVERSITY CTR
18,140051,136,432,53215,55,1585866420.0,1585868100.0,20200402 18:27,20200402 18:55,8,GERMANTOWN + BRAINERD RD
19,139341,149,346,9598,27,1585829760.0,1585830540.0,20200402 08:16,20200402 08:29,21,DOWNTOWN
20,138954,142,129,4100,29,1585849260.0,1585850160.0,20200402 13:41,20200402 13:56,14,MACLELLAN GYM UNIVERSITY CTR
21,140364,726,678,7909,28,1585825320.0,1585826160.0,20200402 07:02,20200402 07:16,33,SHUTTLE PARK SOUTH
22,138519,120,347,46093,69,1585842600.0,1585844640.0,20200402 11:50,20200402 12:24,10A,AVONDALE
23,138963,142,137,3907,16,1585860060.0,1585860540.0,20200402 16:41,20200402 16:49,14,MACLELLAN GYM UNIVERSITY CTR
24,138812,144,5565,9540,17,1585866360.0,1585866840.0,20200402 18:26,20200402 18:34,14,MCCALLIE + HOUSTON
25,138533,119,114,29839,52,1585853700.0,1585855260.0,20200402 14:55,20200402 15:21,10A,AVONDALE
26,140255,703,166,9026,29,1585843500.0,1585844400.0,20200402 12:05,20200402 12:20,33,SHUTTLE PARK NORTH
27,139142,501,418,65588,90,1585853340.0,1585856040.0,20200402 14:49,20200402 15:34,PO,
28,139127,130,376,49450,54,1585830960.0,1585832580.0,20200402 08:36,20200402 09:03,16,NORTHGATE
29,138791,143,3706,8934,33,1585840500.0,1585841460.0,20200402 11:15,20200402 11:31,14,MCCALLIE + HOUSTON
30,139435,107,472,34420,65,1585846140.0,1585848120.0,20200402 12:49,20200402 13:22,28,CHATTANOOGA STATE
31,139446,107,3538,33264,38,1585860060.0,1585861140.0,20200402 16:41,20200402 16:59,28,DOWNTOWN
32,140112,124,35157,36103,2,1585872000.0,1585872060.0,20200402 20:00,20200402 20:01,9,EAST LAKE  
33,139361,145,154,27498,122,1585879080.0,1585882740.0,20200402 21:58,20200402 22:59,21,DOWNTOWN
34,138415,119,0,416,297,1585859340.0,1585868340.0,20200402 16:29,20200402 18:59,1,DOWNTOWN
35,138933,144,322,4105,20,1585853700.0,1585854240.0,20200402 14:55,20200402 15:04,14,MACLELLAN GYM UNIVERSITY CTR
36,139712,503,103,416,214,1585830300.0,1585836180.0,20200402 08:25,20200402 10:03,4,DOWNTOWN
37,139263,145,103,19891,28,1585853460.0,1585854300.0,20200402 14:51,20200402 15:05,2,NORTH CHATTANOOGA
38,139282,145,365,19722,27,1585857420.0,1585858200.0,20200402 15:57,20200402 16:10,2,NORTH CHATTANOOGA
39,139279,504,671,19888,29,1585863720.0,1585864560.0,20200402 17:42,20200402 17:56,2,NORTH CHATTANOOGA
40,139323,145,155,28724,56,1585851240.0,1585852920.0,20200402 14:14,20200402 14:42,21,GOLDEN GATEWAY
41,139362,145,404,14751,21,1585872000.0,1585872540.0,20200402 20:00,20200402 20:09,21,DOWNTOWN
42,139307,148,694,14960,21,1585833240.0,1585833840.0,20200402 09:14,20200402 09:24,2,DOWNTOWN
43,139174,138,87,52901,84,1585834500.0,1585837020.0,20200402 09:35,20200402 10:17,16,DOWNTOWN
44,139558,727,435,5020,11,1585845840.0,1585846140.0,20200402 12:44,20200402 12:49,34,SHUTTLE PARK NORTH
45,140148,139,1358,34645,58,1585846260.0,1585848000.0,20200402 12:51,20200402 13:20,9,DOWNTOWN
46,138899,142,54,3989,30,1585830480.0,1585831320.0,20200402 08:28,20200402 08:42,14,MACLELLAN GYM UNIVERSITY CTR
47,139675,111,0,81415,99,1585863600.0,1585866540.0,20200402 17:40,20200402 18:29,4,HAMILTON PL EXPRESS
48,140952,113,552,416,180,1585866000.0,1585870860.0,20200402 18:20,20200402 19:41,3,3 DOWNTOWN 
49,139747,101,93,72802,124,1585841820.0,1585845540.0,20200402 11:37,20200402 12:39,4,DOWNTOWN
50,138549,138,1151,416,128,1585853400.0,1585856640.0,20200402 14:50,20200402 15:44,10A,DOWNTOWN
