,tatripid,vid,start_pdist,end_pdist,num_docs,start_timestamp,end_timestamp,start_tmstmp,end_tmstmp,route_id,destination
0,138923,141,116,7263,16,1581438060.0,1581438540.0,20200211 11:21,20200211 11:29,14,MACLELLAN GYM UNIVERSITY CTR
1,139460,106,49431,49436,39,1581465600.0,1581466140.0,20200211 19:00,20200211 19:09,28,DOWNTOWN
2,139119,104,33,24731,54,1581460320.0,1581461940.0,20200211 17:32,20200211 17:59,15,DOWNTOWN 
3,140132,752,235,34849,52,1581426600.0,1581428160.0,20200211 08:10,20200211 08:36,9,DOWNTOWN
4,138369,125,418,45384,83,1581452940.0,1581455460.0,20200211 15:29,20200211 16:11,PO,
5,138894,143,147,7263,24,1581438600.0,1581439320.0,20200211 11:30,20200211 11:42,14,MACLELLAN GYM UNIVERSITY CTR
6,138824,142,61,8721,19,1581447000.0,1581447540.0,20200211 13:50,20200211 13:59,14,MCCALLIE + HOUSTON
7,140039,103,194,53073,65,1581434700.0,1581436620.0,20200211 10:25,20200211 10:57,8,GERMANTOWN + BRAINERD RD
8,139291,501,432,14467,17,1581433020.0,1581433500.0,20200211 09:57,20200211 10:05,2,DOWNTOWN
9,139270,148,83,19905,36,1581422400.0,1581423480.0,20200211 07:00,20200211 07:18,2,NORTH CHATTANOOGA
10,138850,141,58,9562,21,1581455820.0,1581456420.0,20200211 16:17,20200211 16:27,14,MCCALLIE + HOUSTON
11,138742,115,101,416,126,1581443340.0,1581446520.0,20200211 12:49,20200211 13:42,13,DOWNTOWN
12,140127,752,535,34665,56,1581419100.0,1581420720.0,20200211 06:05,20200211 06:32,9,DOWNTOWN
13,139682,125,418,87822,143,1581434820.0,1581439140.0,20200211 10:27,20200211 11:39,PO,
14,138858,141,58,882,11,1581465240.0,1581465540.0,20200211 18:54,20200211 18:59,14,MCCALLIE + HOUSTON
15,140348,727,402,8974,19,1581477780.0,1581478320.0,20200211 22:23,20200211 22:32,33,SHUTTLE PARK NORTH
16,138615,125,0,103841,143,1581417480.0,1581421800.0,20200211 05:38,20200211 06:50,10C,CAMPBELL
17,140136,124,277,52429,134,1581428280.0,1581431700.0,20200211 08:38,20200211 09:35,9,DOWNTOWN
