,tatripid,vid,start_pdist,end_pdist,num_docs,start_timestamp,end_timestamp,start_tmstmp,end_tmstmp,route_id,destination
0,138417,117,0,40518,64,1580940660.0,1580942640.0,20200205 17:11,20200205 17:44,1,DOWNTOWN
1,139454,129,0,33340,31,1580902200.0,1580903100.0,20200205 06:30,20200205 06:45,28,DOWNTOWN
2,140469,718,80,8262,30,1580948400.0,1580949300.0,20200205 19:20,20200205 19:35,33,SHUTTLE PARK SOUTH
3,139547,727,39,4736,19,1580912520.0,1580913060.0,20200205 09:22,20200205 09:31,34,SHUTTLE PARK NORTH
4,138736,753,1583,34781,76,1580902560.0,1580904840.0,20200205 06:36,20200205 07:14,13,DOWNTOWN
5,138376,148,26631,31069,10,1580947200.0,1580947500.0,20200205 19:00,20200205 19:05,1,ALTON PARK
6,139680,149,668,73501,125,1580947320.0,1580951040.0,20200205 19:02,20200205 20:04,4,EASTGATE HAMILTON PL
7,140473,718,0,8184,37,1580950020.0,1580951160.0,20200205 19:47,20200205 20:06,33,SHUTTLE PARK SOUTH
8,139263,506,365,19894,30,1580931900.0,1580932800.0,20200205 14:45,20200205 15:00,2,NORTH CHATTANOOGA
9,140376,703,0,8161,33,1580908560.0,1580909520.0,20200205 08:16,20200205 08:32,33,SHUTTLE PARK SOUTH
10,139562,727,243,4882,10,1580928960.0,1580929200.0,20200205 13:56,20200205 14:00,34,SHUTTLE PARK NORTH
11,139468,127,801,70707,74,1580898480.0,1580900640.0,20200205 05:28,20200205 06:04,3,3 DOWNTOWN 
12,138915,143,108,7001,17,1580909760.0,1580910240.0,20200205 08:36,20200205 08:44,14,MACLELLAN GYM UNIVERSITY CTR
13,138558,106,123,415,126,1580911080.0,1580914260.0,20200205 08:58,20200205 09:51,10A,DOWNTOWN VIA DODSON AVE HEALTH CTR
14,139343,148,150,9777,22,1580914500.0,1580915100.0,20200205 09:55,20200205 10:05,21,DOWNTOWN
15,139991,128,42,0,101,1580913900.0,1580916360.0,20200205 09:45,20200205 10:26,7,CHATTANOOGA HOUSING AUTHORITY
16,140389,703,0,8201,36,1580917260.0,1580918340.0,20200205 10:41,20200205 10:59,33,SHUTTLE PARK SOUTH
17,138793,143,451,9539,28,1580921880.0,1580922720.0,20200205 11:58,20200205 12:12,14,MCCALLIE + HOUSTON
18,138802,144,0,9509,26,1580933280.0,1580934060.0,20200205 15:08,20200205 15:21,14,MCCALLIE + HOUSTON
19,138523,148,316,29675,50,1580941800.0,1580943300.0,20200205 17:30,20200205 17:55,10A,AVONDALE
20,138554,128,398,26368,46,1580961660.0,1580963040.0,20200205 23:01,20200205 23:24,10A,DOWNTOWN
21,138354,118,387,45389,78,1580915580.0,1580917920.0,20200205 10:13,20200205 10:52,1,ALTON PARK
22,140151,150,107,34402,40,1580947680.0,1580948880.0,20200205 19:08,20200205 19:28,9,DOWNTOWN
