entry_no,tatripid,vid,start_pdist,end_pdist,num_docs,start_timestamp,end_timestamp,start_tmstmp,end_tmstmp,route_id
0,140012,140,518,12823,14,1581681840.0,1581682260.0,20200214 07:04,20200214 07:11,8
1,140488,727,1238,6516,56,1581735060.0,1581736020.0,20200214 21:51,20200214 22:07,33
2,139105,101,0,41059,61,1581708960.0,1581710760.0,20200214 14:36,20200214 15:06,PO
3,138662,135,0,11465,167,1581713100.0,1581717600.0,20200214 15:45,20200214 17:00,10G
4,138928,143,322,7022,14,1581704220.0,1581704580.0,20200214 13:17,20200214 13:23,14
5,140280,727,424,8673,30,1581718860.0,1581719700.0,20200214 17:21,20200214 17:35,33
6,138891,143,322,7048,21,1581694080.0,1581694680.0,20200214 10:28,20200214 10:38,14
7,138632,132,376,41025,64,1581720300.0,1581722220.0,20200214 17:45,20200214 18:17,10G
8,138946,143,317,7030,15,1581725580.0,1581726000.0,20200214 19:13,20200214 19:20,14
9,138898,144,322,7251,16,1581684600.0,1581685080.0,20200214 07:50,20200214 07:58,14
10,139430,106,177,35283,61,1581717480.0,1581719340.0,20200214 16:58,20200214 17:29,28
11,139709,147,98,72792,123,1581683100.0,1581686820.0,20200214 07:25,20200214 08:27,4
12,138374,123,42,31018,67,1581719100.0,1581721140.0,20200214 17:25,20200214 17:59,1
13,138890,143,322,7043,15,1581692940.0,1581693360.0,20200214 10:09,20200214 10:16,14
14,140393,730,62,8123,35,1581702060.0,1581703140.0,20200214 12:41,20200214 12:59,33
15,139689,112,57,73394,145,1581712860.0,1581717240.0,20200214 15:41,20200214 16:54,4
16,140462,727,797,8195,29,1581723000.0,1581723840.0,20200214 18:30,20200214 18:44,33
17,139566,726,4151,5020,31,1581710520.0,1581711420.0,20200214 15:02,20200214 15:17,34
18,139144,150,376,49554,61,1581726600.0,1581728400.0,20200214 19:30,20200214 20:00,16
19,138881,144,322,7263,11,1581728400.0,1581728700.0,20200214 20:00,20200214 20:05,14
20,139445,106,552,33340,40,1581719340.0,1581720540.0,20200214 17:29,20200214 17:49,28
21,139280,138,4,4,1,1581724740.0,1581724740.0,20200214 18:59,20200214 18:59,2
22,139563,726,4135,4565,24,1581707280.0,1581708000.0,20200214 14:08,20200214 14:20,34
23,138914,142,106,7040,24,1581686040.0,1581686760.0,20200214 08:14,20200214 08:26,14
24,139518,726,1375,1566,13,1581702720.0,1581703020.0,20200214 12:52,20200214 12:57,34
25,139513,726,0,4555,25,1581697200.0,1581698100.0,20200214 11:20,20200214 11:35,34
26,139524,726,1235,1235,2,1581709680.0,1581709680.0,20200214 14:48,20200214 14:48,34
27,140394,730,209,8262,23,1581704100.0,1581704760.0,20200214 13:15,20200214 13:26,33
28,139636,505,418,87822,131,1581673740.0,1581677640.0,20200214 04:49,20200214 05:54,PO
29,138789,142,64,8997,25,1581694140.0,1581694860.0,20200214 10:29,20200214 10:41,14
30,140243,730,439,8949,26,1581694140.0,1581694920.0,20200214 10:29,20200214 10:42,33
31,140465,730,8132,8132,1,1581724800.0,1581724800.0,20200214 19:00,20200214 19:00,33
32,138897,143,322,7044,21,1581701580.0,1581702180.0,20200214 12:33,20200214 12:43,14
33,138913,142,322,7059,14,1581684840.0,1581685200.0,20200214 07:54,20200214 08:00,14
34,139700,147,101,364,187,1581690300.0,1581696180.0,20200214 09:25,20200214 11:03,4
35,139650,150,42,73585,102,1581683580.0,1581686640.0,20200214 07:33,20200214 08:24,4
36,138969,144,322,7051,10,1581723840.0,1581724080.0,20200214 18:44,20200214 18:48,14
37,139755,112,88,416,290,1581725340.0,1581733560.0,20200214 19:09,20200214 21:26,4
38,138885,143,322,7042,15,1581686640.0,1581687060.0,20200214 08:24,20200214 08:31,14
39,140419,727,471,8057,32,1581710100.0,1581711000.0,20200214 14:55,20200214 15:10,33
40,138824,144,0,9552,23,1581706200.0,1581706860.0,20200214 13:50,20200214 14:01,14
41,140339,727,439,8940,26,1581732540.0,1581733260.0,20200214 21:09,20200214 21:21,33
42,139128,125,376,49564,59,1581693300.0,1581695100.0,20200214 10:15,20200214 10:45,16
43,139101,135,350,25409,41,1581682140.0,1581683400.0,20200214 07:09,20200214 07:30,15
44,140034,140,432,52989,48,1581682260.0,1581683700.0,20200214 07:11,20200214 07:35,8
45,139324,145,387,13558,43,1581709560.0,1581710880.0,20200214 14:46,20200214 15:08,21
46,139435,106,319,35613,39,1581702600.0,1581703740.0,20200214 12:50,20200214 13:09,28
