,tatripid,vid,start_pdist,end_pdist,num_docs,start_timestamp,end_timestamp,start_tmstmp,end_tmstmp,route_id,destination
0,138882,143,122,416,171,1581124200.0,1581128760.0,20200207 20:10,20200207 21:26,14,MACLELLAN GYM UNIVERSITY CTR
1,140263,729,107,8566,28,1581085140.0,1581085920.0,20200207 09:19,20200207 09:32,33,SHUTTLE PARK NORTH
2,140383,730,1238,8113,36,1581083640.0,1581084720.0,20200207 08:54,20200207 09:12,33,SHUTTLE PARK SOUTH
3,138646,130,0,37265,52,1581096660.0,1581098160.0,20200207 12:31,20200207 12:56,10G,DOWNTOWN
4,138787,143,0,9538,28,1581086700.0,1581087540.0,20200207 09:45,20200207 09:59,14,MCCALLIE + HOUSTON
5,139989,138,53,413,87,1581085860.0,1581087900.0,20200207 09:31,20200207 10:05,7,CHATTANOOGA HOUSING AUTHORITY
6,138392,119,53,40705,66,1581088320.0,1581090300.0,20200207 10:12,20200207 10:45,1,DOWNTOWN
7,138353,125,0,31159,133,1581080340.0,1581083280.0,20200207 07:59,20200207 08:48,1,ALTON PARK
8,140328,730,56,9053,27,1581122580.0,1581123360.0,20200207 19:43,20200207 19:56,33,SHUTTLE PARK NORTH
9,139249,125,34,61477,80,1581116280.0,1581118740.0,20200207 17:58,20200207 18:39,19,CROMWELL
10,139737,150,0,91900,260,1581122700.0,1581129960.0,20200207 19:45,20200207 21:46,4,DOWNTOWN
11,140104,137,377,36048,59,1581075300.0,1581077040.0,20200207 06:35,20200207 07:04,9,EAST LAKE  
12,138921,143,108,7009,15,1581090180.0,1581090540.0,20200207 10:43,20200207 10:49,14,MACLELLAN GYM UNIVERSITY CTR
13,140010,140,0,12177,13,1581071880.0,1581072300.0,20200207 05:38,20200207 05:45,8,EASTDALE
14,139318,753,370,13761,30,1581092100.0,1581093000.0,20200207 11:15,20200207 11:30,21,GOLDEN GATEWAY
15,139338,753,0,9642,34,1581077520.0,1581078540.0,20200207 07:12,20200207 07:29,21,DOWNTOWN
16,139523,726,1230,4938,13,1581103260.0,1581103620.0,20200207 14:21,20200207 14:27,34,TREMONT + FRAZIER
17,140499,703,271,6300,22,1581104580.0,1581105180.0,20200207 14:43,20200207 14:53,33,SHUTTLE PARK SOUTH
18,139330,132,654,13742,45,1581117120.0,1581118440.0,20200207 18:12,20200207 18:34,21,GOLDEN GATEWAY
19,139679,115,55,73585,137,1581111720.0,1581115860.0,20200207 16:42,20200207 17:51,4,EASTGATE HAMILTON PL
20,138659,101,93,37649,72,1581084600.0,1581086700.0,20200207 09:10,20200207 09:45,10G,DOWNTOWN
21,138361,130,0,31030,62,1581098220.0,1581100080.0,20200207 12:57,20200207 13:28,1,ALTON PARK
22,138347,101,418,45397,87,1581078300.0,1581080880.0,20200207 07:25,20200207 08:08,PO,
23,138976,143,317,7030,13,1581104940.0,1581105300.0,20200207 14:49,20200207 14:55,14,MACLELLAN GYM UNIVERSITY CTR
24,139291,753,57,15251,53,1581086760.0,1581088320.0,20200207 09:46,20200207 10:12,2,DOWNTOWN
25,139578,726,932,5020,30,1581118740.0,1581119640.0,20200207 18:39,20200207 18:54,34,SHUTTLE PARK NORTH
26,139257,125,32329,416,174,1581120000.0,1581124680.0,20200207 19:00,20200207 20:18,19,DOWNTOWN
27,138615,130,82,103856,137,1581072060.0,1581076200.0,20200207 05:41,20200207 06:50,10C,CAMPBELL
28,138664,130,393,20819,28,1581119160.0,1581119940.0,20200207 18:46,20200207 18:59,10G,DOWNTOWN
29,139513,726,2206,4987,20,1581092580.0,1581093180.0,20200207 11:23,20200207 11:33,34,TREMONT + FRAZIER
30,139565,726,196,4736,9,1581105000.0,1581105240.0,20200207 14:50,20200207 14:54,34,SHUTTLE PARK NORTH
31,139531,726,1226,4813,15,1581111900.0,1581112320.0,20200207 16:45,20200207 16:52,34,TREMONT + FRAZIER
32,140306,729,298,8966,25,1581101220.0,1581102000.0,20200207 13:47,20200207 14:00,33,SHUTTLE PARK NORTH
33,138665,117,653,36648,58,1581073500.0,1581075240.0,20200207 06:05,20200207 06:34,10G,DOWNTOWN
34,138737,134,1357,34781,74,1581079140.0,1581081420.0,20200207 07:39,20200207 08:17,13,DOWNTOWN
35,140460,729,0,8262,28,1581116580.0,1581117360.0,20200207 18:03,20200207 18:16,33,SHUTTLE PARK SOUTH
36,138736,134,277,34781,61,1581075660.0,1581077460.0,20200207 06:41,20200207 07:11,13,DOWNTOWN
37,138551,101,45471,416,104,1581120000.0,1581122520.0,20200207 19:00,20200207 19:42,10A,DOWNTOWN
38,140276,718,439,8971,24,1581105960.0,1581106680.0,20200207 15:06,20200207 15:18,33,SHUTTLE PARK NORTH
39,139731,149,80,72771,132,1581091080.0,1581095040.0,20200207 10:58,20200207 12:04,4,DOWNTOWN
40,140145,138,535,34799,48,1581107940.0,1581109380.0,20200207 15:39,20200207 16:03,9,DOWNTOWN
41,139752,118,44678,71041,52,1581120000.0,1581121560.0,20200207 19:00,20200207 19:26,4,DOWNTOWN
42,140233,729,288,8975,33,1581081480.0,1581082440.0,20200207 08:18,20200207 08:34,33,SHUTTLE PARK NORTH
43,140129,132,49,34404,60,1581092700.0,1581094500.0,20200207 11:25,20200207 11:55,9,DOWNTOWN
44,138846,143,58,9497,33,1581105300.0,1581106320.0,20200207 14:55,20200207 15:12,14,MCCALLIE + HOUSTON
45,140027,140,0,12823,31,1581112500.0,1581113400.0,20200207 16:55,20200207 17:10,8,EASTDALE
46,139573,726,947,5020,11,1581113820.0,1581114120.0,20200207 17:17,20200207 17:22,34,SHUTTLE PARK NORTH
47,140030,140,0,0,9,1581119700.0,1581119940.0,20200207 18:55,20200207 18:59,8,EASTDALE
48,138991,143,317,7011,13,1581123120.0,1581123480.0,20200207 19:52,20200207 19:58,14,MACLELLAN GYM UNIVERSITY CTR
49,138645,123,381,37663,72,1581091500.0,1581093660.0,20200207 11:05,20200207 11:41,10G,DOWNTOWN
50,139750,110,0,29773,50,1581118500.0,1581119940.0,20200207 18:35,20200207 18:59,4,DOWNTOWN
51,139144,149,991,49080,63,1581121740.0,1581123660.0,20200207 19:29,20200207 20:01,16,NORTHGATE
52,139707,504,0,72039,135,1581074940.0,1581078960.0,20200207 06:29,20200207 07:36,4,DOWNTOWN
53,139450,106,79,33107,55,1581099060.0,1581100740.0,20200207 13:11,20200207 13:39,28,DOWNTOWN
54,138986,143,122,6754,23,1581116760.0,1581117420.0,20200207 18:06,20200207 18:17,14,MACLELLAN GYM UNIVERSITY CTR
55,140358,703,482,9048,23,1581121800.0,1581122460.0,20200207 19:30,20200207 19:41,33,SHUTTLE PARK NORTH
56,140480,703,68,8258,32,1581126180.0,1581127140.0,20200207 20:43,20200207 20:59,33,SHUTTLE PARK SOUTH
57,138393,118,0,40312,77,1581089340.0,1581091620.0,20200207 10:29,20200207 11:07,1,DOWNTOWN
