entry_no,tatripid,vid,start_pdist,end_pdist,num_docs,start_timestamp,end_timestamp,start_tmstmp,end_tmstmp,route_id
0,139310,503,672,13726,39,1581333960.0,1581335100.0,20200210 06:26,20200210 06:45,21
1,139701,132,101,72211,129,1581336600.0,1581340440.0,20200210 07:10,20200210 08:14,4
2,138354,126,418,45394,80,1581347520.0,1581349920.0,20200210 10:12,20200210 10:52,PO
3,140505,730,102,8101,57,1581387180.0,1581388920.0,20200210 21:13,20200210 21:42,33
4,138963,141,322,7067,15,1581371040.0,1581371520.0,20200210 16:44,20200210 16:52,14
5,139450,106,0,33298,56,1581358200.0,1581359880.0,20200210 13:10,20200210 13:38,28
6,138934,143,0,7047,19,1581365880.0,1581366420.0,20200210 15:18,20200210 15:27,14
7,139457,117,30806,33392,52,1581340620.0,1581342960.0,20200210 08:17,20200210 08:56,28
8,138806,143,58,9662,30,1581369840.0,1581370680.0,20200210 16:24,20200210 16:38,14
9,138360,115,42,31151,59,1581356340.0,1581358140.0,20200210 12:39,20200210 13:09,1
10,138657,112,111,37832,84,1581336600.0,1581339060.0,20200210 07:10,20200210 07:51,10G
11,138779,141,243,9531,21,1581354780.0,1581355380.0,20200210 12:13,20200210 12:23,14
12,139573,727,243,5020,15,1581372780.0,1581373260.0,20200210 17:13,20200210 17:21,34
13,140024,138,116,11722,17,1581364680.0,1581365160.0,20200210 14:58,20200210 15:06,8
14,138558,119,70,416,126,1581342900.0,1581346080.0,20200210 08:55,20200210 09:48,10A
15,138954,141,322,7058,13,1581360120.0,1581360480.0,20200210 13:42,20200210 13:48,14
16,138803,143,403,9508,21,1581366480.0,1581367080.0,20200210 15:28,20200210 15:38,14
17,139537,727,5203,5203,1,1581379200.0,1581379200.0,20200210 19:00,20200210 19:00,34
18,138965,141,322,6826,12,1581373500.0,1581373860.0,20200210 17:25,20200210 17:31,14
19,140011,138,116,12578,23,1581333420.0,1581334080.0,20200210 06:17,20200210 06:28,8
20,138413,131,0,40683,64,1581368160.0,1581370080.0,20200210 15:56,20200210 16:28,1
21,138396,119,0,39875,69,1581339000.0,1581341100.0,20200210 07:50,20200210 08:25,1
22,140506,730,6410,7983,76,1581392700.0,1581394380.0,20200210 22:45,20200210 23:13,33
23,140244,730,166,8686,72,1581350220.0,1581351540.0,20200210 10:57,20200210 11:19,33
24,139467,136,418,90589,142,1581368100.0,1581372300.0,20200210 15:55,20200210 17:05,PO
25,140457,703,80,8249,27,1581372360.0,1581373140.0,20200210 17:06,20200210 17:19,33
26,139113,101,33,24731,57,1581340800.0,1581342540.0,20200210 08:20,20200210 08:49,15
27,139347,503,559,9381,40,1581354600.0,1581355800.0,20200210 12:10,20200210 12:30,21
28,138378,505,380,31050,68,1581384780.0,1581386820.0,20200210 20:33,20200210 21:07,1
29,138346,119,42,31132,68,1581336960.0,1581339000.0,20200210 07:16,20200210 07:50,1
30,138800,143,0,9662,17,1581362580.0,1581363060.0,20200210 14:23,20200210 14:31,14
31,139684,103,54,73328,119,1581365880.0,1581369420.0,20200210 15:18,20200210 16:17,4
32,139558,727,435,4974,12,1581356580.0,1581356880.0,20200210 12:43,20200210 12:48,34
33,138770,141,66,9552,30,1581342000.0,1581342900.0,20200210 08:40,20200210 08:55,14
34,140386,730,6749,8164,30,1581344700.0,1581345180.0,20200210 09:25,20200210 09:33,33
35,138749,140,485,34781,60,1581369360.0,1581371100.0,20200210 16:16,20200210 16:45,13
36,139742,148,102,416,104,1581393300.0,1581399780.0,20200210 22:55,20200211 00:43,4
37,139130,123,95,49488,71,1581363000.0,1581365160.0,20200210 14:30,20200210 15:06,16
38,138777,141,68,9535,26,1581352020.0,1581352800.0,20200210 11:27,20200210 11:40,14
39,139455,117,0,33340,35,1581336420.0,1581337440.0,20200210 07:07,20200210 07:24,28
40,140117,120,0,35888,78,1581353460.0,1581355800.0,20200210 11:51,20200210 12:30,9
41,140331,726,207,8747,46,1581382980.0,1581384360.0,20200210 20:03,20200210 20:26,33
42,139673,148,418,87822,148,1581365700.0,1581370140.0,20200210 15:15,20200210 16:29,PO
43,138358,506,42,31156,64,1581353760.0,1581355680.0,20200210 11:56,20200210 12:28,1
44,139720,504,0,416,214,1581357180.0,1581363660.0,20200210 12:53,20200210 14:41,4
45,140476,730,271,8118,31,1581383820.0,1581384720.0,20200210 20:17,20200210 20:32,33
46,139749,103,91829,416,30,1581379200.0,1581380040.0,20200210 19:00,20200210 19:14,4
47,139135,107,376,49362,62,1581353880.0,1581355740.0,20200210 11:58,20200210 12:29,16
48,139466,101,51,90884,120,1581370800.0,1581374400.0,20200210 16:40,20200210 17:40,3
49,138645,131,101,37861,69,1581350400.0,1581352440.0,20200210 11:00,20200210 11:34,10G
50,139642,150,375,73412,108,1581343560.0,1581346860.0,20200210 09:06,20200210 10:01,4
51,138742,140,44,364,123,1581356880.0,1581360000.0,20200210 12:48,20200210 13:40,13
52,140139,123,485,33793,57,1581361260.0,1581362940.0,20200210 14:01,20200210 14:29,9
53,140483,703,70,8261,22,1581386700.0,1581387360.0,20200210 21:05,20200210 21:16,33
54,138927,143,322,7059,20,1581357600.0,1581358200.0,20200210 13:00,20200210 13:10,14
55,138518,131,376,30069,70,1581348240.0,1581350340.0,20200210 10:24,20200210 10:59,10A
56,140355,730,282,9035,39,1581372240.0,1581373440.0,20200210 17:04,20200210 17:24,33
57,138861,142,58,9540,32,1581382380.0,1581383340.0,20200210 19:53,20200210 20:09,14
58,139527,727,0,5203,25,1581366720.0,1581367380.0,20200210 15:32,20200210 15:43,34
59,138967,141,322,7263,12,1581375600.0,1581375900.0,20200210 18:00,20200210 18:05,14
60,140471,703,70,8245,34,1581381180.0,1581382200.0,20200210 19:33,20200210 19:50,33
61,139339,503,532,9648,29,1581335100.0,1581335940.0,20200210 06:45,20200210 06:59,21
62,138756,143,58,9092,30,1581341280.0,1581342120.0,20200210 08:28,20200210 08:42,14
63,138966,141,322,7075,13,1581374580.0,1581374940.0,20200210 17:43,20200210 17:49,14
64,140504,730,69,8150,36,1581380460.0,1581381540.0,20200210 19:21,20200210 19:39,33
65,140344,703,56,8929,41,1581389280.0,1581390480.0,20200210 21:48,20200210 22:08,33
66,140218,718,0,8700,30,1581335160.0,1581336060.0,20200210 06:46,20200210 07:01,33
67,138979,142,322,7074,15,1581367920.0,1581368340.0,20200210 15:52,20200210 15:59,14
68,139178,125,11465,11465,48,1581379200.0,1581380040.0,20200210 19:00,20200210 19:14,PI
69,138953,142,322,6756,14,1581359400.0,1581359760.0,20200210 13:30,20200210 13:36,14
70,140950,136,88474,88495,67,1581379200.0,1581381240.0,20200210 19:00,20200210 19:34,3
71,140334,730,439,8974,19,1581384780.0,1581385320.0,20200210 20:33,20200210 20:42,33
72,138949,141,475,7093,13,1581357960.0,1581358320.0,20200210 13:06,20200210 13:12,14
73,138819,141,0,9797,26,1581359340.0,1581360120.0,20200210 13:29,20200210 13:42,14
74,139644,504,418,87822,126,1581330060.0,1581333840.0,20200210 05:21,20200210 06:24,PO
75,139725,118,0,69226,146,1581367680.0,1581372120.0,20200210 15:48,20200210 17:02,4
76,139664,139,0,73585,119,1581384300.0,1581387840.0,20200210 20:25,20200210 21:24,4
77,139548,727,243,4974,11,1581345660.0,1581345960.0,20200210 09:41,20200210 09:46,34
78,140491,730,70,8262,25,1581390720.0,1581391440.0,20200210 22:12,20200210 22:24,33
79,139283,149,304,18963,52,1581372300.0,1581373860.0,20200210 17:05,20200210 17:31,2
80,138627,147,376,40901,63,1581349500.0,1581351360.0,20200210 10:45,20200210 11:16,10G
81,140233,718,56,8893,33,1581340560.0,1581341520.0,20200210 08:16,20200210 08:32,33
82,139304,149,199,14159,20,1581373920.0,1581374460.0,20200210 17:32,20200210 17:41,2
83,139165,107,0,11465,160,1581355740.0,1581360000.0,20200210 12:29,20200210 13:40,16
84,139266,503,4,19905,33,1581343140.0,1581344100.0,20200210 08:59,20200210 09:15,2
85,139440,117,698,35346,39,1581335220.0,1581336360.0,20200210 06:47,20200210 07:06,28
86,140335,726,698,7972,23,1581385140.0,1581385800.0,20200210 20:39,20200210 20:50,33
87,138384,103,0,40244,67,1581332940.0,1581334980.0,20200210 06:09,20200210 06:43,1
88,138633,503,99,36277,53,1581377580.0,1581379140.0,20200210 18:33,20200210 18:59,10G
89,139646,145,42,73585,110,1581334140.0,1581337440.0,20200210 06:29,20200210 07:24,4
90,139655,149,375,73577,115,1581345540.0,1581349020.0,20200210 09:39,20200210 10:37,4
91,138392,147,0,40285,68,1581347400.0,1581349440.0,20200210 10:10,20200210 10:44,1
92,138810,143,600,9662,15,1581374700.0,1581375120.0,20200210 17:45,20200210 17:52,14
93,138363,752,42,31155,74,1581360000.0,1581362220.0,20200210 13:40,20200210 14:17,1
94,138958,141,322,7062,16,1581364920.0,1581365400.0,20200210 15:02,20200210 15:10,14
95,139468,501,16500,70707,52,1581330900.0,1581332460.0,20200210 05:35,20200210 06:01,3
96,139670,117,0,73585,123,1581369360.0,1581373080.0,20200210 16:16,20200210 17:18,4
