entry_no,tatripid,vid,start_pdist,end_pdist,num_docs,start_timestamp,end_timestamp,start_tmstmp,end_tmstmp,route_id
0,138658,138,111,11465,158,1582203000.0,1582207200.0,20200220 07:50,20200220 09:00,10G
1,138890,142,322,7095,12,1582211220.0,1582211580.0,20200220 10:07,20200220 10:13,14
2,139311,753,838,13726,28,1582200060.0,1582200840.0,20200220 07:01,20200220 07:14,21
3,140305,703,56,9040,37,1582222500.0,1582223580.0,20200220 13:15,20200220 13:33,33
4,139317,504,517,13559,36,1582213140.0,1582214220.0,20200220 10:39,20200220 10:57,21
5,138394,128,0,40391,64,1582215120.0,1582217040.0,20200220 11:12,20200220 11:44,1
6,138901,144,108,6307,16,1582207920.0,1582208400.0,20200220 09:12,20200220 09:20,14
7,139639,147,1588,87822,122,1582207980.0,1582211640.0,20200220 09:13,20200220 10:14,4
8,140148,145,1358,34622,59,1582221000.0,1582222800.0,20200220 12:50,20200220 13:20,9
9,138731,136,418,48767,80,1582221840.0,1582224240.0,20200220 13:04,20200220 13:44,PO
10,140012,139,27,12266,19,1582200060.0,1582200600.0,20200220 07:01,20200220 07:10,8
11,139134,505,376,48746,69,1582252020.0,1582254060.0,20200220 21:27,20200220 22:01,16
12,139999,110,66,2701,33,1582232580.0,1582233540.0,20200220 16:03,20200220 16:19,7
13,139752,503,44678,72600,64,1582243200.0,1582245120.0,20200220 19:00,20200220 19:32,4
14,138356,145,153,31161,51,1582214580.0,1582216080.0,20200220 11:03,20200220 11:28,1
15,138807,142,58,9578,25,1582234980.0,1582235700.0,20200220 16:43,20200220 16:55,14
16,138922,143,119,6756,12,1582214520.0,1582214880.0,20200220 11:02,20200220 11:08,14
17,138761,142,61,9540,28,1582211580.0,1582212360.0,20200220 10:13,20200220 10:26,14
18,139328,148,654,13811,48,1582236060.0,1582237440.0,20200220 17:01,20200220 17:24,21
19,138801,142,60,9557,31,1582227720.0,1582228680.0,20200220 14:42,20200220 14:58,14
20,138387,128,0,40658,72,1582200720.0,1582202880.0,20200220 07:12,20200220 07:48,1
21,139112,110,33,24731,55,1582202100.0,1582203720.0,20200220 07:35,20200220 08:02,15
22,138894,142,135,7048,20,1582216140.0,1582216740.0,20200220 11:29,20200220 11:39,14
23,138946,142,322,6922,12,1582243980.0,1582244340.0,20200220 19:13,20200220 19:19,14
24,139318,753,477,13757,40,1582215300.0,1582216500.0,20200220 11:15,20200220 11:35,21
