,tatripid,vid,start_pdist,end_pdist,num_docs,start_timestamp,end_timestamp,start_tmstmp,end_tmstmp,route_id,destination
0,139653,504,418,87822,127,1582622460.0,1582626240.0,20200225 04:21,20200225 05:24,PO,
1,138839,143,9662,9662,1,1582675200.0,1582675200.0,20200225 19:00,20200225 19:00,14,MCCALLIE + HOUSTON
2,140099,115,0,36047,66,1582634160.0,1582636140.0,20200225 07:36,20200225 08:09,9,EAST LAKE  
3,138990,141,115,6756,14,1582676820.0,1582677180.0,20200225 19:27,20200225 19:33,14,MACLELLAN GYM UNIVERSITY CTR
4,139525,726,0,5090,21,1582660500.0,1582661100.0,20200225 14:55,20200225 15:05,34,TREMONT + FRAZIER
5,139257,138,32176,416,277,1582675200.0,1582683540.0,20200225 19:00,20200225 21:19,19,DOWNTOWN
6,140119,137,455,36042,70,1582659060.0,1582661160.0,20200225 14:31,20200225 15:06,9,EAST LAKE  
7,139157,130,0,53115,77,1582645500.0,1582647840.0,20200225 10:45,20200225 11:24,16,DOWNTOWN
8,138425,503,0,39602,73,1582690020.0,1582692180.0,20200225 23:07,20200225 23:43,1,DOWNTOWN
9,138920,141,104,7013,11,1582644180.0,1582644480.0,20200225 10:23,20200225 10:28,14,MACLELLAN GYM UNIVERSITY CTR
10,138388,134,0,40389,76,1582633740.0,1582636020.0,20200225 07:29,20200225 08:07,1,DOWNTOWN
11,140409,727,123,7633,20,1582645020.0,1582645560.0,20200225 10:37,20200225 10:46,33,SHUTTLE PARK SOUTH
12,140121,134,49,27991,44,1582673520.0,1582675140.0,20200225 18:32,20200225 18:59,9,EAST LAKE  
13,139666,506,375,73585,105,1582642920.0,1582646040.0,20200225 10:02,20200225 10:54,4,EASTGATE HAMILTON PL
14,138645,134,98,37836,78,1582646400.0,1582648740.0,20200225 11:00,20200225 11:39,10G,DOWNTOWN
15,138394,131,0,40634,65,1582647120.0,1582649040.0,20200225 11:12,20200225 11:44,1,DOWNTOWN
16,139691,138,375,73585,122,1582652520.0,1582656180.0,20200225 12:42,20200225 13:43,4,EASTGATE HAMILTON PL
17,139347,753,346,9861,29,1582650600.0,1582651440.0,20200225 12:10,20200225 12:24,21,DOWNTOWN
18,140328,729,307,8957,32,1582677900.0,1582678860.0,20200225 19:45,20200225 20:01,33,SHUTTLE PARK NORTH
19,140337,727,56,8926,35,1582681800.0,1582682820.0,20200225 20:50,20200225 21:07,33,SHUTTLE PARK NORTH
20,139702,149,95,364,196,1582641600.0,1582646880.0,20200225 09:40,20200225 11:08,4,DOWNTOWN
21,138929,142,129,7263,16,1582655820.0,1582656300.0,20200225 13:37,20200225 13:45,14,MACLELLAN GYM UNIVERSITY CTR
22,139734,128,62,78431,60,1582673400.0,1582675140.0,20200225 18:30,20200225 18:59,4,DOWNTOWN EXPRESS
23,139313,752,654,13371,27,1582635780.0,1582636560.0,20200225 08:03,20200225 08:16,21,GOLDEN GATEWAY
24,138635,112,376,40011,55,1582688040.0,1582689720.0,20200225 22:34,20200225 23:02,10G,GLENWOOD
25,138353,147,42,31153,66,1582636980.0,1582638960.0,20200225 08:23,20200225 08:56,1,ALTON PARK
26,140408,727,329,8207,31,1582643280.0,1582644180.0,20200225 10:08,20200225 10:23,33,SHUTTLE PARK SOUTH
27,140412,727,758,8079,23,1582650420.0,1582651080.0,20200225 12:07,20200225 12:18,33,SHUTTLE PARK SOUTH
28,138833,143,66,9538,26,1582667460.0,1582668240.0,20200225 16:51,20200225 17:04,14,MCCALLIE + HOUSTON
29,140435,729,181,8192,38,1582668000.0,1582669140.0,20200225 17:00,20200225 17:19,33,SHUTTLE PARK SOUTH
30,139710,149,0,72746,136,1582634400.0,1582638480.0,20200225 07:40,20200225 08:48,4,DOWNTOWN
31,138754,142,70,9539,22,1582635060.0,1582635720.0,20200225 07:51,20200225 08:02,14,MCCALLIE + HOUSTON
32,140137,117,485,34404,47,1582645980.0,1582647360.0,20200225 10:53,20200225 11:16,9,DOWNTOWN
33,138980,141,57,6824,18,1582664820.0,1582665360.0,20200225 16:07,20200225 16:16,14,MACLELLAN GYM UNIVERSITY CTR
34,139257,138,0,32176,37,1582674060.0,1582675140.0,20200225 18:41,20200225 18:59,19,DOWNTOWN
35,139730,148,0,377,182,1582691100.0,1582696080.0,20200225 23:25,20200226 00:48,4,DOWNTOWN
36,139748,505,96,72738,162,1582657200.0,1582662060.0,20200225 14:00,20200225 15:21,4,DOWNTOWN
37,138662,113,884,11465,145,1582663980.0,1582668360.0,20200225 15:53,20200225 17:06,10G,DOWNTOWN
38,138521,136,605,29828,53,1582657380.0,1582658940.0,20200225 14:03,20200225 14:29,10A,AVONDALE
39,140050,140,432,53073,49,1582671900.0,1582673340.0,20200225 18:05,20200225 18:29,8,GERMANTOWN + BRAINERD RD
40,139253,101,323,88122,108,1582631040.0,1582634640.0,20200225 06:44,20200225 07:44,19,DOWNTOWN
41,140218,727,1288,8556,26,1582631460.0,1582632180.0,20200225 06:51,20200225 07:03,33,SHUTTLE PARK NORTH
42,138945,142,322,5603,11,1582674840.0,1582675140.0,20200225 18:54,20200225 18:59,14,MACLELLAN GYM UNIVERSITY CTR
43,139512,726,691,5124,8,1582646940.0,1582647120.0,20200225 11:09,20200225 11:12,34,TREMONT + FRAZIER
44,138805,142,451,9529,25,1582664640.0,1582665360.0,20200225 16:04,20200225 16:16,14,MCCALLIE + HOUSTON
45,140024,140,195,12549,20,1582660680.0,1582661280.0,20200225 14:58,20200225 15:08,8,EASTDALE
46,139530,726,1226,1226,3,1582666380.0,1582666440.0,20200225 16:33,20200225 16:34,34,TREMONT + FRAZIER
47,140268,727,568,8787,25,1582649700.0,1582650420.0,20200225 11:55,20200225 12:07,33,SHUTTLE PARK NORTH
48,140285,729,99,9048,30,1582657920.0,1582658820.0,20200225 14:12,20200225 14:27,33,SHUTTLE PARK NORTH
49,139988,101,42,416,98,1582660320.0,1582662660.0,20200225 14:52,20200225 15:31,7,CHATTANOOGA HOUSING AUTHORITY
50,140371,703,0,8207,30,1582634520.0,1582635360.0,20200225 07:42,20200225 07:56,33,SHUTTLE PARK SOUTH
51,139546,726,1338,4935,27,1582639440.0,1582640220.0,20200225 09:04,20200225 09:17,34,SHUTTLE PARK NORTH
52,139734,128,80026,0,74,1582675200.0,1582677300.0,20200225 19:00,20200225 19:35,4,DOWNTOWN EXPRESS
53,138550,101,1009,36030,82,1582664160.0,1582666620.0,20200225 15:56,20200225 16:37,PO,
54,139700,504,113,0,217,1582640700.0,1582646640.0,20200225 09:25,20200225 11:04,4,DOWNTOWN
55,138749,123,59,34781,68,1582665300.0,1582667340.0,20200225 16:15,20200225 16:49,13,DOWNTOWN
56,138917,141,322,6823,13,1582640340.0,1582640700.0,20200225 09:19,20200225 09:25,14,MACLELLAN GYM UNIVERSITY CTR
57,138627,103,376,41228,64,1582645500.0,1582647360.0,20200225 10:45,20200225 11:16,10G,GLENWOOD
58,138671,110,113,37828,76,1582644600.0,1582646880.0,20200225 10:30,20200225 11:08,10G,DOWNTOWN
59,138746,110,235,33553,56,1582668060.0,1582669740.0,20200225 17:01,20200225 17:29,13,DOWNTOWN
60,139759,124,416,416,28,1582675200.0,1582675380.0,20200225 19:00,20200225 19:03,PI,
61,140027,140,236,12862,21,1582668480.0,1582669080.0,20200225 17:08,20200225 17:18,8,EASTDALE
62,139248,138,1468,61477,89,1582665540.0,1582668240.0,20200225 16:19,20200225 17:04,19,CROMWELL
63,138931,142,119,7023,18,1582657980.0,1582658520.0,20200225 14:13,20200225 14:22,14,MACLELLAN GYM UNIVERSITY CTR
64,139437,105,418,49674,77,1582646100.0,1582648380.0,20200225 10:55,20200225 11:33,PO,
65,140230,703,114,8999,29,1582635420.0,1582636260.0,20200225 07:57,20200225 08:11,33,SHUTTLE PARK NORTH
66,140040,140,432,53073,69,1582646820.0,1582648860.0,20200225 11:07,20200225 11:41,8,GERMANTOWN + BRAINERD RD
67,138953,141,322,7033,19,1582655340.0,1582655880.0,20200225 13:29,20200225 13:38,14,MACLELLAN GYM UNIVERSITY CTR
68,140436,729,166,8235,34,1582669800.0,1582670820.0,20200225 17:30,20200225 17:47,33,SHUTTLE PARK SOUTH
69,138919,141,322,7176,12,1582643160.0,1582643520.0,20200225 10:06,20200225 10:12,14,MACLELLAN GYM UNIVERSITY CTR
70,140269,727,439,9049,35,1582651140.0,1582652160.0,20200225 12:19,20200225 12:36,33,SHUTTLE PARK NORTH
71,138806,142,403,9662,26,1582665900.0,1582666620.0,20200225 16:25,20200225 16:37,14,MCCALLIE + HOUSTON
72,138376,503,42,25136,59,1582673400.0,1582675140.0,20200225 18:30,20200225 18:59,1,ALTON PARK
73,138739,123,11389,34781,82,1582641600.0,1582644060.0,20200225 09:40,20200225 10:21,13,DOWNTOWN
74,139293,752,180,15165,19,1582646820.0,1582647360.0,20200225 11:07,20200225 11:16,2,DOWNTOWN
75,139731,506,0,72776,127,1582646100.0,1582649880.0,20200225 10:55,20200225 11:58,4,DOWNTOWN
76,140362,718,489,8204,26,1582631460.0,1582632180.0,20200225 06:51,20200225 07:03,33,SHUTTLE PARK SOUTH
77,140948,126,11,70395,68,1582630860.0,1582632900.0,20200225 06:41,20200225 07:15,3,3 DOWNTOWN 
78,139513,726,1243,4555,24,1582647720.0,1582648440.0,20200225 11:22,20200225 11:34,34,TREMONT + FRAZIER
79,138616,105,376,87435,110,1582629600.0,1582632960.0,20200225 06:20,20200225 07:16,10C,CAMPBELL
80,138898,143,317,4676,10,1582634940.0,1582635240.0,20200225 07:49,20200225 07:54,14,MACLELLAN GYM UNIVERSITY CTR
81,139170,112,540,53051,71,1582647600.0,1582649760.0,20200225 11:20,20200225 11:56,16,DOWNTOWN
82,138851,141,60,9539,27,1582666620.0,1582667400.0,20200225 16:37,20200225 16:50,14,MCCALLIE + HOUSTON
83,139263,150,365,19896,34,1582660080.0,1582661040.0,20200225 14:48,20200225 15:04,2,NORTH CHATTANOOGA
84,138542,131,503,28818,46,1582636560.0,1582637940.0,20200225 08:16,20200225 08:39,10A,DOWNTOWN VIA DODSON AVE HEALTH CTR
85,139997,115,375,404,204,1582669020.0,1582675140.0,20200225 17:17,20200225 18:59,7,CHATTANOOGA HOUSING AUTHORITY
86,138735,123,1358,34781,82,1582626600.0,1582629120.0,20200225 05:30,20200225 06:12,13,DOWNTOWN
87,140949,113,647,364,147,1582632780.0,1582636680.0,20200225 07:13,20200225 08:18,3,3 DOWNTOWN 
88,140228,727,99,8921,32,1582634880.0,1582635780.0,20200225 07:48,20200225 08:03,33,SHUTTLE PARK NORTH
89,138740,123,105,34781,64,1582646340.0,1582648260.0,20200225 10:59,20200225 11:31,13,DOWNTOWN
90,138755,142,58,9662,29,1582636140.0,1582636980.0,20200225 08:09,20200225 08:23,14,MCCALLIE + HOUSTON
91,138567,130,1151,26368,67,1582670820.0,1582672800.0,20200225 17:47,20200225 18:20,10A,DOWNTOWN
92,138946,142,322,7263,16,1582676100.0,1582676580.0,20200225 19:15,20200225 19:23,14,MACLELLAN GYM UNIVERSITY CTR
93,140326,727,166,8974,31,1582676520.0,1582677420.0,20200225 19:22,20200225 19:37,33,SHUTTLE PARK NORTH
94,139344,752,956,9406,33,1582644360.0,1582645260.0,20200225 10:26,20200225 10:41,21,DOWNTOWN
95,138551,101,45480,416,142,1582675200.0,1582678860.0,20200225 19:00,20200225 20:01,10A,DOWNTOWN
96,138928,142,322,7234,19,1582654500.0,1582655040.0,20200225 13:15,20200225 13:24,14,MACLELLAN GYM UNIVERSITY CTR
97,139739,120,88,72546,148,1582666200.0,1582670640.0,20200225 16:30,20200225 17:44,4,DOWNTOWN
98,139550,726,870,4565,21,1582643700.0,1582644300.0,20200225 10:15,20200225 10:25,34,SHUTTLE PARK NORTH
99,139453,106,0,416,140,1582645200.0,1582648800.0,20200225 10:40,20200225 11:40,28,DOWNTOWN
100,138529,103,88,30069,61,1582630860.0,1582632720.0,20200225 06:41,20200225 07:12,10A,AVONDALE
101,138888,142,322,7215,20,1582640700.0,1582641300.0,20200225 09:25,20200225 09:35,14,MACLELLAN GYM UNIVERSITY CTR
102,138391,134,0,40584,73,1582642080.0,1582644240.0,20200225 09:48,20200225 10:24,1,DOWNTOWN
103,138721,123,49,32984,51,1582632900.0,1582634400.0,20200225 07:15,20200225 07:40,13,ROSSVILLE
104,138413,126,0,40605,64,1582663980.0,1582665900.0,20200225 15:53,20200225 16:25,1,DOWNTOWN
105,138658,128,100,11465,172,1582635000.0,1582639560.0,20200225 07:50,20200225 09:06,10G,DOWNTOWN
106,138829,143,58,9538,20,1582662660.0,1582663260.0,20200225 15:31,20200225 15:41,14,MCCALLIE + HOUSTON
107,140291,729,103,8146,22,1582669140.0,1582669800.0,20200225 17:19,20200225 17:30,33,SHUTTLE PARK NORTH
108,139127,115,376,49564,60,1582638000.0,1582639800.0,20200225 08:40,20200225 09:10,16,NORTHGATE
109,139716,505,413,79269,105,1582632060.0,1582635180.0,20200225 07:01,20200225 07:53,4,DOWNTOWN EXPRESS
110,139667,506,42,73097,128,1582649940.0,1582653780.0,20200225 11:59,20200225 13:03,4,EASTGATE HAMILTON PL
111,138761,142,67,9603,18,1582643880.0,1582644420.0,20200225 10:18,20200225 10:27,14,MCCALLIE + HOUSTON
112,138338,105,0,45357,84,1582624920.0,1582627440.0,20200225 05:02,20200225 05:44,1,ALTON PARK
113,138949,143,106,7036,15,1582653600.0,1582654020.0,20200225 13:00,20200225 13:07,14,MACLELLAN GYM UNIVERSITY CTR
114,138818,143,0,9579,27,1582654020.0,1582654860.0,20200225 13:07,20200225 13:21,14,MCCALLIE + HOUSTON
115,138964,143,322,7253,18,1582668240.0,1582668720.0,20200225 17:04,20200225 17:12,14,MACLELLAN GYM UNIVERSITY CTR
116,139687,501,51,73558,124,1582668780.0,1582672560.0,20200225 17:13,20200225 18:16,4,EASTGATE HAMILTON PL
117,138743,110,44,34781,71,1582656000.0,1582658160.0,20200225 13:40,20200225 14:16,13,DOWNTOWN
118,139284,150,268,20128,32,1582672500.0,1582673400.0,20200225 18:15,20200225 18:30,2,NORTH CHATTANOOGA
119,139690,504,70710,73581,6,1582675200.0,1582675320.0,20200225 19:00,20200225 19:02,4,EASTGATE HAMILTON PL
120,139641,149,0,73585,101,1582638480.0,1582641540.0,20200225 08:48,20200225 09:39,4,EASTGATE HAMILTON PL
121,138926,141,112,7263,19,1582651680.0,1582652220.0,20200225 12:28,20200225 12:37,14,MACLELLAN GYM UNIVERSITY CTR
122,140241,703,56,8949,74,1582640820.0,1582642200.0,20200225 09:27,20200225 09:50,33,SHUTTLE PARK NORTH
123,138741,123,102,34781,65,1582649760.0,1582651680.0,20200225 11:56,20200225 12:28,13,DOWNTOWN
124,140154,106,311,34669,56,1582666080.0,1582667700.0,20200225 16:28,20200225 16:55,9,DOWNTOWN
125,138944,142,128,7240,14,1582673580.0,1582673940.0,20200225 18:33,20200225 18:39,14,MACLELLAN GYM UNIVERSITY CTR
126,140397,718,489,8169,24,1582644000.0,1582644660.0,20200225 10:20,20200225 10:31,33,SHUTTLE PARK SOUTH
127,138725,123,49,32949,49,1582648260.0,1582649700.0,20200225 11:31,20200225 11:55,13,ROSSVILLE
128,138372,101,42,31156,69,1582666620.0,1582668660.0,20200225 16:37,20200225 17:11,1,ALTON PARK
129,140220,718,1623,9053,48,1582630860.0,1582632840.0,20200225 06:41,20200225 07:14,33,SHUTTLE PARK NORTH
