,tatripid,vid,start_pdist,end_pdist,num_docs,start_timestamp,end_timestamp,start_tmstmp,end_tmstmp,route_id,destination
0,138912,141,219,4105,39,1584540600.0,1584541800.0,20200318 10:10,20200318 10:30,14,MACLELLAN GYM UNIVERSITY CTR
1,138418,135,0,40319,72,1584567480.0,1584569640.0,20200318 17:38,20200318 18:14,1,DOWNTOWN
2,139639,147,418,87822,129,1584536940.0,1584540840.0,20200318 09:09,20200318 10:14,PO,
3,138339,123,375,30321,71,1584542400.0,1584544500.0,20200318 10:40,20200318 11:15,1,ALTON PARK
4,138537,110,8335,8335,70,1584576000.0,1584577440.0,20200318 20:00,20200318 20:24,PI,
5,140436,703,70,8207,45,1584566820.0,1584568140.0,20200318 17:27,20200318 17:49,33,SHUTTLE PARK SOUTH
6,139741,148,99,71946,138,1584579300.0,1584583380.0,20200318 20:55,20200318 22:03,4,DOWNTOWN
7,139464,122,418,90754,113,1584526500.0,1584529860.0,20200318 06:15,20200318 07:11,PO,
8,140487,730,329,7055,33,1584582300.0,1584583260.0,20200318 21:45,20200318 22:01,33,SHUTTLE PARK SOUTH
9,139524,726,642,4426,8,1584556980.0,1584557160.0,20200318 14:43,20200318 14:46,34,TREMONT + FRAZIER
10,139538,726,4952,13686,30,1584529500.0,1584530340.0,20200318 07:05,20200318 07:19,34,TREMONT + FRAZIER
11,140373,718,70,8177,35,1584532500.0,1584533520.0,20200318 07:55,20200318 08:12,33,SHUTTLE PARK SOUTH
12,138910,141,54,3886,26,1584549600.0,1584550320.0,20200318 12:40,20200318 12:52,14,MACLELLAN GYM UNIVERSITY CTR
13,139564,726,243,5020,20,1584556380.0,1584556920.0,20200318 14:33,20200318 14:42,34,SHUTTLE PARK NORTH
14,139697,130,418,94699,112,1584564300.0,1584567600.0,20200318 16:45,20200318 17:40,PO,
15,139457,136,95,33381,43,1584533880.0,1584535200.0,20200318 08:18,20200318 08:40,28,DOWNTOWN
16,139453,136,90,385,124,1584542460.0,1584546180.0,20200318 10:41,20200318 11:43,28,DOWNTOWN
17,139520,726,169,5039,19,1584552540.0,1584553080.0,20200318 13:29,20200318 13:38,34,TREMONT + FRAZIER
18,139308,503,57,416,107,1584572760.0,1584575940.0,20200318 19:06,20200318 19:59,2,DOWNTOWN
19,139755,134,69191,416,242,1584576000.0,1584582660.0,20200318 20:00,20200318 21:51,4,DOWNTOWN
20,139295,506,432,15038,28,1584547860.0,1584548640.0,20200318 12:11,20200318 12:24,2,DOWNTOWN
21,139445,105,0,33342,57,1584566400.0,1584568140.0,20200318 17:20,20200318 17:49,28,DOWNTOWN
22,140406,703,70,8164,40,1584536400.0,1584537600.0,20200318 09:00,20200318 09:20,33,SHUTTLE PARK SOUTH
23,140290,703,285,9016,30,1584564240.0,1584565080.0,20200318 16:44,20200318 16:58,33,SHUTTLE PARK NORTH
24,139140,751,133,65588,122,1584541860.0,1584545580.0,20200318 10:31,20200318 11:33,16,NORTHGATE
25,140110,125,49,36122,62,1584558960.0,1584560820.0,20200318 15:16,20200318 15:47,9,EAST LAKE  
26,138564,138,70,26368,48,1584555900.0,1584557400.0,20200318 14:25,20200318 14:50,10A,DOWNTOWN
27,139327,505,654,13668,39,1584563460.0,1584564600.0,20200318 16:31,20200318 16:50,21,GOLDEN GATEWAY
28,138410,130,0,40631,66,1584557280.0,1584559260.0,20200318 14:48,20200318 15:21,1,DOWNTOWN
29,138554,123,849,26368,48,1584586860.0,1584588240.0,20200318 23:01,20200318 23:24,10A,DOWNTOWN
30,138725,117,49,32809,45,1584544740.0,1584546060.0,20200318 11:19,20200318 11:41,13,ROSSVILLE
31,140378,718,0,8177,33,1584534420.0,1584535380.0,20200318 08:27,20200318 08:43,33,SHUTTLE PARK SOUTH
32,138733,118,49,33111,58,1584560700.0,1584562440.0,20200318 15:45,20200318 16:14,13,ROSSVILLE
33,140104,138,377,36174,62,1584527640.0,1584529500.0,20200318 06:34,20200318 07:05,9,EAST LAKE  
34,138626,119,1432,40882,122,1584536760.0,1584541140.0,20200318 09:06,20200318 10:19,10G,GLENWOOD
35,140245,730,439,8932,27,1584545400.0,1584546180.0,20200318 11:30,20200318 11:43,33,SHUTTLE PARK NORTH
36,138908,141,322,4100,30,1584547140.0,1584547980.0,20200318 11:59,20200318 12:13,14,MACLELLAN GYM UNIVERSITY CTR
37,138981,143,107,4100,23,1584563220.0,1584563880.0,20200318 16:27,20200318 16:38,14,MACLELLAN GYM UNIVERSITY CTR
38,140323,730,107,9053,28,1584572400.0,1584573180.0,20200318 19:00,20200318 19:13,33,SHUTTLE PARK NORTH
39,138337,131,42,30694,56,1584521580.0,1584523260.0,20200318 04:53,20200318 05:21,1,ALTON PARK
40,139364,506,0,9436,25,1584537420.0,1584538200.0,20200318 09:17,20200318 09:30,21,DOWNTOWN
41,138558,135,398,416,120,1584536100.0,1584539700.0,20200318 08:55,20200318 09:55,10A,DOWNTOWN VIA DODSON AVE HEALTH CTR
42,138352,118,418,44201,77,1584539400.0,1584541740.0,20200318 09:50,20200318 10:29,PO,
43,140317,730,9053,5006,48,1584569760.0,1584570480.0,20200318 18:16,20200318 18:28,33,SHUTTLE PARK NORTH
44,140222,718,56,9052,36,1584529620.0,1584530700.0,20200318 07:07,20200318 07:25,33,SHUTTLE PARK NORTH
45,139579,726,231,6419,101,1584572880.0,1584575280.0,20200318 19:08,20200318 19:48,34,SHUTTLE PARK NORTH
46,139332,505,62,13732,29,1584576960.0,1584577800.0,20200318 20:16,20200318 20:30,21,GOLDEN GATEWAY
47,139246,140,319,61477,81,1584532140.0,1584534540.0,20200318 07:49,20200318 08:29,19,CROMWELL
48,138839,141,4605,9196,18,1584571920.0,1584572460.0,20200318 18:52,20200318 19:01,14,MCCALLIE + HOUSTON
49,139438,136,399,35234,38,1584541260.0,1584542400.0,20200318 10:21,20200318 10:40,28,CHATTANOOGA STATE
50,139733,124,95,91911,297,1584567000.0,1584575940.0,20200318 17:30,20200318 19:59,4,DOWNTOWN
51,138987,143,219,4100,23,1584570360.0,1584571020.0,20200318 18:26,20200318 18:37,14,MACLELLAN GYM UNIVERSITY CTR
52,140277,730,4355,8763,13,1584560160.0,1584560520.0,20200318 15:36,20200318 15:42,33,SHUTTLE PARK NORTH
53,140448,703,70,8037,37,1584549120.0,1584550200.0,20200318 12:32,20200318 12:50,33,SHUTTLE PARK SOUTH
54,138371,145,418,44931,76,1584562140.0,1584564420.0,20200318 16:09,20200318 16:47,PO,
55,139146,503,431,49564,70,1584544500.0,1584546600.0,20200318 11:15,20200318 11:50,16,NORTHGATE
56,139529,726,403,4938,10,1584562320.0,1584562560.0,20200318 16:12,20200318 16:16,34,TREMONT + FRAZIER
57,139725,120,106,72711,158,1584560400.0,1584565140.0,20200318 15:40,20200318 16:59,4,DOWNTOWN
58,139165,150,0,11465,156,1584548700.0,1584552780.0,20200318 12:25,20200318 13:33,16,DOWNTOWN
59,139461,751,0,90219,100,1584520620.0,1584523560.0,20200318 04:37,20200318 05:26,3,ENTERPRISE SOUTH
60,140489,703,271,8239,25,1584583080.0,1584583800.0,20200318 21:58,20200318 22:10,33,SHUTTLE PARK SOUTH
61,138948,144,2353,416,62,1584576000.0,1584577200.0,20200318 20:00,20200318 20:20,14,MACLELLAN GYM UNIVERSITY CTR
62,138945,144,317,3886,22,1584571980.0,1584572640.0,20200318 18:53,20200318 19:04,14,MACLELLAN GYM UNIVERSITY CTR
63,140473,718,7560,8261,16,1584576000.0,1584576480.0,20200318 20:00,20200318 20:08,33,SHUTTLE PARK SOUTH
64,138519,135,418,46015,81,1584546420.0,1584548880.0,20200318 11:47,20200318 12:28,PO,
65,139711,753,70,72770,129,1584532500.0,1584536340.0,20200318 07:55,20200318 08:59,4,DOWNTOWN
66,138565,139,70,26366,55,1584563820.0,1584565500.0,20200318 16:37,20200318 17:05,10A,DOWNTOWN
67,140336,703,224,8868,31,1584578760.0,1584579660.0,20200318 20:46,20200318 21:01,33,SHUTTLE PARK NORTH
68,138823,143,3634,8938,17,1584553080.0,1584553560.0,20200318 13:38,20200318 13:46,14,MCCALLIE + HOUSTON
69,138834,141,3433,9034,22,1584565740.0,1584566400.0,20200318 17:09,20200318 17:20,14,MCCALLIE + HOUSTON
70,138816,144,3599,8736,16,1584575100.0,1584575520.0,20200318 19:45,20200318 19:52,14,MCCALLIE + HOUSTON
71,140463,703,70,8262,25,1584570420.0,1584571140.0,20200318 18:27,20200318 18:39,33,SHUTTLE PARK SOUTH
72,139701,134,0,72600,128,1584529800.0,1584533640.0,20200318 07:10,20200318 08:14,4,DOWNTOWN
73,139739,148,91,72192,146,1584563400.0,1584567840.0,20200318 16:30,20200318 17:44,4,DOWNTOWN
74,139648,505,418,87822,136,1584527400.0,1584531540.0,20200318 06:30,20200318 07:39,PO,
75,138943,144,219,3886,22,1584569580.0,1584570180.0,20200318 18:13,20200318 18:23,14,MACLELLAN GYM UNIVERSITY CTR
76,138804,144,4378,9168,15,1584560760.0,1584561180.0,20200318 15:46,20200318 15:53,14,MCCALLIE + HOUSTON
77,140426,718,101,8188,33,1584548820.0,1584549780.0,20200318 12:27,20200318 12:43,33,SHUTTLE PARK SOUTH
78,139317,148,703,13588,43,1584542340.0,1584543660.0,20200318 10:39,20200318 11:01,21,GOLDEN GATEWAY
79,139702,505,103,0,236,1584538800.0,1584545340.0,20200318 09:40,20200318 11:29,4,DOWNTOWN
80,138730,142,49,32962,56,1584566220.0,1584567900.0,20200318 17:17,20200318 17:45,13,ROSSVILLE
81,138748,118,1358,34781,66,1584558660.0,1584560640.0,20200318 15:11,20200318 15:44,13,DOWNTOWN
82,138636,501,0,57252,86,1584549960.0,1584552540.0,20200318 12:46,20200318 13:29,10G,GLENWOOD
83,138393,118,0,40705,71,1584541740.0,1584543840.0,20200318 10:29,20200318 11:04,1,DOWNTOWN
84,138977,143,322,4100,24,1584558480.0,1584559140.0,20200318 15:08,20200318 15:19,14,MACLELLAN GYM UNIVERSITY CTR
85,138722,117,49,32963,52,1584534120.0,1584535680.0,20200318 08:22,20200318 08:48,13,ROSSVILLE
86,139664,504,0,73579,123,1584577500.0,1584581160.0,20200318 20:25,20200318 21:26,4,EASTGATE HAMILTON PL
87,139338,506,346,9629,29,1584530100.0,1584530940.0,20200318 07:15,20200318 07:29,21,DOWNTOWN
88,138541,118,1009,36030,77,1584524160.0,1584526440.0,20200318 05:36,20200318 06:14,PO,
89,139506,726,1238,4249,9,1584537480.0,1584537720.0,20200318 09:18,20200318 09:22,34,TREMONT + FRAZIER
90,139718,501,103,72802,128,1584523500.0,1584527280.0,20200318 05:25,20200318 06:28,4,DOWNTOWN
91,138907,141,219,3668,29,1584545640.0,1584546480.0,20200318 11:34,20200318 11:48,14,MACLELLAN GYM UNIVERSITY CTR
92,140135,751,535,34845,60,1584527460.0,1584529260.0,20200318 06:31,20200318 07:01,9,DOWNTOWN
93,138655,131,109,37643,64,1584527100.0,1584528960.0,20200318 06:25,20200318 06:56,10G,DOWNTOWN
94,139501,726,0,5203,34,1584532020.0,1584533040.0,20200318 07:47,20200318 08:04,34,TREMONT + FRAZIER
95,139107,101,64,25409,60,1584562740.0,1584564480.0,20200318 16:19,20200318 16:48,15,ST ELMO VIA INCLINE 
96,140218,703,1477,8558,23,1584528660.0,1584529320.0,20200318 06:51,20200318 07:02,33,SHUTTLE PARK NORTH
97,140264,703,439,8936,26,1584539580.0,1584540300.0,20200318 09:53,20200318 10:05,33,SHUTTLE PARK NORTH
98,139125,138,99,49499,53,1584531300.0,1584532860.0,20200318 07:35,20200318 08:01,16,NORTHGATE
99,139500,726,1226,5037,33,1584530640.0,1584531600.0,20200318 07:24,20200318 07:40,34,TREMONT + FRAZIER
100,138416,145,0,39773,78,1584564420.0,1584566760.0,20200318 16:47,20200318 17:26,1,DOWNTOWN
101,138904,141,54,4100,29,1584542040.0,1584542880.0,20200318 10:34,20200318 10:48,14,MACLELLAN GYM UNIVERSITY CTR
102,140276,730,353,9041,25,1584558300.0,1584559020.0,20200318 15:05,20200318 15:17,33,SHUTTLE PARK NORTH
103,138861,143,6772,8817,13,1584576000.0,1584576360.0,20200318 20:00,20200318 20:06,14,MCCALLIE + HOUSTON
104,139254,140,1299,416,148,1584534600.0,1584538500.0,20200318 08:30,20200318 09:35,19,DOWNTOWN
105,138953,143,54,4100,22,1584552360.0,1584553020.0,20200318 13:26,20200318 13:37,14,MACLELLAN GYM UNIVERSITY CTR
106,138400,142,0,40589,76,1584538020.0,1584540300.0,20200318 09:27,20200318 10:05,1,DOWNTOWN
107,140449,703,0,8262,20,1584550980.0,1584551520.0,20200318 13:03,20200318 13:12,33,SHUTTLE PARK SOUTH
108,139164,506,357,52990,53,1584576000.0,1584577560.0,20200318 20:00,20200318 20:26,16,DOWNTOWN
109,138736,117,44,34713,77,1584527700.0,1584530040.0,20200318 06:35,20200318 07:14,13,DOWNTOWN
110,138546,118,348,28807,42,1584545880.0,1584547140.0,20200318 11:38,20200318 11:59,10A,DOWNTOWN VIA DODSON AVE HEALTH CTR
111,139569,726,243,4922,15,1584561840.0,1584562260.0,20200318 16:04,20200318 16:11,34,SHUTTLE PARK NORTH
112,139131,125,376,49564,58,1584562800.0,1584564600.0,20200318 16:20,20200318 16:50,16,NORTHGATE
113,140472,730,8196,8201,7,1584576000.0,1584576120.0,20200318 20:00,20200318 20:02,33,SHUTTLE PARK SOUTH
114,139712,128,96,364,221,1584534300.0,1584540360.0,20200318 08:25,20200318 10:06,4,DOWNTOWN
115,138539,142,1006,30069,47,1584540360.0,1584541740.0,20200318 10:06,20200318 10:29,10A,AVONDALE
116,138962,141,117,4105,17,1584563040.0,1584563520.0,20200318 16:24,20200318 16:32,14,MACLELLAN GYM UNIVERSITY CTR
117,138344,123,375,30371,61,1584528000.0,1584529860.0,20200318 06:40,20200318 07:11,1,ALTON PARK
118,139249,136,1215,61367,80,1584568860.0,1584571260.0,20200318 18:01,20200318 18:41,19,CROMWELL
119,138819,141,4628,9662,21,1584552720.0,1584553320.0,20200318 13:32,20200318 13:42,14,MCCALLIE + HOUSTON
120,140263,703,439,9053,26,1584537600.0,1584538380.0,20200318 09:20,20200318 09:33,33,SHUTTLE PARK NORTH
121,139245,140,1602,60275,102,1584525600.0,1584528660.0,20200318 06:00,20200318 06:51,19,CROMWELL
122,139710,505,97,72802,137,1584531600.0,1584535680.0,20200318 07:40,20200318 08:48,4,DOWNTOWN
123,138372,138,927,30321,65,1584564000.0,1584565980.0,20200318 16:40,20200318 17:13,1,ALTON PARK
124,140240,718,56,9019,43,1584536880.0,1584538140.0,20200318 09:08,20200318 09:29,33,SHUTTLE PARK NORTH
125,138367,135,375,30321,52,1584558300.0,1584559860.0,20200318 15:05,20200318 15:31,1,ALTON PARK
126,139714,125,64,72600,119,1584536100.0,1584539700.0,20200318 08:55,20200318 09:55,4,DOWNTOWN
127,139675,128,49,81415,99,1584567600.0,1584570540.0,20200318 17:40,20200318 18:29,4,HAMILTON PL EXPRESS
128,140342,718,237,8974,41,1584581700.0,1584582420.0,20200318 21:35,20200318 21:47,33,SHUTTLE PARK NORTH
129,139724,127,72,378,218,1584552060.0,1584558060.0,20200318 13:21,20200318 15:01,4,DOWNTOWN
130,138731,142,418,48741,88,1584550860.0,1584553440.0,20200318 13:01,20200318 13:44,PO,
131,139570,726,1061,4565,20,1584562560.0,1584563160.0,20200318 16:16,20200318 16:26,34,SHUTTLE PARK NORTH
132,139340,148,112,9032,24,1584531960.0,1584532680.0,20200318 07:46,20200318 07:58,21,DOWNTOWN
133,139276,503,418,35728,68,1584554220.0,1584556260.0,20200318 13:57,20200318 14:31,PO,
134,139561,726,435,4333,9,1584553080.0,1584553380.0,20200318 13:38,20200318 13:43,34,SHUTTLE PARK NORTH
135,140354,730,439,8912,28,1584563580.0,1584564420.0,20200318 16:33,20200318 16:47,33,SHUTTLE PARK NORTH
136,138522,135,94,30069,47,1584561960.0,1584563340.0,20200318 16:06,20200318 16:29,10A,AVONDALE
137,139536,726,1230,5037,32,1584569640.0,1584570600.0,20200318 18:14,20200318 18:30,34,TREMONT + FRAZIER
138,138544,123,398,28557,40,1584541200.0,1584542400.0,20200318 10:20,20200318 10:40,10A,DOWNTOWN VIA DODSON AVE HEALTH CTR
139,138421,145,0,39554,57,1584572520.0,1584574260.0,20200318 19:02,20200318 19:31,1,DOWNTOWN
140,139352,503,346,9648,28,1584558360.0,1584559140.0,20200318 15:06,20200318 15:19,21,DOWNTOWN
141,139123,139,221,49564,54,1584527460.0,1584529020.0,20200318 06:31,20200318 06:57,16,NORTHGATE
142,140099,139,377,35584,49,1584531480.0,1584532920.0,20200318 07:38,20200318 08:02,9,EAST LAKE  
143,140495,703,1026,8025,89,1584586860.0,1584592260.0,20200318 23:01,20200319 00:31,33,SHUTTLE PARK SOUTH
