entry_no,tatripid,vid,start_pdist,end_pdist,num_docs,start_timestamp,end_timestamp,start_tmstmp,end_tmstmp,route_id
0,139175,501,113,11465,157,1583340360.0,1583344740.0,20200304 11:46,20200304 12:59,16
1,138969,141,322,7030,14,1583365260.0,1583365680.0,20200304 18:41,20200304 18:48,14
2,139124,124,376,49227,60,1583323200.0,1583325000.0,20200304 07:00,20200304 07:30,16
3,139695,119,418,47025,75,1583322900.0,1583325120.0,20200304 06:55,20200304 07:32,PO
4,138614,126,418,102288,136,1583315820.0,1583319900.0,20200304 04:57,20200304 06:05,PO
5,138822,142,58,9567,24,1583345880.0,1583346600.0,20200304 13:18,20200304 13:30,14
6,139431,105,341,35283,43,1583356140.0,1583357400.0,20200304 16:09,20200304 16:30,28
7,139740,134,107,8309,29,1583365500.0,1583366340.0,20200304 18:45,20200304 18:59,4
8,139110,106,33,24731,48,1583319300.0,1583320680.0,20200304 05:55,20200304 06:18,15
9,138850,142,64,8959,26,1583356500.0,1583357220.0,20200304 16:15,20200304 16:27,14
10,140445,722,220,8220,31,1583359980.0,1583360880.0,20200304 17:13,20200304 17:28,33
11,140145,101,535,34571,55,1583354100.0,1583355720.0,20200304 15:35,20200304 16:02,9
12,138535,132,716,30069,54,1583358060.0,1583359620.0,20200304 16:41,20200304 17:07,10A
13,138655,115,104,37718,69,1583321100.0,1583323140.0,20200304 06:25,20200304 06:59,10G
14,139720,149,65,364,206,1583343900.0,1583349540.0,20200304 12:45,20200304 14:19,4
15,138744,135,235,34781,67,1583351100.0,1583353140.0,20200304 14:45,20200304 15:19,13
16,139680,501,131,73564,124,1583366400.0,1583370180.0,20200304 19:00,20200304 20:03,4
17,140476,703,220,8246,121,1583370900.0,1583373960.0,20200304 20:15,20200304 21:06,33
18,139280,503,12441,19905,13,1583366400.0,1583366760.0,20200304 19:00,20200304 19:06,2
19,138835,141,63,8721,20,1583361000.0,1583361540.0,20200304 17:30,20200304 17:39,14
20,138651,150,0,37626,82,1583362200.0,1583364720.0,20200304 17:50,20200304 18:32,10G
21,138971,141,322,6953,16,1583367660.0,1583368140.0,20200304 19:21,20200304 19:29,14
22,139510,727,349,4972,23,1583335560.0,1583336280.0,20200304 10:26,20200304 10:38,34
23,138750,128,44,49167,216,1583359800.0,1583366340.0,20200304 17:10,20200304 18:59,13
24,138635,148,419,40872,56,1583379240.0,1583380920.0,20200304 22:34,20200304 23:02,10G
25,138771,141,0,9538,23,1583330280.0,1583330940.0,20200304 08:58,20200304 09:09,14
26,139647,752,136,73442,115,1583323020.0,1583326440.0,20200304 06:57,20200304 07:54,4
27,139534,727,0,5178,19,1583361600.0,1583362200.0,20200304 17:40,20200304 17:50,34
28,139750,117,0,31688,59,1583364600.0,1583366340.0,20200304 18:30,20200304 18:59,4
29,139153,124,449,53030,69,1583325000.0,1583327100.0,20200304 07:30,20200304 08:05,16
30,140299,722,304,9031,31,1583355240.0,1583356200.0,20200304 15:54,20200304 16:10,33
31,138376,150,42,26680,55,1583364720.0,1583366340.0,20200304 18:32,20200304 18:59,1
32,140040,110,149,53088,54,1583338140.0,1583339760.0,20200304 11:09,20200304 11:36,8
33,140369,730,209,8200,26,1583325300.0,1583326020.0,20200304 07:35,20200304 07:47,33
34,138719,123,418,48829,85,1583315400.0,1583317920.0,20200304 04:50,20200304 05:32,PO
35,138757,143,59,9042,24,1583330220.0,1583330940.0,20200304 08:57,20200304 09:09,14
36,139251,134,396,61318,74,1583336460.0,1583338800.0,20200304 10:41,20200304 11:20,19
37,138766,143,403,9132,19,1583341500.0,1583342040.0,20200304 12:05,20200304 12:14,14
38,139758,130,78,416,156,1583378880.0,1583384580.0,20200304 22:28,20200305 00:03,4
39,139698,752,0,71986,123,1583319300.0,1583322960.0,20200304 05:55,20200304 06:56,4
40,140356,703,166,8506,39,1583361120.0,1583362260.0,20200304 17:32,20200304 17:51,33
41,139173,506,357,53053,65,1583362560.0,1583364480.0,20200304 17:56,20200304 18:28,16
42,138642,504,0,57079,110,1583358000.0,1583361360.0,20200304 16:40,20200304 17:36,PO
43,140312,730,104,9053,33,1583358480.0,1583359440.0,20200304 16:48,20200304 17:04,33
44,139128,125,376,49413,66,1583335500.0,1583337420.0,20200304 10:25,20200304 10:57,16
45,140265,730,439,9041,28,1583335320.0,1583336160.0,20200304 10:22,20200304 10:36,33
46,139553,727,113,4974,12,1583338260.0,1583338620.0,20200304 11:11,20200304 11:17,34
47,139159,139,0,11465,162,1583352000.0,1583356320.0,20200304 15:00,20200304 16:12,16
48,140028,110,105,12823,14,1583362020.0,1583362440.0,20200304 17:47,20200304 17:54,8
49,140448,730,64,8225,26,1583343360.0,1583344200.0,20200304 12:36,20200304 12:50,33
50,139172,506,528,53077,69,1583354340.0,1583356440.0,20200304 15:39,20200304 16:14,16
51,138814,144,58,9662,23,1583366460.0,1583367180.0,20200304 19:01,20200304 19:13,14
52,138383,105,0,40251,74,1583318520.0,1583320740.0,20200304 05:42,20200304 06:19,1
53,138420,504,0,40220,60,1583364540.0,1583366340.0,20200304 18:29,20200304 18:59,1
54,138359,122,42,30912,59,1583342100.0,1583344080.0,20200304 12:15,20200304 12:48,1
55,,506,0,0,6859,1583308800.0,1583366340.0,20200304 03:00,20200304 18:59,U
56,140114,101,15011,51626,62,1583343900.0,1583345700.0,20200304 12:45,20200304 13:15,9
57,139158,139,0,52936,77,1583344080.0,1583346420.0,20200304 12:48,20200304 13:27,16
58,139667,150,43,73397,127,1583341380.0,1583345460.0,20200304 12:03,20200304 13:11,4
59,139147,144,418,65474,112,1583342400.0,1583345940.0,20200304 12:20,20200304 13:19,PO
60,139150,111,357,53121,59,1583319600.0,1583321400.0,20200304 06:00,20200304 06:30,16
61,138562,135,70,26368,61,1583322300.0,1583324100.0,20200304 06:45,20200304 07:15,10A
62,140102,140,49,35859,66,1583332860.0,1583334840.0,20200304 09:41,20200304 10:14,9
