,tatripid,vid,start_pdist,end_pdist,num_docs,start_timestamp,end_timestamp,start_tmstmp,end_tmstmp,route_id,destination
0,139708,134,100,364,210,1583750400.0,1583756160.0,20200309 06:40,20200309 08:16,4,DOWNTOWN
1,138356,134,42,30965,62,1583765820.0,1583767680.0,20200309 10:57,20200309 11:28,1,ALTON PARK
2,139318,147,486,13647,39,1583766900.0,1583768040.0,20200309 11:15,20200309 11:34,21,GOLDEN GATEWAY
3,139440,142,750,34725,50,1583750520.0,1583751960.0,20200309 06:42,20200309 07:06,28,CHATTANOOGA STATE
4,139684,127,42,73585,128,1583781000.0,1583784840.0,20200309 15:10,20200309 16:14,4,EASTGATE HAMILTON PL
5,140286,729,102,8911,28,1583779320.0,1583780100.0,20200309 14:42,20200309 14:55,33,SHUTTLE PARK NORTH
6,140339,718,56,8650,25,1583802360.0,1583803080.0,20200309 21:06,20200309 21:18,33,SHUTTLE PARK NORTH
7,138345,124,47,31160,61,1583751540.0,1583753340.0,20200309 06:59,20200309 07:29,1,ALTON PARK
8,139362,119,113,346,2,1583798340.0,1583798340.0,20200309 19:59,20200309 19:59,21,DOWNTOWN
9,140239,718,112,9053,34,1583758980.0,1583760000.0,20200309 09:03,20200309 09:20,33,SHUTTLE PARK NORTH
10,139745,503,93,72802,109,1583798400.0,1583801640.0,20200309 20:00,20200309 20:54,4,DOWNTOWN
11,139747,120,0,71789,129,1583768220.0,1583772120.0,20200309 11:37,20200309 12:42,4,DOWNTOWN
12,138362,110,418,45395,85,1583773500.0,1583776020.0,20200309 13:05,20200309 13:47,PO,
13,140119,134,49,36175,81,1583778360.0,1583780820.0,20200309 14:26,20200309 15:07,9,EAST LAKE  
14,139742,506,95,416,202,1583808900.0,1583814420.0,20200309 22:55,20200310 00:27,4,DOWNTOWN
15,139132,150,1006,49483,66,1583793060.0,1583795040.0,20200309 18:31,20200309 19:04,16,NORTHGATE
16,139462,120,0,89330,97,1583747460.0,1583750340.0,20200309 05:51,20200309 06:39,3,ENTERPRISE SOUTH
17,139640,149,42,73585,109,1583756940.0,1583760240.0,20200309 08:29,20200309 09:24,4,EASTGATE HAMILTON PL
18,139317,504,721,13571,36,1583764620.0,1583765820.0,20200309 10:37,20200309 10:57,21,GOLDEN GATEWAY
19,138418,501,302,40357,61,1583790300.0,1583792100.0,20200309 17:45,20200309 18:15,1,DOWNTOWN
20,139716,503,99,79107,86,1583751360.0,1583754000.0,20200309 06:56,20200309 07:40,4,DOWNTOWN EXPRESS
21,139561,727,39,4581,26,1583775360.0,1583776080.0,20200309 13:36,20200309 13:48,34,SHUTTLE PARK NORTH
22,138368,130,47,31156,66,1583781420.0,1583783400.0,20200309 15:17,20200309 15:50,1,ALTON PARK
23,138641,130,376,41012,63,1583785500.0,1583787420.0,20200309 16:25,20200309 16:57,10G,GLENWOOD
24,139568,727,435,5020,8,1583783040.0,1583783280.0,20200309 15:44,20200309 15:48,34,SHUTTLE PARK NORTH
25,140117,145,49,36193,75,1583769420.0,1583771700.0,20200309 11:57,20200309 12:35,9,EAST LAKE  
26,140015,137,219,12823,23,1583758500.0,1583759160.0,20200309 08:55,20200309 09:06,8,EASTDALE
27,140130,112,44,34830,67,1583751660.0,1583753700.0,20200309 07:01,20200309 07:35,9,DOWNTOWN
28,140134,130,183,34465,57,1583761740.0,1583763420.0,20200309 09:49,20200309 10:17,9,DOWNTOWN
29,140375,722,233,8183,29,1583755740.0,1583756580.0,20200309 08:09,20200309 08:23,33,SHUTTLE PARK SOUTH
30,140355,703,849,8938,49,1583787780.0,1583789280.0,20200309 17:03,20200309 17:28,33,SHUTTLE PARK NORTH
31,140115,106,52,36318,78,1583780100.0,1583782440.0,20200309 14:55,20200309 15:34,9,EAST LAKE  
32,140037,137,532,52157,58,1583759160.0,1583760900.0,20200309 09:06,20200309 09:35,8,GERMANTOWN + BRAINERD RD
33,139286,147,0,15070,38,1583750460.0,1583751600.0,20200309 06:41,20200309 07:00,2,DOWNTOWN
34,139734,123,416,83516,55,1583798400.0,1583799480.0,20200309 20:00,20200309 20:18,PI,
35,138648,130,8335,37861,94,1583778600.0,1583781420.0,20200309 14:30,20200309 15:17,PO,
36,139755,149,67886,416,256,1583798400.0,1583805480.0,20200309 20:00,20200309 21:58,4,DOWNTOWN
37,138724,105,49,32904,57,1583763780.0,1583765460.0,20200309 10:23,20200309 10:51,13,ROSSVILLE
38,139309,147,418,28728,49,1583747400.0,1583748840.0,20200309 05:50,20200309 06:14,PO,
39,139108,125,64,25409,55,1583788740.0,1583790360.0,20200309 17:19,20200309 17:46,15,ST ELMO VIA INCLINE 
40,139504,727,223,5203,21,1583757660.0,1583758260.0,20200309 08:41,20200309 08:51,34,TREMONT + FRAZIER
41,140097,130,418,51741,70,1583744160.0,1583746260.0,20200309 04:56,20200309 05:31,PO,
42,139304,119,432,15061,24,1583789280.0,1583789940.0,20200309 17:28,20200309 17:39,2,DOWNTOWN
43,140424,726,4169,8252,206,1583789040.0,1583795220.0,20200309 17:24,20200309 19:07,33,SHUTTLE PARK SOUTH
44,140382,718,0,8190,27,1583758140.0,1583758920.0,20200309 08:49,20200309 09:02,33,SHUTTLE PARK SOUTH
45,138374,126,75,30852,59,1583789340.0,1583791140.0,20200309 17:29,20200309 17:59,1,ALTON PARK
46,139110,138,1059,24731,50,1583747700.0,1583749200.0,20200309 05:55,20200309 06:20,15,DOWNTOWN 
47,140232,729,105,8947,29,1583755980.0,1583756820.0,20200309 08:13,20200309 08:27,33,SHUTTLE PARK NORTH
48,139503,727,3864,5203,29,1583756220.0,1583757060.0,20200309 08:17,20200309 08:31,34,TREMONT + FRAZIER
49,139461,145,418,90741,102,1583742900.0,1583745900.0,20200309 04:35,20200309 05:25,PO,
50,140459,729,209,8061,32,1583791140.0,1583791980.0,20200309 17:59,20200309 18:13,33,SHUTTLE PARK SOUTH
51,139546,727,196,4974,10,1583759340.0,1583759640.0,20200309 09:09,20200309 09:14,34,SHUTTLE PARK NORTH
52,140034,137,432,53218,54,1583752020.0,1583753640.0,20200309 07:07,20200309 07:34,8,GERMANTOWN + BRAINERD RD
53,140302,722,85,8974,30,1583787120.0,1583788020.0,20200309 16:52,20200309 17:07,33,SHUTTLE PARK NORTH
54,140481,718,70,8262,28,1583801520.0,1583802300.0,20200309 20:52,20200309 21:05,33,SHUTTLE PARK SOUTH
55,139269,504,96,19894,41,1583771100.0,1583772300.0,20200309 12:25,20200309 12:45,2,NORTH CHATTANOOGA
56,140128,110,44,364,136,1583763180.0,1583766660.0,20200309 10:13,20200309 11:11,9,DOWNTOWN
57,139759,142,62,380,231,1583790360.0,1583796780.0,20200309 17:46,20200309 19:33,4,DOWNTOWN EXPRESS
58,139735,139,67,72228,152,1583780400.0,1583784960.0,20200309 15:00,20200309 16:16,4,DOWNTOWN
59,139308,148,375,375,39,1583798400.0,1583798940.0,20200309 20:00,20200309 20:09,PI,
60,139465,141,369,77126,94,1583789760.0,1583792580.0,20200309 17:36,20200309 18:23,3,ENTERPRISE SOUTH
61,140025,137,252,12553,30,1583782500.0,1583783340.0,20200309 15:35,20200309 15:49,8,EASTDALE
62,139122,130,1294,49062,64,1583748000.0,1583749920.0,20200309 06:00,20200309 06:32,16,NORTHGATE
63,139637,751,418,87822,138,1583754300.0,1583758440.0,20200309 07:45,20200309 08:54,PO,
64,139267,504,103,19896,34,1583762640.0,1583763660.0,20200309 10:04,20200309 10:21,2,NORTH CHATTANOOGA
65,139522,727,0,5203,14,1583777100.0,1583777520.0,20200309 14:05,20200309 14:12,34,TREMONT + FRAZIER
66,139351,119,106,9612,21,1583779320.0,1583779920.0,20200309 14:42,20200309 14:52,21,DOWNTOWN
67,139707,150,106,72776,120,1583749500.0,1583753100.0,20200309 06:25,20200309 07:25,4,DOWNTOWN
68,140353,703,5099,9005,15,1583782620.0,1583783040.0,20200309 15:37,20200309 15:44,33,SHUTTLE PARK NORTH
69,140141,150,107,34480,65,1583791080.0,1583793060.0,20200309 17:58,20200309 18:31,9,DOWNTOWN
70,138399,119,0,40705,61,1583765340.0,1583767140.0,20200309 10:49,20200309 11:19,1,DOWNTOWN
71,140295,722,94,9053,29,1583774640.0,1583775480.0,20200309 13:24,20200309 13:38,33,SHUTTLE PARK NORTH
72,138416,147,11910,40317,74,1583787180.0,1583789400.0,20200309 16:53,20200309 17:30,1,DOWNTOWN
73,140007,132,416,15986,30,1583766000.0,1583766840.0,20200309 11:00,20200309 11:14,PO,
74,139249,104,282,61477,81,1583791260.0,1583793720.0,20200309 18:01,20200309 18:42,19,CROMWELL
75,140470,729,0,8207,21,1583796540.0,1583797200.0,20200309 19:29,20200309 19:40,33,SHUTTLE PARK SOUTH
76,140349,718,482,8974,21,1583807940.0,1583808540.0,20200309 22:39,20200309 22:49,33,SHUTTLE PARK NORTH
77,138339,125,375,30895,53,1583764860.0,1583766480.0,20200309 10:41,20200309 11:08,1,ALTON PARK
78,139744,503,0,72802,138,1583790300.0,1583794440.0,20200309 17:45,20200309 18:54,4,DOWNTOWN
79,139539,727,0,5143,29,1583794140.0,1583795040.0,20200309 18:49,20200309 19:04,34,TREMONT + FRAZIER
80,138379,126,375,31160,80,1583803860.0,1583806200.0,20200309 21:31,20200309 22:10,1,ALTON PARK
81,139576,727,182,4736,11,1583791620.0,1583791920.0,20200309 18:07,20200309 18:12,34,SHUTTLE PARK NORTH
82,140401,729,0,8148,33,1583762280.0,1583763240.0,20200309 09:58,20200309 10:14,33,SHUTTLE PARK SOUTH
83,139354,148,404,9805,20,1583785200.0,1583785800.0,20200309 16:20,20200309 16:30,21,DOWNTOWN
84,138387,125,0,40633,72,1583752080.0,1583754240.0,20200309 07:08,20200309 07:44,1,DOWNTOWN
85,138742,105,485,49161,122,1583773200.0,1583776320.0,20200309 13:00,20200309 13:52,13,DOWNTOWN
86,140335,718,2579,8575,13,1583801100.0,1583801460.0,20200309 20:45,20200309 20:51,33,SHUTTLE PARK NORTH
87,139332,119,62,13640,42,1583799000.0,1583800260.0,20200309 20:10,20200309 20:31,21,GOLDEN GATEWAY
88,138736,105,535,34781,63,1583750580.0,1583752440.0,20200309 06:43,20200309 07:14,13,DOWNTOWN
89,138352,123,418,45214,87,1583761500.0,1583764140.0,20200309 09:45,20200309 10:29,PO,
90,139521,727,403,5197,11,1583776140.0,1583776440.0,20200309 13:49,20200309 13:54,34,TREMONT + FRAZIER
91,139257,104,262,416,153,1583793720.0,1583798340.0,20200309 18:42,20200309 19:59,19,DOWNTOWN
92,N/A,113,0,0,2550,1583798400.0,1583823600.0,20200309 20:00,20200310 03:00,U,
93,140046,137,207,52597,53,1583780880.0,1583782440.0,20200309 15:08,20200309 15:34,8,GERMANTOWN + BRAINERD RD
94,139729,145,72,72802,119,1583803500.0,1583807040.0,20200309 21:25,20200309 22:24,4,DOWNTOWN
95,138359,118,52,30800,65,1583770500.0,1583772420.0,20200309 12:15,20200309 12:47,1,ALTON PARK
96,139360,119,199,14331,35,1583800260.0,1583801280.0,20200309 20:31,20200309 20:48,21,DOWNTOWN
97,139510,727,691,5201,11,1583764260.0,1583764560.0,20200309 10:31,20200309 10:36,34,TREMONT + FRAZIER
98,139336,147,654,13743,25,1583758860.0,1583759580.0,20200309 09:01,20200309 09:13,21,GOLDEN GATEWAY
99,139273,147,874,20128,28,1583760600.0,1583761440.0,20200309 09:30,20200309 09:44,2,NORTH CHATTANOOGA
100,140218,726,1193,8258,20,1583751060.0,1583751660.0,20200309 06:51,20200309 07:01,33,SHUTTLE PARK NORTH
101,140271,718,239,9053,32,1583771700.0,1583772660.0,20200309 12:35,20200309 12:51,33,SHUTTLE PARK NORTH
102,139748,127,99,72802,138,1583776800.0,1583780940.0,20200309 14:00,20200309 15:09,4,DOWNTOWN
103,140289,729,102,8960,28,1583784840.0,1583785680.0,20200309 16:14,20200309 16:28,33,SHUTTLE PARK NORTH
