,tatripid,vid,start_pdist,end_pdist,num_docs,start_timestamp,end_timestamp,start_tmstmp,end_tmstmp,route_id,destination
0,140470,729,0,7909,20,1584487860.0,1584488400.0,20200317 19:31,20200317 19:40,33,SHUTTLE PARK SOUTH
1,138735,118,485,34781,77,1584437520.0,1584439800.0,20200317 05:32,20200317 06:10,13,DOWNTOWN
2,139335,503,62,13693,39,1584492660.0,1584493800.0,20200317 20:51,20200317 21:10,21,GOLDEN GATEWAY
3,138358,125,375,29914,54,1584460800.0,1584462420.0,20200317 12:00,20200317 12:27,1,ALTON PARK
4,139668,111,418,87822,128,1584476700.0,1584480540.0,20200317 16:25,20200317 17:29,PO,
5,139550,726,39,4873,54,1584454500.0,1584456300.0,20200317 10:15,20200317 10:45,34,SHUTTLE PARK NORTH
6,138799,142,4854,9048,16,1584468300.0,1584468780.0,20200317 14:05,20200317 14:13,14,MCCALLIE + HOUSTON
7,139162,125,0,52900,56,1584493080.0,1584494760.0,20200317 20:58,20200317 21:26,16,DOWNTOWN
8,139123,131,376,49563,63,1584441180.0,1584443040.0,20200317 06:33,20200317 07:04,16,NORTHGATE
9,140490,730,0,8262,29,1584496920.0,1584497760.0,20200317 22:02,20200317 22:16,33,SHUTTLE PARK SOUTH
10,138738,118,485,29428,43,1584449340.0,1584450600.0,20200317 08:49,20200317 09:10,13,DOWNTOWN
11,139506,726,0,5048,10,1584451200.0,1584451500.0,20200317 09:20,20200317 09:25,34,TREMONT + FRAZIER
12,139291,751,64,15005,29,1584453060.0,1584453900.0,20200317 09:51,20200317 10:05,2,DOWNTOWN
13,138892,142,128,4105,23,1584456540.0,1584457200.0,20200317 10:49,20200317 11:00,14,MACLELLAN GYM UNIVERSITY CTR
14,138905,141,317,4100,34,1584456840.0,1584457860.0,20200317 10:54,20200317 11:11,14,MACLELLAN GYM UNIVERSITY CTR
15,139521,726,377,5183,9,1584467340.0,1584467580.0,20200317 13:49,20200317 13:53,34,TREMONT + FRAZIER
16,140403,729,0,8262,23,1584457140.0,1584457800.0,20200317 10:59,20200317 11:10,33,SHUTTLE PARK SOUTH
17,140045,135,532,52989,54,1584469860.0,1584471480.0,20200317 14:31,20200317 14:58,8,GERMANTOWN + BRAINERD RD
18,140496,730,72,7960,84,1584498720.0,1584500640.0,20200317 22:32,20200317 23:04,33,SHUTTLE PARK SOUTH
19,138374,115,42,30221,65,1584480300.0,1584482280.0,20200317 17:25,20200317 17:58,1,ALTON PARK
20,140113,125,49,36164,61,1584494760.0,1584496620.0,20200317 21:26,20200317 21:57,9,EAST LAKE  
21,139253,136,123,88588,125,1584441660.0,1584445620.0,20200317 06:41,20200317 07:47,19,DOWNTOWN
22,138523,150,376,29977,58,1584480420.0,1584482160.0,20200317 17:27,20200317 17:56,10A,AVONDALE
23,138834,143,5365,8305,14,1584479640.0,1584480060.0,20200317 17:14,20200317 17:21,14,MCCALLIE + HOUSTON
24,139463,128,36,31924,80,1584443940.0,1584446280.0,20200317 07:19,20200317 07:58,3,ENTERPRISE SOUTH
25,139553,726,243,4876,21,1584457920.0,1584458520.0,20200317 11:12,20200317 11:22,34,SHUTTLE PARK NORTH
26,139728,147,97,47823,90,1584486900.0,1584489540.0,20200317 19:15,20200317 19:59,4,DOWNTOWN
27,140154,124,115,34888,61,1584476700.0,1584478560.0,20200317 16:25,20200317 16:56,9,DOWNTOWN
28,139309,751,418,28739,44,1584438780.0,1584440040.0,20200317 05:53,20200317 06:14,PO,
29,139147,140,418,65588,96,1584462060.0,1584464940.0,20200317 12:21,20200317 13:09,PO,
30,138633,115,149,40639,53,1584484380.0,1584485940.0,20200317 18:33,20200317 18:59,10G,GLENWOOD
31,139308,148,416,370,36,1584489660.0,1584490140.0,20200317 20:01,20200317 20:09,PI,
32,139261,752,418,36176,55,1584438780.0,1584440400.0,20200317 05:53,20200317 06:20,PO,
33,138787,143,5065,9662,51,1584453120.0,1584454620.0,20200317 09:52,20200317 10:17,14,MCCALLIE + HOUSTON
34,139566,726,243,4869,11,1584472440.0,1584472740.0,20200317 15:14,20200317 15:19,34,SHUTTLE PARK NORTH
35,139437,103,418,49828,65,1584457020.0,1584458940.0,20200317 10:57,20200317 11:29,PO,
36,139562,726,1682,4922,14,1584467640.0,1584468060.0,20200317 13:54,20200317 14:01,34,SHUTTLE PARK NORTH
37,140433,729,209,8112,34,1584475020.0,1584476040.0,20200317 15:57,20200317 16:14,33,SHUTTLE PARK SOUTH
38,138668,132,427,86603,72,1584487380.0,1584489540.0,20200317 19:23,20200317 19:59,10G,DOWNTOWN VIA HWY 58 STUART
39,139648,138,995,87822,132,1584441180.0,1584445200.0,20200317 06:33,20200317 07:40,4,EASTGATE HAMILTON PL
40,140249,703,286,8380,58,1584466200.0,1584467220.0,20200317 13:30,20200317 13:47,33,SHUTTLE PARK NORTH
41,138546,125,70,28892,59,1584459000.0,1584460740.0,20200317 11:30,20200317 11:59,10A,DOWNTOWN VIA DODSON AVE HEALTH CTR
42,138825,143,4718,8905,19,1584468720.0,1584469320.0,20200317 14:12,20200317 14:22,14,MCCALLIE + HOUSTON
43,139446,103,0,33340,60,1584477000.0,1584478740.0,20200317 16:30,20200317 16:59,28,DOWNTOWN
44,140036,135,116,53062,86,1584447960.0,1584450540.0,20200317 08:26,20200317 09:09,8,GERMANTOWN + BRAINERD RD
45,138647,149,135,37792,69,1584469500.0,1584471540.0,20200317 14:25,20200317 14:59,10G,DOWNTOWN
46,140227,729,56,8926,39,1584445140.0,1584446220.0,20200317 07:39,20200317 07:57,33,SHUTTLE PARK NORTH
47,139136,131,370,49075,49,1584467400.0,1584468840.0,20200317 13:50,20200317 14:14,16,NORTHGATE
48,139259,110,2333,88557,125,1584458460.0,1584462180.0,20200317 11:21,20200317 12:23,19,DOWNTOWN
49,138354,132,673,44251,75,1584454320.0,1584456600.0,20200317 10:12,20200317 10:50,1,ALTON PARK
50,138639,127,376,40963,125,1584448020.0,1584452040.0,20200317 08:27,20200317 09:34,10G,GLENWOOD
51,139431,103,91,35613,45,1584475620.0,1584476940.0,20200317 16:07,20200317 16:29,28,CHATTANOOGA STATE
52,139160,125,0,52792,68,1584478200.0,1584480240.0,20200317 16:50,20200317 17:24,16,DOWNTOWN
