entry_no,tatripid,vid,start_pdist,end_pdist,num_docs,start_timestamp,end_timestamp,start_tmstmp,end_tmstmp,route_id
0,140102,125,0,35959,62,1583505900.0,1583507760.0,20200306 09:45,20200306 10:16,9
1,140145,110,44,34839,80,1583526300.0,1583528700.0,20200306 15:25,20200306 16:05,9
2,140954,141,322,416,225,1583544000.0,1583550300.0,20200306 20:20,20200306 22:05,14
3,138756,144,0,9662,30,1583501280.0,1583502120.0,20200306 08:28,20200306 08:42,14
4,139502,726,618,4426,6,1583499900.0,1583500080.0,20200306 08:05,20200306 08:08,34
5,140003,127,0,15986,195,1583498760.0,1583503500.0,20200306 07:46,20200306 09:05,7
6,139460,103,49471,416,99,1583539200.0,1583541540.0,20200306 19:00,20200306 19:39,28
7,138421,147,13968,39552,55,1583539380.0,1583541000.0,20200306 19:03,20200306 19:30,1
8,138964,141,122,7030,16,1583532060.0,1583532480.0,20200306 17:01,20200306 17:08,14
9,138828,141,63,9662,30,1583525400.0,1583526300.0,20200306 15:10,20200306 15:25,14
10,139567,727,146,4670,25,1583526300.0,1583527020.0,20200306 15:25,20200306 15:37,34
11,139678,118,0,87822,148,1583522040.0,1583526600.0,20200306 14:14,20200306 15:30,4
12,140116,115,54,36160,85,1583531100.0,1583533620.0,20200306 16:45,20200306 17:27,9
13,139691,147,375,73560,133,1583516460.0,1583520480.0,20200306 12:41,20200306 13:48,4
14,138423,147,0,40356,53,1583546580.0,1583548140.0,20200306 21:03,20200306 21:29,1
15,138957,141,322,7235,22,1583523540.0,1583524200.0,20200306 14:39,20200306 14:50,14
16,138784,143,0,9432,31,1583502120.0,1583503020.0,20200306 08:42,20200306 08:57,14
17,139265,751,80,19892,44,1583499540.0,1583500860.0,20200306 07:59,20200306 08:21,2
18,138729,138,49,32987,49,1583529360.0,1583530800.0,20200306 16:16,20200306 16:40,13
19,140456,730,66,8226,28,1583530560.0,1583531400.0,20200306 16:36,20200306 16:50,33
20,139139,118,418,65422,116,1583504400.0,1583507880.0,20200306 09:20,20200306 10:18,PO
21,139743,118,76,72802,140,1583526600.0,1583530860.0,20200306 15:30,20200306 16:41,4
22,138615,105,418,103840,140,1583491140.0,1583495400.0,20200306 05:39,20200306 06:50,PO
23,138940,144,130,7030,13,1583532780.0,1583533140.0,20200306 17:13,20200306 17:19,14
24,139677,120,145,73585,104,1583550120.0,1583553240.0,20200306 22:02,20200306 22:54,4
25,139289,751,0,15060,24,1583500860.0,1583501580.0,20200306 08:21,20200306 08:33,2
26,138899,141,317,7263,13,1583501400.0,1583501760.0,20200306 08:30,20200306 08:36,14
27,138951,143,317,7033,14,1583516880.0,1583517300.0,20200306 12:48,20200306 12:55,14
28,138551,101,3261,416,79,1583536800.0,1583539140.0,20200306 18:20,20200306 18:59,10A
29,139288,753,171,15005,22,1583499000.0,1583499600.0,20200306 07:50,20200306 08:00,2
30,139531,727,0,5203,22,1583531160.0,1583531820.0,20200306 16:46,20200306 16:57,34
31,140952,117,606,58304,76,1583536860.0,1583539140.0,20200306 18:21,20200306 18:59,3
32,138947,144,117,6998,13,1583541180.0,1583541540.0,20200306 19:33,20200306 19:39,14
33,138917,143,148,7035,10,1583504640.0,1583504880.0,20200306 09:24,20200306 09:28,14
34,138948,144,122,415,103,1583542320.0,1583544840.0,20200306 19:52,20200306 20:34,14
35,139350,753,740,27352,99,1583521020.0,1583523420.0,20200306 13:57,20200306 14:37,21
36,140125,142,418,51314,111,1583526900.0,1583530200.0,20200306 15:35,20200306 16:30,PO
37,140114,110,10541,51954,81,1583516460.0,1583518860.0,20200306 12:41,20200306 13:21,9
38,140326,730,97,9052,25,1583540700.0,1583541420.0,20200306 19:25,20200306 19:37,33
39,140412,730,0,8249,30,1583514540.0,1583515440.0,20200306 12:09,20200306 12:24,33
40,139343,751,287,9849,20,1583506560.0,1583507100.0,20200306 09:56,20200306 10:05,21
41,140471,730,68,8257,29,1583541480.0,1583542320.0,20200306 19:38,20200306 19:52,33
42,138931,144,322,7077,15,1583522160.0,1583522580.0,20200306 14:16,20200306 14:23,14
43,138720,111,474,33018,46,1583493120.0,1583494500.0,20200306 06:12,20200306 06:35,13
44,,136,0,0,8309,1583481600.0,1583539140.0,20200306 03:00,20200306 18:59,U
45,139433,103,341,35264,38,1583523000.0,1583524140.0,20200306 14:30,20200306 14:49,28
46,138563,103,70,364,138,1583496600.0,1583500140.0,20200306 07:10,20200306 08:09,10A
47,139125,135,324,49564,58,1583498040.0,1583499780.0,20200306 07:34,20200306 08:03,16
48,139702,149,103,370,226,1583505600.0,1583511780.0,20200306 09:40,20200306 11:23,4
49,140253,718,98,8726,27,1583510700.0,1583511480.0,20200306 11:05,20200306 11:18,33
50,139723,120,112,71921,131,1583511300.0,1583515200.0,20200306 11:15,20200306 12:20,4
51,140104,135,49,36181,61,1583494440.0,1583496300.0,20200306 06:34,20200306 07:05,9
52,138627,124,376,41228,62,1583509500.0,1583511360.0,20200306 10:45,20200306 11:16,10G
53,140154,142,563,34580,50,1583530200.0,1583531700.0,20200306 16:30,20200306 16:55,9
54,140322,730,3663,8973,20,1583539200.0,1583539740.0,20200306 19:00,20200306 19:09,33
55,139173,504,113,53121,71,1583535240.0,1583537940.0,20200306 17:54,20200306 18:39,16
56,138858,143,403,1481,3,1583539080.0,1583539140.0,20200306 18:58,20200306 18:59,14
57,138764,144,170,9540,18,1583511900.0,1583512380.0,20200306 11:25,20200306 11:33,14
58,138914,143,108,7026,15,1583500440.0,1583500860.0,20200306 08:14,20200306 08:21,14
59,138781,141,0,9043,27,1583508000.0,1583508720.0,20200306 10:20,20200306 10:32,14
60,139432,103,750,35404,42,1583526000.0,1583527260.0,20200306 15:20,20200306 15:41,28
61,138846,143,403,9533,20,1583524680.0,1583525280.0,20200306 14:58,20200306 15:08,14
62,139104,106,0,25392,62,1583505300.0,1583507100.0,20200306 09:35,20200306 10:05,15
63,138809,144,58,8848,26,1583533140.0,1583533920.0,20200306 17:19,20200306 17:32,14
64,139178,142,113,11465,148,1583533800.0,1583537640.0,20200306 17:30,20200306 18:34,16
65,139577,727,120,4869,14,1583537100.0,1583537520.0,20200306 18:25,20200306 18:32,34
66,140121,504,20965,35939,20,1583539200.0,1583539740.0,20200306 19:00,20200306 19:09,9
67,139676,120,126,73585,105,1583542800.0,1583546040.0,20200306 20:00,20200306 20:54,4
68,138426,145,0,58126,155,1583556840.0,1583560860.0,20200306 23:54,20200307 01:01,1
69,139319,751,456,13790,48,1583513820.0,1583515320.0,20200306 11:57,20200306 12:22,21
70,138800,144,64,8935,19,1583522640.0,1583523180.0,20200306 14:24,20200306 14:33,14
71,138853,143,499,9125,18,1583533260.0,1583533740.0,20200306 17:21,20200306 17:29,14
72,139436,103,750,35346,41,1583514000.0,1583515200.0,20200306 12:00,20200306 12:20,28
73,138519,112,418,45971,86,1583513100.0,1583515620.0,20200306 11:45,20200306 12:27,PO
74,138408,134,0,40558,77,1583522100.0,1583524440.0,20200306 14:15,20200306 14:54,1
75,140947,130,627,416,147,1583499360.0,1583503200.0,20200306 07:56,20200306 09:00,3
76,140010,140,228,11830,15,1583491020.0,1583491500.0,20200306 05:37,20200306 05:45,8
77,139168,115,87,48322,69,1583537100.0,1583539140.0,20200306 18:25,20200306 18:59,16
78,140255,718,166,8935,36,1583514360.0,1583515440.0,20200306 12:06,20200306 12:24,33
79,138645,123,109,37861,70,1583510400.0,1583512500.0,20200306 11:00,20200306 11:35,10G
80,139145,501,488,65588,115,1583502540.0,1583505960.0,20200306 08:49,20200306 09:46,16
81,140018,140,0,12862,20,1583510100.0,1583510700.0,20200306 10:55,20200306 11:05,8
82,138799,144,451,9432,22,1583521500.0,1583522100.0,20200306 14:05,20200306 14:15,14
83,139451,103,0,33340,57,1583515200.0,1583517000.0,20200306 12:20,20200306 12:50,28
84,138777,141,60,9345,28,1583511780.0,1583512620.0,20200306 11:23,20200306 11:37,14
85,138536,112,376,30017,43,1583536860.0,1583538120.0,20200306 18:21,20200306 18:42,10A
86,140372,718,0,8202,33,1583498940.0,1583499900.0,20200306 07:49,20200306 08:05,33
87,138816,144,0,8997,24,1583541600.0,1583542260.0,20200306 19:40,20200306 19:51,14
88,138619,119,418,102582,139,1583496360.0,1583500560.0,20200306 07:06,20200306 08:16,PO
89,139108,122,690,25409,45,1583533080.0,1583534400.0,20200306 17:18,20200306 17:40,15
90,138802,144,69,9662,19,1583525220.0,1583525760.0,20200306 15:07,20200306 15:16,14
