entry_no,tatripid,vid,start_pdist,end_pdist,num_docs,start_timestamp,end_timestamp,start_tmstmp,end_tmstmp,route_id
0,139504,726,294,5203,15,1583844060.0,1583844480.0,20200310 08:41,20200310 08:48,34
1,139520,726,0,5197,17,1583861280.0,1583861700.0,20200310 13:28,20200310 13:35,34
2,139129,138,488,65588,94,1583855880.0,1583858700.0,20200310 11:58,20200310 12:45,16
3,140040,141,432,52879,44,1583853240.0,1583854560.0,20200310 11:14,20200310 11:36,8
4,139715,148,0,72654,119,1583830800.0,1583834340.0,20200310 05:00,20200310 05:59,4
5,138347,139,418,45396,88,1583839500.0,1583842140.0,20200310 07:25,20200310 08:09,PO
6,139749,506,95,416,186,1583871480.0,1583877060.0,20200310 16:18,20200310 17:51,4
7,139289,752,278,15118,32,1583843040.0,1583844000.0,20200310 08:24,20200310 08:40,2
8,139573,726,39,4941,27,1583874600.0,1583875380.0,20200310 17:10,20200310 17:23,34
9,140424,727,0,7540,28,1583875260.0,1583876100.0,20200310 17:21,20200310 17:35,33
10,138533,753,99,29749,53,1583866560.0,1583868120.0,20200310 14:56,20200310 15:22,10A
11,138637,142,376,41205,65,1583840820.0,1583842740.0,20200310 07:47,20200310 08:19,10G
12,138658,112,146,11465,166,1583841180.0,1583845560.0,20200310 07:53,20200310 09:06,10G
13,140394,727,0,8047,28,1583860380.0,1583861220.0,20200310 13:13,20200310 13:27,33
14,139574,726,55,4972,17,1583875800.0,1583876280.0,20200310 17:30,20200310 17:38,34
15,139698,122,108,72792,124,1583834100.0,1583837820.0,20200310 05:55,20200310 06:57,4
16,139340,752,740,9648,17,1583841060.0,1583841540.0,20200310 07:51,20200310 07:59,21
17,139150,117,357,52860,66,1583834400.0,1583836380.0,20200310 06:00,20200310 06:33,16
18,139546,726,119,4974,15,1583845620.0,1583846040.0,20200310 09:07,20200310 09:14,34
19,139554,726,231,0,45,1583854320.0,1583855640.0,20200310 11:32,20200310 11:54,34
20,139245,138,1710,61477,98,1583834400.0,1583837400.0,20200310 06:00,20200310 06:50,19
21,138338,128,418,45399,89,1583830800.0,1583833440.0,20200310 05:00,20200310 05:44,PO
22,139111,143,441,24731,49,1583837100.0,1583838540.0,20200310 06:45,20200310 07:09,15
23,138408,753,0,40344,81,1583864100.0,1583866560.0,20200310 14:15,20200310 14:56,1
24,139719,148,93,0,215,1583850900.0,1583856840.0,20200310 10:35,20200310 12:14,4
25,138521,150,376,30015,41,1583863680.0,1583864940.0,20200310 14:08,20200310 14:29,10A
26,140443,727,5755,4812,8,1583869080.0,1583869260.0,20200310 15:38,20200310 15:41,33
