,tatripid,vid,start_pdist,end_pdist,num_docs,start_timestamp,end_timestamp,start_tmstmp,end_tmstmp,route_id,destination
0,138544,115,398,28875,52,1584109080.0,1584110640.0,20200313 10:18,20200313 10:44,10A,DOWNTOWN VIA DODSON AVE HEALTH CTR
1,139701,505,0,72575,134,1584097800.0,1584101820.0,20200313 07:10,20200313 08:17,4,DOWNTOWN
2,139293,751,432,15063,22,1584111600.0,1584112200.0,20200313 11:00,20200313 11:10,2,DOWNTOWN
3,139154,144,357,52474,69,1584101100.0,1584103200.0,20200313 08:05,20200313 08:40,16,DOWNTOWN
4,140024,138,498,12858,19,1584126120.0,1584126660.0,20200313 15:02,20200313 15:11,8,EASTDALE
5,140276,718,114,8835,31,1584126360.0,1584127260.0,20200313 15:06,20200313 15:21,33,SHUTTLE PARK NORTH
6,140041,138,189,52957,52,1584114780.0,1584116400.0,20200313 11:53,20200313 12:20,8,GERMANTOWN + BRAINERD RD
7,139668,150,418,87641,148,1584130620.0,1584135060.0,20200313 16:17,20200313 17:31,PO,
8,139999,110,5941,2701,63,1584128880.0,1584130620.0,20200313 15:48,20200313 16:17,7,DOWNTOWN
9,139648,123,0,87822,132,1584095580.0,1584099540.0,20200313 06:33,20200313 07:39,4,EASTGATE HAMILTON PL
10,139740,136,0,72595,148,1584139500.0,1584143940.0,20200313 18:45,20200313 19:59,4,DOWNTOWN
11,140462,718,0,8226,31,1584138060.0,1584138960.0,20200313 18:21,20200313 18:36,33,SHUTTLE PARK SOUTH
12,140260,729,439,8894,27,1584114240.0,1584115020.0,20200313 11:44,20200313 11:57,33,SHUTTLE PARK NORTH
13,138382,130,0,40320,74,1584091380.0,1584093600.0,20200313 05:23,20200313 06:00,1,DOWNTOWN
14,139431,103,750,35613,45,1584130320.0,1584131640.0,20200313 16:12,20200313 16:34,28,CHATTANOOGA STATE
15,139675,115,531,81415,88,1584135900.0,1584138540.0,20200313 17:45,20200313 18:29,4,HAMILTON PL EXPRESS
16,139655,501,117,73391,114,1584106740.0,1584110160.0,20200313 09:39,20200313 10:36,4,EASTGATE HAMILTON PL
17,140227,729,439,9024,35,1584099720.0,1584100740.0,20200313 07:42,20200313 07:59,33,SHUTTLE PARK NORTH
18,140036,138,98,52772,57,1584102480.0,1584104220.0,20200313 08:28,20200313 08:57,8,GERMANTOWN + BRAINERD RD
19,139288,751,432,15064,31,1584100260.0,1584101220.0,20200313 07:51,20200313 08:07,2,DOWNTOWN
20,138518,130,376,30069,67,1584109560.0,1584111540.0,20200313 10:26,20200313 10:59,10A,AVONDALE
21,139153,134,0,52894,79,1584098940.0,1584101280.0,20200313 07:29,20200313 08:08,16,DOWNTOWN
22,139544,726,243,4974,15,1584102900.0,1584103260.0,20200313 08:35,20200313 08:41,34,SHUTTLE PARK NORTH
