,tatripid,vid,start_pdist,end_pdist,num_docs,start_timestamp,end_timestamp,start_tmstmp,end_tmstmp,route_id,destination
0,138760,141,60,9432,32,1583247120.0,1583248080.0,20200303 09:52,20200303 10:08,14,MCCALLIE + HOUSTON
1,139759,106,0,83614,75,1583277720.0,1583279940.0,20200303 18:22,20200303 18:59,4,DOWNTOWN EXPRESS
2,139740,501,11202,72802,383,1583280000.0,1583288040.0,20200303 19:00,20200303 21:14,4,DOWNTOWN
3,140007,125,416,15592,37,1583251200.0,1583252280.0,20200303 11:00,20200303 11:18,PO,
4,139307,751,432,15068,20,1583246400.0,1583246940.0,20200303 09:40,20200303 09:49,2,DOWNTOWN
5,138963,143,322,7018,20,1583271840.0,1583272380.0,20200303 16:44,20200303 16:53,14,MACLELLAN GYM UNIVERSITY CTR
6,139531,726,618,4038,9,1583271960.0,1583272260.0,20200303 16:46,20200303 16:51,34,TREMONT + FRAZIER
7,139251,140,1166,61318,66,1583250540.0,1583252460.0,20200303 10:49,20200303 11:21,19,CROMWELL
8,139321,751,483,13750,47,1583259660.0,1583261040.0,20200303 13:21,20200303 13:44,21,GOLDEN GATEWAY
9,139256,120,135,88514,119,1583272800.0,1583276400.0,20200303 17:00,20200303 18:00,19,DOWNTOWN
10,139154,127,357,52894,59,1583240940.0,1583242680.0,20200303 08:09,20200303 08:38,16,DOWNTOWN
11,140273,729,100,8355,34,1583260440.0,1583261400.0,20200303 13:34,20200303 13:50,33,SHUTTLE PARK NORTH
12,140304,718,304,9053,38,1583257740.0,1583258880.0,20200303 12:49,20200303 13:08,33,SHUTTLE PARK NORTH
13,138564,120,89,26102,56,1583263500.0,1583265180.0,20200303 14:25,20200303 14:53,10A,DOWNTOWN
14,139429,103,247,35346,42,1583275800.0,1583277000.0,20200303 17:50,20200303 18:10,28,CHATTANOOGA STATE
15,139547,726,243,4981,17,1583245680.0,1583246160.0,20200303 09:28,20200303 09:36,34,SHUTTLE PARK NORTH
16,139454,138,0,33340,31,1583234700.0,1583235660.0,20200303 06:25,20200303 06:41,28,DOWNTOWN
17,139111,105,33,24731,50,1583235900.0,1583237400.0,20200303 06:45,20200303 07:10,15,DOWNTOWN 
18,138781,143,62,9548,28,1583248800.0,1583249760.0,20200303 10:20,20200303 10:36,14,MCCALLIE + HOUSTON
19,138750,131,416,416,49,1583280000.0,1583281440.0,20200303 19:00,20200303 19:24,PI,
20,138764,141,58,9125,20,1583252340.0,1583252940.0,20200303 11:19,20200303 11:29,14,MCCALLIE + HOUSTON
21,139315,751,654,13764,35,1583247000.0,1583248020.0,20200303 09:50,20200303 10:07,21,GOLDEN GATEWAY
22,138376,504,21812,23147,6,1583280000.0,1583280060.0,20200303 19:00,20200303 19:01,1,ALTON PARK
23,140145,124,322,34626,44,1583267880.0,1583269200.0,20200303 15:38,20200303 16:00,9,DOWNTOWN
24,140102,126,49,36146,60,1583246760.0,1583248560.0,20200303 09:46,20200303 10:16,9,EAST LAKE  
25,139451,103,79,33340,60,1583256000.0,1583257800.0,20200303 12:20,20200303 12:50,28,DOWNTOWN
26,139324,503,429,13055,29,1583264760.0,1583265600.0,20200303 14:46,20200303 15:00,21,GOLDEN GATEWAY
27,140013,135,420,12862,18,1583239020.0,1583239560.0,20200303 07:37,20200303 07:46,8,EASTDALE
28,139156,126,0,52792,57,1583245020.0,1583246700.0,20200303 09:17,20200303 09:45,16,DOWNTOWN
29,140106,130,0,36056,55,1583241000.0,1583242620.0,20200303 08:10,20200303 08:37,9,EAST LAKE  
30,140038,135,532,53218,66,1583246640.0,1583248620.0,20200303 09:44,20200303 10:17,8,GERMANTOWN + BRAINERD RD
31,139131,130,1058,49467,73,1583270580.0,1583272740.0,20200303 16:23,20200303 16:59,16,NORTHGATE
32,138663,117,342,8311,8,1583273460.0,1583273700.0,20200303 17:11,20200303 17:15,10G,DOWNTOWN
33,138934,141,107,6755,18,1583266920.0,1583267460.0,20200303 15:22,20200303 15:31,14,MACLELLAN GYM UNIVERSITY CTR
34,139677,501,56,73585,104,1583290920.0,1583294040.0,20200303 22:02,20200303 22:54,4,EASTGATE HAMILTON PL
35,140045,135,108,52839,49,1583263800.0,1583265300.0,20200303 14:30,20200303 14:55,8,GERMANTOWN + BRAINERD RD
36,138404,126,0,40607,67,1583257740.0,1583259780.0,20200303 12:49,20200303 13:23,1,DOWNTOWN
37,138521,112,376,29936,47,1583262540.0,1583263980.0,20200303 14:09,20200303 14:33,10A,AVONDALE
38,138410,126,11513,40547,91,1583265600.0,1583268300.0,20200303 15:00,20200303 15:45,1,DOWNTOWN
39,140420,729,63,8126,28,1583266980.0,1583267760.0,20200303 15:23,20200303 15:36,33,SHUTTLE PARK SOUTH
40,140218,718,1477,8529,26,1583236200.0,1583236920.0,20200303 06:50,20200303 07:02,33,SHUTTLE PARK NORTH
41,138881,143,322,7030,13,1583283780.0,1583284140.0,20200303 20:03,20200303 20:09,14,MACLELLAN GYM UNIVERSITY CTR
42,139572,726,1338,4279,19,1583272260.0,1583272800.0,20200303 16:51,20200303 17:00,34,SHUTTLE PARK NORTH
43,138825,143,0,9535,22,1583262540.0,1583263200.0,20200303 14:09,20200303 14:20,14,MCCALLIE + HOUSTON
44,138370,125,375,31154,60,1583269320.0,1583271060.0,20200303 16:02,20200303 16:31,1,ALTON PARK
45,139283,148,551,19889,46,1583273340.0,1583274720.0,20200303 17:09,20200303 17:32,2,NORTH CHATTANOOGA
46,139269,751,89,19592,40,1583257740.0,1583258940.0,20200303 12:49,20200303 13:09,2,NORTH CHATTANOOGA
47,138417,123,0,40278,62,1583273640.0,1583275500.0,20200303 17:14,20200303 17:45,1,DOWNTOWN
48,138954,143,322,7168,13,1583261100.0,1583261520.0,20200303 13:45,20200303 13:52,14,MACLELLAN GYM UNIVERSITY CTR
49,140119,139,221,36252,67,1583263860.0,1583265900.0,20200303 14:31,20200303 15:05,9,EAST LAKE  
50,139707,501,0,72397,125,1583234940.0,1583238660.0,20200303 06:29,20200303 07:31,4,DOWNTOWN
51,139501,726,462,5197,15,1583239680.0,1583240100.0,20200303 07:48,20200303 07:55,34,TREMONT + FRAZIER
52,140133,127,435,52783,126,1583244780.0,1583248560.0,20200303 09:13,20200303 10:16,9,DOWNTOWN
53,139682,504,418,87572,141,1583249100.0,1583253480.0,20200303 10:25,20200303 11:38,PO,
