,tatripid,vid,start_pdist,end_pdist,num_docs,start_timestamp,end_timestamp,start_tmstmp,end_tmstmp,route_id,destination
0,139540,727,39,4756,12,1584703320.0,1584703680.0,20200320 07:22,20200320 07:28,34,SHUTTLE PARK NORTH
1,138847,143,5403,9094,9,1584732000.0,1584732180.0,20200320 15:20,20200320 15:23,14,MCCALLIE + HOUSTON
2,139320,751,654,13704,52,1584721200.0,1584722700.0,20200320 12:20,20200320 12:45,21,GOLDEN GATEWAY
3,138733,134,49,33097,70,1584733200.0,1584735300.0,20200320 15:40,20200320 16:15,13,ROSSVILLE
4,138965,141,54,4100,24,1584739200.0,1584739920.0,20200320 17:20,20200320 17:32,14,MACLELLAN GYM UNIVERSITY CTR
5,140319,718,159,9053,31,1584743460.0,1584744360.0,20200320 18:31,20200320 18:46,33,SHUTTLE PARK NORTH
6,138564,149,398,26270,54,1584728700.0,1584730320.0,20200320 14:25,20200320 14:52,10A,DOWNTOWN
7,139668,126,418,87822,148,1584735300.0,1584739740.0,20200320 16:15,20200320 17:29,PO,
8,139575,727,112,4811,25,1584741000.0,1584741720.0,20200320 17:50,20200320 18:02,34,SHUTTLE PARK NORTH
9,139315,145,462,13581,33,1584711300.0,1584712260.0,20200320 09:35,20200320 09:51,21,GOLDEN GATEWAY
10,140394,718,0,8220,28,1584724500.0,1584725340.0,20200320 13:15,20200320 13:29,33,SHUTTLE PARK SOUTH
11,138803,105,3629,8890,17,1584732300.0,1584732720.0,20200320 15:25,20200320 15:32,14,MCCALLIE + HOUSTON
12,139117,136,104,24731,54,1584734100.0,1584735720.0,20200320 15:55,20200320 16:22,15,DOWNTOWN 
13,139451,106,0,33358,68,1584721200.0,1584723180.0,20200320 12:20,20200320 12:53,28,DOWNTOWN
14,140286,703,2079,8923,29,1584729720.0,1584730500.0,20200320 14:42,20200320 14:55,PO,
15,139565,727,39,5020,21,1584729960.0,1584730560.0,20200320 14:46,20200320 14:56,34,SHUTTLE PARK NORTH
16,140106,119,49,36120,55,1584706080.0,1584707760.0,20200320 08:08,20200320 08:36,9,EAST LAKE  
17,138664,124,11465,11465,83,1584748800.0,1584750660.0,20200320 20:00,20200320 20:31,PI,
18,138820,143,4695,8934,29,1584722340.0,1584723180.0,20200320 12:39,20200320 12:53,14,MCCALLIE + HOUSTON
19,138402,115,0,39532,79,1584719400.0,1584721740.0,20200320 11:50,20200320 12:29,1,DOWNTOWN
20,139157,753,87,52538,81,1584715500.0,1584717900.0,20200320 10:45,20200320 11:25,16,DOWNTOWN
21,139527,727,0,5193,25,1584732660.0,1584733380.0,20200320 15:31,20200320 15:43,34,TREMONT + FRAZIER
22,138671,128,114,37861,70,1584714600.0,1584716640.0,20200320 10:30,20200320 11:04,10G,DOWNTOWN
23,138790,143,5076,9662,7,1584716460.0,1584716700.0,20200320 11:01,20200320 11:05,14,MCCALLIE + HOUSTON
24,139154,140,0,53121,64,1584705720.0,1584707640.0,20200320 08:02,20200320 08:34,16,DOWNTOWN
25,139350,751,346,27354,103,1584727140.0,1584729660.0,20200320 13:59,20200320 14:41,21,DOWNTOWN
26,138423,148,0,40403,54,1584752700.0,1584754320.0,20200320 21:05,20200320 21:32,1,DOWNTOWN
27,139340,145,346,9618,26,1584705060.0,1584705840.0,20200320 07:51,20200320 08:04,21,DOWNTOWN
28,139289,145,154,14396,17,1584706920.0,1584707400.0,20200320 08:22,20200320 08:30,2,DOWNTOWN
29,139457,112,540,33151,34,1584707220.0,1584708180.0,20200320 08:27,20200320 08:43,28,DOWNTOWN
30,139501,727,403,5203,10,1584704880.0,1584705180.0,20200320 07:48,20200320 07:53,34,TREMONT + FRAZIER
31,138628,120,608,41228,53,1584719280.0,1584720840.0,20200320 11:48,20200320 12:14,10G,GLENWOOD
32,139676,123,117,73585,109,1584748800.0,1584752040.0,20200320 20:00,20200320 20:54,4,EASTGATE HAMILTON PL
33,138751,142,418,16527,34,1584703260.0,1584704280.0,20200320 07:21,20200320 07:38,PO,
34,138831,141,3433,8951,22,1584734940.0,1584735600.0,20200320 16:09,20200320 16:20,14,MCCALLIE + HOUSTON
35,140357,718,113,8999,29,1584741660.0,1584742500.0,20200320 18:01,20200320 18:15,33,SHUTTLE PARK NORTH
36,138913,143,113,4105,21,1584705360.0,1584705960.0,20200320 07:56,20200320 08:06,14,MACLELLAN GYM UNIVERSITY CTR
37,139452,106,86,33376,52,1584718380.0,1584719940.0,20200320 11:33,20200320 11:59,28,DOWNTOWN
38,138560,504,398,416,254,1584737820.0,1584745500.0,20200320 16:57,20200320 19:05,10A,DOWNTOWN
39,139116,136,65,24731,50,1584731160.0,1584732600.0,20200320 15:06,20200320 15:30,15,DOWNTOWN 
40,138809,105,3616,9293,16,1584739500.0,1584739920.0,20200320 17:25,20200320 17:32,14,MCCALLIE + HOUSTON
41,139278,146,365,19887,38,1584736260.0,1584737340.0,20200320 16:31,20200320 16:49,2,NORTH CHATTANOOGA
42,139138,122,1091,49564,82,1584741360.0,1584743820.0,20200320 17:56,20200320 18:37,16,NORTHGATE
43,140503,718,0,8258,33,1584740640.0,1584741600.0,20200320 17:44,20200320 18:00,33,SHUTTLE PARK SOUTH
44,140490,726,1028,7856,32,1584756240.0,1584757140.0,20200320 22:04,20200320 22:19,33,SHUTTLE PARK SOUTH
45,138895,142,54,4100,28,1584719340.0,1584720120.0,20200320 11:49,20200320 12:02,14,MACLELLAN GYM UNIVERSITY CTR
46,139657,146,375,73478,139,1584716400.0,1584720600.0,20200320 11:00,20200320 12:10,4,EASTGATE HAMILTON PL
47,139748,118,96,72802,139,1584727200.0,1584731340.0,20200320 14:00,20200320 15:09,4,DOWNTOWN
48,138408,115,0,40294,78,1584728160.0,1584730440.0,20200320 14:16,20200320 14:54,1,DOWNTOWN
49,139701,503,97,72790,130,1584702600.0,1584706500.0,20200320 07:10,20200320 08:15,4,DOWNTOWN
50,138731,139,418,48718,77,1584723660.0,1584726000.0,20200320 13:01,20200320 13:40,PO,
51,140456,726,460,7909,28,1584736380.0,1584737160.0,20200320 16:33,20200320 16:46,33,SHUTTLE PARK SOUTH
52,139717,134,64,79708,89,1584703800.0,1584706440.0,20200320 07:30,20200320 08:14,4,DOWNTOWN EXPRESS
53,140493,703,70,8043,29,1584757560.0,1584758400.0,20200320 22:26,20200320 22:40,33,SHUTTLE PARK SOUTH
54,139512,727,585,4868,10,1584716580.0,1584716880.0,20200320 11:03,20200320 11:08,34,TREMONT + FRAZIER
55,138793,143,5262,9196,14,1584720060.0,1584720420.0,20200320 12:01,20200320 12:07,14,MCCALLIE + HOUSTON
56,138647,124,150,37685,66,1584728700.0,1584730620.0,20200320 14:25,20200320 14:57,10G,DOWNTOWN
57,138855,143,3647,8910,9,1584741540.0,1584741780.0,20200320 17:59,20200320 18:03,14,MCCALLIE + HOUSTON
58,139266,145,1046,19590,41,1584709200.0,1584710400.0,20200320 09:00,20200320 09:20,2,NORTH CHATTANOOGA
59,138856,143,4867,8952,7,1584742740.0,1584742920.0,20200320 18:19,20200320 18:22,14,MCCALLIE + HOUSTON
60,139459,112,0,33340,60,1584712440.0,1584714240.0,20200320 09:54,20200320 10:24,28,DOWNTOWN
61,139745,119,107,127,10,1584748500.0,1584748740.0,20200320 19:55,20200320 19:59,4,DOWNTOWN
62,138892,142,141,4100,16,1584715920.0,1584716340.0,20200320 10:52,20200320 10:59,14,MACLELLAN GYM UNIVERSITY CTR
63,138842,141,3515,6851,24,1584748080.0,1584748740.0,20200320 19:48,20200320 19:59,14,MCCALLIE + HOUSTON
64,138760,142,3615,9797,10,1584712620.0,1584712860.0,20200320 09:57,20200320 10:01,14,MCCALLIE + HOUSTON
65,138784,143,4833,9196,13,1584708720.0,1584709080.0,20200320 08:52,20200320 08:58,14,MCCALLIE + HOUSTON
66,139989,118,44,416,96,1584710700.0,1584712980.0,20200320 09:25,20200320 10:03,7,CHATTANOOGA HOUSING AUTHORITY
67,139174,132,373,53040,70,1584711720.0,1584713760.0,20200320 09:42,20200320 10:16,16,DOWNTOWN
68,139262,751,106,19896,41,1584719340.0,1584720540.0,20200320 11:49,20200320 12:09,2,NORTH CHATTANOOGA
69,140111,145,49,36136,67,1584739800.0,1584741780.0,20200320 17:30,20200320 18:03,9,EAST LAKE  
70,138835,141,5433,9125,18,1584739980.0,1584740460.0,20200320 17:33,20200320 17:41,14,MCCALLIE + HOUSTON
71,138641,504,376,40950,64,1584735900.0,1584737820.0,20200320 16:25,20200320 16:57,10G,GLENWOOD
72,139562,727,39,4869,11,1584726840.0,1584727140.0,20200320 13:54,20200320 13:59,34,SHUTTLE PARK NORTH
73,139530,727,0,5163,27,1584735900.0,1584736680.0,20200320 16:25,20200320 16:38,34,TREMONT + FRAZIER
74,139168,122,63,11465,163,1584743820.0,1584748740.0,20200320 18:37,20200320 19:59,16,DOWNTOWN
75,140495,703,70,8262,139,1584759420.0,1584763020.0,20200320 22:57,20200320 23:57,33,SHUTTLE PARK SOUTH
76,139745,119,127,72802,118,1584748800.0,1584752340.0,20200320 20:00,20200320 20:59,4,DOWNTOWN
77,140343,703,113,8921,40,1584754800.0,1584755940.0,20200320 21:40,20200320 21:59,33,SHUTTLE PARK NORTH
78,138881,141,322,4105,20,1584748980.0,1584749520.0,20200320 20:03,20200320 20:12,14,MACLELLAN GYM UNIVERSITY CTR
79,138922,143,322,4202,29,1584716700.0,1584717540.0,20200320 11:05,20200320 11:19,14,MACLELLAN GYM UNIVERSITY CTR
80,139997,130,200,416,207,1584738600.0,1584745140.0,20200320 17:10,20200320 18:59,7,CHATTANOOGA HOUSING AUTHORITY
81,140330,718,849,9053,33,1584748800.0,1584749760.0,20200320 20:00,20200320 20:16,33,SHUTTLE PARK NORTH
82,139446,106,0,33340,46,1584736620.0,1584738000.0,20200320 16:37,20200320 17:00,28,DOWNTOWN
83,139541,727,243,4880,13,1584704520.0,1584704820.0,20200320 07:42,20200320 07:47,34,SHUTTLE PARK NORTH
84,139698,146,0,72495,127,1584698100.0,1584701880.0,20200320 05:55,20200320 06:58,4,DOWNTOWN
85,138975,143,322,4105,13,1584729120.0,1584729480.0,20200320 14:32,20200320 14:38,14,MACLELLAN GYM UNIVERSITY CTR
86,139655,501,375,73585,108,1584711600.0,1584714840.0,20200320 09:40,20200320 10:34,4,EASTGATE HAMILTON PL
87,140011,138,357,11830,22,1584699300.0,1584699960.0,20200320 06:15,20200320 06:26,8,EASTDALE
88,138828,141,5749,9245,8,1584731640.0,1584731820.0,20200320 15:14,20200320 15:17,14,MCCALLIE + HOUSTON
89,138729,139,377,33032,58,1584735360.0,1584737100.0,20200320 16:16,20200320 16:45,13,ROSSVILLE
90,138937,105,54,3907,21,1584735180.0,1584735720.0,20200320 16:13,20200320 16:22,14,MACLELLAN GYM UNIVERSITY CTR
