,tatripid,vid,start_pdist,end_pdist,num_docs,start_timestamp,end_timestamp,start_tmstmp,end_tmstmp,route_id,destination
0,140100,138,0,36167,49,1585140000.0,1585141500.0,20200325 08:40,20200325 09:05,9,EAST LAKE  
1,139553,726,435,4974,19,1585149180.0,1585149720.0,20200325 11:13,20200325 11:22,34,SHUTTLE PARK NORTH
2,139738,139,108,0,212,1585160400.0,1585166820.0,20200325 14:20,20200325 16:07,4,DOWNTOWN
3,140452,729,66,8262,34,1585161120.0,1585162080.0,20200325 14:32,20200325 14:48,33,SHUTTLE PARK SOUTH
4,139144,147,324,49352,58,1585179000.0,1585180740.0,20200325 19:30,20200325 19:59,16,NORTHGATE
5,138861,143,4709,9540,13,1585180920.0,1585181280.0,20200325 20:02,20200325 20:08,14,MCCALLIE + HOUSTON
6,139671,134,42,73585,138,1585175100.0,1585179240.0,20200325 18:25,20200325 19:34,4,EASTGATE HAMILTON PL
7,138550,136,1009,36030,79,1585166100.0,1585168440.0,20200325 15:55,20200325 16:34,PO,
8,139508,726,0,5203,32,1585144080.0,1585145040.0,20200325 09:48,20200325 10:04,34,TREMONT + FRAZIER
9,139646,145,495,73585,109,1585132200.0,1585135440.0,20200325 06:30,20200325 07:24,4,EASTGATE HAMILTON PL
10,138553,148,70,26365,62,1585184400.0,1585186260.0,20200325 21:00,20200325 21:31,10A,DOWNTOWN
11,139339,504,161,9653,30,1585132860.0,1585133880.0,20200325 06:41,20200325 06:58,21,DOWNTOWN
12,139317,504,654,13787,39,1585147320.0,1585148520.0,20200325 10:42,20200325 11:02,21,GOLDEN GATEWAY
13,138353,123,42,30694,57,1585138680.0,1585140360.0,20200325 08:18,20200325 08:46,1,ALTON PARK
14,140124,140,0,36181,71,1585158300.0,1585160400.0,20200325 13:45,20200325 14:20,9,EAST LAKE  
15,139702,122,109,381,227,1585143600.0,1585149840.0,20200325 09:40,20200325 11:24,4,DOWNTOWN
16,138902,142,107,3094,31,1585142940.0,1585143840.0,20200325 09:29,20200325 09:44,14,MACLELLAN GYM UNIVERSITY CTR
17,138765,144,5414,8485,8,1585151220.0,1585151460.0,20200325 11:47,20200325 11:51,14,MCCALLIE + HOUSTON
18,138986,143,322,4100,22,1585174080.0,1585174740.0,20200325 18:08,20200325 18:19,14,MACLELLAN GYM UNIVERSITY CTR
19,138903,142,322,4105,21,1585144440.0,1585145100.0,20200325 09:54,20200325 10:05,14,MACLELLAN GYM UNIVERSITY CTR
20,138544,112,70,28892,51,1585145460.0,1585146960.0,20200325 10:11,20200325 10:36,10A,DOWNTOWN VIA DODSON AVE HEALTH CTR
21,138649,138,130,37861,69,1585168200.0,1585170240.0,20200325 16:30,20200325 17:04,10G,DOWNTOWN
22,139125,138,376,49312,44,1585136520.0,1585137840.0,20200325 07:42,20200325 08:04,16,NORTHGATE
23,138926,143,219,4100,23,1585153440.0,1585154100.0,20200325 12:24,20200325 12:35,14,MACLELLAN GYM UNIVERSITY CTR
24,140470,726,385,7852,31,1585179000.0,1585179900.0,20200325 19:30,20200325 19:45,33,SHUTTLE PARK SOUTH
25,140003,119,131,15986,186,1585136520.0,1585141080.0,20200325 07:42,20200325 08:58,7,DOWNTOWN
26,138350,125,375,30694,56,1585142400.0,1585144080.0,20200325 09:20,20200325 09:48,1,ALTON PARK
27,138895,144,54,3989,26,1585151460.0,1585152240.0,20200325 11:51,20200325 12:04,14,MACLELLAN GYM UNIVERSITY CTR
28,139640,145,128,73585,106,1585139460.0,1585142640.0,20200325 08:31,20200325 09:24,4,EASTGATE HAMILTON PL
29,140111,124,377,36318,66,1585171740.0,1585173660.0,20200325 17:29,20200325 18:01,9,EAST LAKE  
30,139137,115,74,49150,86,1585166100.0,1585168680.0,20200325 15:55,20200325 16:38,16,NORTHGATE
31,138941,144,129,4105,19,1585172100.0,1585172700.0,20200325 17:35,20200325 17:45,14,MACLELLAN GYM UNIVERSITY CTR
32,138788,143,4755,9662,25,1585145340.0,1585146060.0,20200325 10:09,20200325 10:21,14,MCCALLIE + HOUSTON
33,140097,128,418,51843,84,1585126200.0,1585128720.0,20200325 04:50,20200325 05:32,PO,
34,139113,101,441,24731,50,1585139100.0,1585140540.0,20200325 08:25,20200325 08:49,15,DOWNTOWN 
35,140307,729,293,8974,28,1585160280.0,1585161060.0,20200325 14:18,20200325 14:31,33,SHUTTLE PARK NORTH
36,138562,140,70,26368,50,1585133460.0,1585134960.0,20200325 06:51,20200325 07:16,10A,DOWNTOWN
37,138352,130,418,44931,77,1585144080.0,1585146360.0,20200325 09:48,20200325 10:26,PO,
38,138759,144,4379,9045,10,1585143600.0,1585143840.0,20200325 09:40,20200325 09:44,14,MCCALLIE + HOUSTON
39,138636,134,0,56477,102,1585154460.0,1585157520.0,20200325 12:41,20200325 13:32,PO,
40,138798,144,4614,9662,21,1585158300.0,1585158900.0,20200325 13:45,20200325 13:55,14,MCCALLIE + HOUSTON
41,139661,751,0,73270,126,1585169760.0,1585173540.0,20200325 16:56,20200325 17:59,4,EASTGATE HAMILTON PL
42,138884,144,54,4100,30,1585137600.0,1585138440.0,20200325 08:00,20200325 08:14,14,MACLELLAN GYM UNIVERSITY CTR
43,140283,703,107,9053,28,1585156380.0,1585157220.0,20200325 13:13,20200325 13:27,33,SHUTTLE PARK NORTH
44,139145,505,418,65588,102,1585140300.0,1585143360.0,20200325 08:45,20200325 09:36,PO,
45,139245,139,1455,61477,102,1585130280.0,1585133400.0,20200325 05:58,20200325 06:50,19,CROMWELL
46,139430,103,736,34392,49,1585170000.0,1585171440.0,20200325 17:00,20200325 17:24,28,CHATTANOOGA STATE
47,139272,147,365,19905,27,1585139400.0,1585140180.0,20200325 08:30,20200325 08:43,2,NORTH CHATTANOOGA
48,139281,504,4,19783,41,1585157520.0,1585158780.0,20200325 13:32,20200325 13:53,2,NORTH CHATTANOOGA
49,139740,145,102,72437,147,1585176300.0,1585180740.0,20200325 18:45,20200325 19:59,4,DOWNTOWN
50,139163,147,161,11465,159,1585187880.0,1585192080.0,20200325 21:58,20200325 23:08,16,DOWNTOWN
51,140322,729,97,9052,29,1585176420.0,1585177260.0,20200325 18:47,20200325 19:01,33,SHUTTLE PARK NORTH
52,139541,726,435,5020,11,1585136460.0,1585136760.0,20200325 07:41,20200325 07:46,34,SHUTTLE PARK NORTH
53,139149,117,0,49499,72,1585169640.0,1585171800.0,20200325 16:54,20200325 17:30,16,NORTHGATE
54,139641,122,49,73585,118,1585140000.0,1585143540.0,20200325 08:40,20200325 09:39,4,EASTGATE HAMILTON PL
55,139308,149,0,0,39,1585180800.0,1585181280.0,20200325 20:00,20200325 20:08,PI,
56,139299,149,191,15261,19,1585161000.0,1585161540.0,20200325 14:30,20200325 14:39,2,DOWNTOWN
57,139118,127,441,24731,31,1585169400.0,1585170300.0,20200325 16:50,20200325 17:05,15,DOWNTOWN 
58,138632,136,605,41228,49,1585172700.0,1585174140.0,20200325 17:45,20200325 18:09,10G,GLENWOOD
59,139157,128,58,53121,69,1585147500.0,1585149540.0,20200325 10:45,20200325 11:19,16,DOWNTOWN
60,140347,726,207,8575,32,1585188600.0,1585189560.0,20200325 22:10,20200325 22:26,33,SHUTTLE PARK NORTH
61,139445,103,2330,33340,51,1585171440.0,1585173000.0,20200325 17:24,20200325 17:50,28,DOWNTOWN
62,138922,143,120,3886,22,1585148640.0,1585149240.0,20200325 11:04,20200325 11:14,14,MACLELLAN GYM UNIVERSITY CTR
63,140116,135,59,36131,86,1585169100.0,1585171680.0,20200325 16:45,20200325 17:28,9,EAST LAKE  
64,140126,128,62,34781,54,1585128780.0,1585130340.0,20200325 05:33,20200325 05:59,9,DOWNTOWN
65,138860,143,4268,9106,11,1585179660.0,1585179960.0,20200325 19:41,20200325 19:46,14,MCCALLIE + HOUSTON
66,139638,506,375,73585,103,1585138620.0,1585141740.0,20200325 08:17,20200325 09:09,4,EASTGATE HAMILTON PL
67,139544,726,135,5020,9,1585139400.0,1585139640.0,20200325 08:30,20200325 08:34,34,SHUTTLE PARK NORTH
