entry_no,tatripid,vid,start_pdist,end_pdist,num_docs,start_timestamp,end_timestamp,start_tmstmp,end_tmstmp,route_id
0,140144,110,1358,34033,64,1583173020.0,1583174880.0,20200302 13:17,20200302 13:48,9
1,140428,726,123,7751,31,1583173500.0,1583174400.0,20200302 13:25,20200302 13:40,33
2,139270,506,143,19894,47,1583150400.0,1583151780.0,20200302 07:00,20200302 07:23,2
3,139759,503,83901,83901,32,1583193660.0,1583194020.0,20200302 19:01,20200302 19:07,4
4,138339,115,43,31120,66,1583163300.0,1583165220.0,20200302 10:35,20200302 11:07,1
5,140273,718,105,8531,34,1583174220.0,1583175240.0,20200302 13:37,20200302 13:54,33
6,140031,123,366,64583,89,1583142900.0,1583145600.0,20200302 04:55,20200302 05:40,PO
7,139295,145,57,15062,34,1583168940.0,1583169960.0,20200302 12:09,20200302 12:26,2
8,139101,139,64,25409,62,1583150700.0,1583152560.0,20200302 07:05,20200302 07:36,15
9,139322,145,465,13733,34,1583174280.0,1583175240.0,20200302 13:38,20200302 13:54,21
10,140110,137,49,35981,79,1583180040.0,1583182380.0,20200302 15:14,20200302 15:53,9
11,139170,150,97,52946,72,1583165700.0,1583168160.0,20200302 11:15,20200302 11:56,16
12,140438,722,203,8129,33,1583172540.0,1583173500.0,20200302 13:09,20200302 13:25,33
13,139567,727,1061,4565,8,1583181000.0,1583181180.0,20200302 15:30,20200302 15:33,34
14,138934,142,322,7051,17,1583180280.0,1583180700.0,20200302 15:18,20200302 15:25,14
15,140293,722,345,8700,27,1583169960.0,1583170680.0,20200302 12:26,20200302 12:38,33
16,140493,726,832,7695,44,1583206080.0,1583207280.0,20200302 22:28,20200302 22:48,33
17,140463,726,329,8262,22,1583191740.0,1583192340.0,20200302 18:29,20200302 18:39,33
18,139102,139,64,25409,41,1583153940.0,1583155140.0,20200302 07:59,20200302 08:19,15
19,139114,139,33,24731,56,1583158200.0,1583159880.0,20200302 09:10,20200302 09:38,15
20,139147,134,418,843,87,1583169780.0,1583171940.0,20200302 12:23,20200302 12:59,PO
21,139250,137,1459,60832,75,1583157480.0,1583159760.0,20200302 08:58,20200302 09:36,19
22,138920,143,163,7073,36,1583162580.0,1583163600.0,20200302 10:23,20200302 10:40,14
23,139544,727,728,4736,14,1583155860.0,1583156220.0,20200302 08:31,20200302 08:37,34
