,tatripid,vid,start_pdist,end_pdist,num_docs,start_timestamp,end_timestamp,start_tmstmp,end_tmstmp,route_id,destination
0,139560,726,728,4333,21,1585761300.0,1585761840.0,20200401 13:15,20200401 13:24,34,SHUTTLE PARK NORTH
1,138390,117,0,39673,80,1585746540.0,1585748940.0,20200401 09:09,20200401 09:49,1,DOWNTOWN
2,138523,501,1006,30029,40,1585776600.0,1585777800.0,20200401 17:30,20200401 17:50,10A,AVONDALE
3,140220,727,3770,8515,61,1585737600.0,1585739880.0,20200401 06:40,20200401 07:18,33,SHUTTLE PARK NORTH
4,139572,726,196,4974,16,1585774740.0,1585775160.0,20200401 16:59,20200401 17:06,34,SHUTTLE PARK NORTH
5,139752,134,0,72802,138,1585779300.0,1585783440.0,20200401 18:15,20200401 19:24,4,DOWNTOWN
6,140320,727,112,8868,30,1585780500.0,1585781400.0,20200401 18:35,20200401 18:50,33,SHUTTLE PARK NORTH
7,138635,150,376,40639,48,1585794900.0,1585796340.0,20200401 22:35,20200401 22:59,10G,GLENWOOD
8,138619,136,418,102890,137,1585739220.0,1585743360.0,20200401 07:07,20200401 08:16,PO,
9,140232,718,568,9016,28,1585743180.0,1585744020.0,20200401 08:13,20200401 08:27,33,SHUTTLE PARK NORTH
10,139515,726,1096,5193,20,1585756620.0,1585757160.0,20200401 11:57,20200401 12:06,34,TREMONT + FRAZIER
11,139718,150,94,72597,129,1585733100.0,1585736940.0,20200401 05:25,20200401 06:29,4,DOWNTOWN
12,139530,726,349,5203,18,1585773000.0,1585773480.0,20200401 16:30,20200401 16:38,34,TREMONT + FRAZIER
13,138528,140,376,29867,47,1585754760.0,1585756140.0,20200401 11:26,20200401 11:49,10A,AVONDALE
14,138919,143,54,4100,32,1585749480.0,1585750440.0,20200401 09:58,20200401 10:14,14,MACLELLAN GYM UNIVERSITY CTR
15,138652,501,0,0,6,1585785420.0,1585785540.0,20200401 19:57,20200401 19:59,10G,DOWNTOWN
16,138634,150,376,41228,49,1585787700.0,1585789140.0,20200401 20:35,20200401 20:59,10G,GLENWOOD
17,140023,135,0,11830,24,1585764900.0,1585765620.0,20200401 14:15,20200401 14:27,8,EASTDALE
18,140103,139,49,36256,80,1585752300.0,1585754700.0,20200401 10:45,20200401 11:25,9,EAST LAKE  
19,138823,143,4631,9662,20,1585762680.0,1585763280.0,20200401 13:38,20200401 13:48,14,MCCALLIE + HOUSTON
20,138385,139,0,40604,71,1585736940.0,1585739040.0,20200401 06:29,20200401 07:04,1,DOWNTOWN
21,139681,149,375,73290,113,1585789320.0,1585792740.0,20200401 21:02,20200401 21:59,4,EASTGATE HAMILTON PL
22,139336,501,62,13690,45,1585746060.0,1585747380.0,20200401 09:01,20200401 09:23,21,GOLDEN GATEWAY
23,140126,118,44,34792,44,1585734000.0,1585735320.0,20200401 05:40,20200401 06:02,9,DOWNTOWN
24,140039,135,432,53218,58,1585751100.0,1585752840.0,20200401 10:25,20200401 10:54,8,GERMANTOWN + BRAINERD RD
25,139438,113,91,34482,41,1585751220.0,1585752420.0,20200401 10:27,20200401 10:47,28,CHATTANOOGA STATE
26,139166,110,0,52484,79,1585764960.0,1585767300.0,20200401 14:16,20200401 14:55,16,DOWNTOWN
27,140346,727,482,9052,25,1585793280.0,1585794000.0,20200401 22:08,20200401 22:20,33,SHUTTLE PARK NORTH
28,140453,703,70,8164,34,1585767660.0,1585768680.0,20200401 15:01,20200401 15:18,33,SHUTTLE PARK SOUTH
29,138757,142,5228,8606,6,1585745940.0,1585746060.0,20200401 08:59,20200401 09:01,14,MCCALLIE + HOUSTON
30,138350,115,375,30134,49,1585747320.0,1585748820.0,20200401 09:22,20200401 09:47,1,ALTON PARK
31,140010,135,611,12823,18,1585733820.0,1585734300.0,20200401 05:37,20200401 05:45,8,EASTDALE
32,140260,718,439,8921,24,1585755780.0,1585756440.0,20200401 11:43,20200401 11:54,33,SHUTTLE PARK NORTH
33,139998,141,0,2701,34,1585734180.0,1585735140.0,20200401 05:43,20200401 05:59,7,DOWNTOWN
34,139337,501,404,9827,19,1585736400.0,1585736940.0,20200401 06:20,20200401 06:29,21,DOWNTOWN
