,tatripid,vid,start_pdist,end_pdist,num_docs,start_timestamp,end_timestamp,start_tmstmp,end_tmstmp,route_id,destination
0,139997,125,1042,416,161,1586293860.0,1586298120.0,20200407 17:11,20200407 18:22,7,CHATTANOOGA HOUSING AUTHORITY
1,139504,726,5193,4555,18,1586262900.0,1586263440.0,20200407 08:35,20200407 08:44,34,TREMONT + FRAZIER
2,138545,120,398,28820,53,1586272560.0,1586274120.0,20200407 11:16,20200407 11:42,10A,DOWNTOWN VIA DODSON AVE HEALTH CTR
3,139353,142,346,9735,31,1586288460.0,1586289360.0,20200407 15:41,20200407 15:56,21,DOWNTOWN
4,140118,139,1194,36049,84,1586275800.0,1586278320.0,20200407 12:10,20200407 12:52,9,EAST LAKE  
5,140307,703,568,9052,22,1586283480.0,1586284140.0,20200407 14:18,20200407 14:29,33,SHUTTLE PARK NORTH
6,140113,115,0,36043,64,1586309340.0,1586311200.0,20200407 21:29,20200407 22:00,9,EAST LAKE  
7,140039,138,432,53073,56,1586269620.0,1586271300.0,20200407 10:27,20200407 10:55,8,GERMANTOWN + BRAINERD RD
8,138396,111,0,40657,79,1586260020.0,1586262360.0,20200407 07:47,20200407 08:26,1,DOWNTOWN
9,139343,751,159,9857,29,1586267460.0,1586268300.0,20200407 09:51,20200407 10:05,21,DOWNTOWN
10,138624,150,1006,40628,59,1586271900.0,1586273700.0,20200407 11:05,20200407 11:35,10G,GLENWOOD
11,140462,730,70,8262,121,1586298000.0,1586301000.0,20200407 18:20,20200407 19:10,33,SHUTTLE PARK SOUTH
12,140480,730,88,8262,41,1586306700.0,1586307900.0,20200407 20:45,20200407 21:05,33,SHUTTLE PARK SOUTH
13,139554,726,231,0,42,1586273340.0,1586274600.0,20200407 11:29,20200407 11:50,34,SHUTTLE PARK NORTH
14,139252,101,3422,61477,95,1586282940.0,1586285760.0,20200407 14:09,20200407 14:56,19,CROMWELL
15,139534,726,1251,5020,12,1586295600.0,1586295960.0,20200407 17:40,20200407 17:46,34,TREMONT + FRAZIER
16,139535,726,625,4911,8,1586296800.0,1586296980.0,20200407 18:00,20200407 18:03,34,TREMONT + FRAZIER
17,140394,730,0,8163,39,1586279580.0,1586280720.0,20200407 13:13,20200407 13:32,33,SHUTTLE PARK SOUTH
18,139501,726,1444,1539,22,1586259720.0,1586260320.0,20200407 07:42,20200407 07:52,34,TREMONT + FRAZIER
19,138532,106,240,30069,41,1586280360.0,1586281560.0,20200407 13:26,20200407 13:46,10A,AVONDALE
20,140024,138,124,12862,19,1586286000.0,1586286540.0,20200407 15:00,20200407 15:09,8,EASTDALE
21,138412,148,0,40598,89,1586287620.0,1586290320.0,20200407 15:27,20200407 16:12,1,DOWNTOWN
22,138392,120,0,40225,73,1586268420.0,1586270640.0,20200407 10:07,20200407 10:44,1,DOWNTOWN
23,138741,115,485,34781,53,1586274600.0,1586276160.0,20200407 11:50,20200407 12:16,13,DOWNTOWN
24,138520,132,376,30069,65,1586277120.0,1586279040.0,20200407 12:32,20200407 13:04,10A,AVONDALE
25,138663,128,138,37861,70,1586293500.0,1586295540.0,20200407 17:05,20200407 17:39,10G,DOWNTOWN
26,139161,115,87,52792,50,1586300460.0,1586301960.0,20200407 19:01,20200407 19:26,16,DOWNTOWN
27,139665,505,42,73585,119,1586312700.0,1586316240.0,20200407 22:25,20200407 23:24,4,EASTGATE HAMILTON PL
28,140042,138,432,53218,51,1586276940.0,1586278440.0,20200407 12:29,20200407 12:54,8,GERMANTOWN + BRAINERD RD
29,139684,131,375,73585,117,1586286960.0,1586290440.0,20200407 15:16,20200407 16:14,4,EASTGATE HAMILTON PL
30,140492,729,70,8262,48,1586312220.0,1586313000.0,20200407 22:17,20200407 22:30,33,SHUTTLE PARK SOUTH
31,139705,134,0,72802,122,1586269200.0,1586272860.0,20200407 10:20,20200407 11:21,4,DOWNTOWN
32,140003,137,222,2701,193,1586259180.0,1586264280.0,20200407 07:33,20200407 08:58,7,DOWNTOWN
33,140248,730,296,8565,25,1586278860.0,1586279520.0,20200407 13:01,20200407 13:12,33,SHUTTLE PARK NORTH
34,139568,726,947,4865,25,1586288760.0,1586289480.0,20200407 15:46,20200407 15:58,34,SHUTTLE PARK NORTH
35,140104,142,49,36181,61,1586255640.0,1586257500.0,20200407 06:34,20200407 07:05,9,EAST LAKE  
36,139441,140,750,34482,42,1586258460.0,1586259660.0,20200407 07:21,20200407 07:41,28,CHATTANOOGA STATE
37,139572,726,196,4565,9,1586293020.0,1586293260.0,20200407 16:57,20200407 17:01,34,SHUTTLE PARK NORTH
38,139990,124,42,364,88,1586260080.0,1586262180.0,20200407 07:48,20200407 08:23,7,CHATTANOOGA HOUSING AUTHORITY
39,139991,139,375,364,69,1586267400.0,1586269440.0,20200407 09:50,20200407 10:24,7,CHATTANOOGA HOUSING AUTHORITY
40,138519,148,418,46093,71,1586274540.0,1586276640.0,20200407 11:49,20200407 12:24,PO,
41,139643,503,418,87822,138,1586250000.0,1586254140.0,20200407 05:00,20200407 06:09,PO,
42,138538,126,376,30069,65,1586261220.0,1586263140.0,20200407 08:07,20200407 08:39,10A,AVONDALE
43,139150,142,87,53101,78,1586253300.0,1586255580.0,20200407 05:55,20200407 06:33,16,DOWNTOWN
44,139732,107,127,401,206,1586279100.0,1586284740.0,20200407 13:05,20200407 14:39,4,DOWNTOWN
45,140306,703,525,8966,31,1586281740.0,1586282640.0,20200407 13:49,20200407 14:04,33,SHUTTLE PARK NORTH
46,140040,138,98,52989,58,1586272020.0,1586273760.0,20200407 11:07,20200407 11:36,8,GERMANTOWN + BRAINERD RD
47,139558,726,243,4565,14,1586277720.0,1586278080.0,20200407 12:42,20200407 12:48,34,SHUTTLE PARK NORTH
48,138375,119,42,30694,67,1586296500.0,1586298540.0,20200407 17:55,20200407 18:29,1,ALTON PARK
49,139314,751,654,11468,20,1586263320.0,1586263860.0,20200407 08:42,20200407 08:51,21,GOLDEN GATEWAY
50,138554,504,450,26041,56,1586314860.0,1586316480.0,20200407 23:01,20200407 23:28,10A,DOWNTOWN
51,140356,730,106,9053,29,1586295000.0,1586295840.0,20200407 17:30,20200407 17:44,33,SHUTTLE PARK NORTH
52,140031,138,418,64628,85,1586249700.0,1586252220.0,20200407 04:55,20200407 05:37,PO,
53,139671,145,5693,1312,30,1586298300.0,1586299140.0,20200407 18:25,20200407 18:39,4,EASTGATE HAMILTON PL
54,140379,703,166,8207,32,1586262780.0,1586263740.0,20200407 08:33,20200407 08:49,33,SHUTTLE PARK SOUTH
55,139157,129,357,53121,57,1586271000.0,1586272740.0,20200407 10:50,20200407 11:19,16,DOWNTOWN
56,140148,111,44,34888,201,1586276700.0,1586280540.0,20200407 12:25,20200407 13:29,9,DOWNTOWN
57,139461,127,418,90283,99,1586248560.0,1586251500.0,20200407 04:36,20200407 05:25,PO,
58,139560,726,89,4974,13,1586280120.0,1586280480.0,20200407 13:22,20200407 13:28,34,SHUTTLE PARK NORTH
59,138652,503,109,0,4,1586303880.0,1586303940.0,20200407 19:58,20200407 19:59,10G,DOWNTOWN
60,139509,726,0,4938,21,1586268300.0,1586268900.0,20200407 10:05,20200407 10:15,34,TREMONT + FRAZIER
61,139992,120,375,367,66,1586274180.0,1586276100.0,20200407 11:43,20200407 12:15,7,CHATTANOOGA HOUSING AUTHORITY
62,138342,143,203,30459,43,1586253900.0,1586255160.0,20200407 06:05,20200407 06:26,1,ALTON PARK
63,139690,122,43,73585,129,1586296500.0,1586300340.0,20200407 17:55,20200407 18:59,4,EASTGATE HAMILTON PL
64,140139,137,485,33485,58,1586282640.0,1586284080.0,20200407 14:04,20200407 14:28,9,DOWNTOWN
65,140012,138,570,12458,21,1586256900.0,1586257500.0,20200407 06:55,20200407 07:05,8,EASTDALE
66,140129,119,44,33969,70,1586272800.0,1586274900.0,20200407 11:20,20200407 11:55,9,DOWNTOWN
67,140034,138,432,52989,59,1586257560.0,1586259300.0,20200407 07:06,20200407 07:35,8,GERMANTOWN + BRAINERD RD
68,140126,129,485,34805,54,1586251980.0,1586253540.0,20200407 05:33,20200407 05:59,9,DOWNTOWN
69,138407,136,0,40669,65,1586281560.0,1586283540.0,20200407 13:46,20200407 14:19,1,DOWNTOWN
70,139714,107,1125,72802,118,1586264400.0,1586267940.0,20200407 09:00,20200407 09:59,4,DOWNTOWN
71,139638,148,46,73585,118,1586261400.0,1586264940.0,20200407 08:10,20200407 09:09,4,EASTGATE HAMILTON PL
72,138341,124,53,30537,58,1586252400.0,1586254080.0,20200407 05:40,20200407 06:08,1,ALTON PARK
73,139531,726,524,4938,12,1586292660.0,1586292900.0,20200407 16:51,20200407 16:55,34,TREMONT + FRAZIER
74,139537,726,1304,5203,25,1586298660.0,1586299380.0,20200407 18:31,20200407 18:43,34,TREMONT + FRAZIER
75,139130,137,1091,49232,66,1586284380.0,1586286360.0,20200407 14:33,20200407 15:06,16,NORTHGATE
76,138345,126,0,30014,57,1586257080.0,1586258820.0,20200407 06:58,20200407 07:27,1,ALTON PARK
77,139506,726,132,4938,12,1586265420.0,1586265720.0,20200407 09:17,20200407 09:22,34,TREMONT + FRAZIER
78,139454,140,2592,33340,24,1586255340.0,1586256060.0,20200407 06:29,20200407 06:41,28,DOWNTOWN
79,140273,729,56,9042,30,1586281080.0,1586281980.0,20200407 13:38,20200407 13:53,33,SHUTTLE PARK NORTH
80,140112,115,53,35961,67,1586301960.0,1586303940.0,20200407 19:26,20200407 19:59,9,EAST LAKE  
81,138555,125,398,26328,52,1586283240.0,1586284800.0,20200407 14:14,20200407 14:40,10A,DOWNTOWN
82,139147,141,182,65270,82,1586277300.0,1586279760.0,20200407 12:35,20200407 13:16,16,NORTHGATE
83,140050,138,1480,53146,45,1586296380.0,1586297700.0,20200407 17:53,20200407 18:15,8,GERMANTOWN + BRAINERD RD
84,139267,751,4,19893,53,1586268360.0,1586269920.0,20200407 10:06,20200407 10:32,2,NORTH CHATTANOOGA
85,138627,120,220,40794,62,1586270700.0,1586272500.0,20200407 10:45,20200407 11:15,10G,GLENWOOD
86,140252,729,296,9034,32,1586270280.0,1586271180.0,20200407 10:38,20200407 10:53,33,SHUTTLE PARK NORTH
87,138411,125,0,40570,62,1586287020.0,1586288880.0,20200407 15:17,20200407 15:48,1,DOWNTOWN
88,140140,115,174,33793,56,1586289060.0,1586290740.0,20200407 15:51,20200407 16:19,9,DOWNTOWN
89,140384,730,0,8175,33,1586265180.0,1586266140.0,20200407 09:13,20200407 09:29,33,SHUTTLE PARK SOUTH
90,138560,126,398,416,153,1586292900.0,1586296920.0,20200407 16:55,20200407 18:02,10A,DOWNTOWN
91,139335,142,62,13620,35,1586307120.0,1586308200.0,20200407 20:52,20200407 21:10,21,GOLDEN GATEWAY
92,139692,134,34396,73585,50,1586304000.0,1586305440.0,20200407 20:00,20200407 20:24,4,EASTGATE HAMILTON PL
93,140502,730,0,8122,29,1586294160.0,1586295000.0,20200407 17:16,20200407 17:30,33,SHUTTLE PARK SOUTH
94,139704,149,99,72801,130,1586267700.0,1586271600.0,20200407 09:55,20200407 11:00,4,DOWNTOWN
95,139144,118,47307,49535,5,1586304000.0,1586304120.0,20200407 20:00,20200407 20:02,16,NORTHGATE
96,140123,129,49,36139,92,1586257260.0,1586260020.0,20200407 07:01,20200407 07:47,9,EAST LAKE  
97,138337,126,45,30694,59,1586249520.0,1586251320.0,20200407 04:52,20200407 05:22,1,ALTON PARK
98,140132,125,247,34603,62,1586261280.0,1586263140.0,20200407 08:08,20200407 08:39,9,DOWNTOWN
