entry_no,tatripid,vid,start_pdist,end_pdist,num_docs,start_timestamp,end_timestamp,start_tmstmp,end_tmstmp,route_id
0,140289,703,115,9052,33,1582060200.0,1582061160.0,20200218 16:10,20200218 16:26,33
1,140422,730,0,8262,24,1582060920.0,1582061640.0,20200218 16:22,20200218 16:34,33
2,139757,501,0,72802,118,1582075500.0,1582079040.0,20200218 20:25,20200218 21:24,4
3,139257,110,32176,416,206,1582070400.0,1582075980.0,20200218 19:00,20200218 20:33,19
4,140319,727,304,8954,30,1582068600.0,1582069440.0,20200218 18:30,20200218 18:44,33
5,138923,144,120,7251,29,1582042980.0,1582043760.0,20200218 11:23,20200218 11:36,14
6,140328,703,56,8974,42,1582072800.0,1582074060.0,20200218 19:40,20200218 20:01,33
7,139347,753,404,9598,21,1582046040.0,1582046640.0,20200218 12:14,20200218 12:24,21
8,140119,135,53,36132,71,1582054320.0,1582056420.0,20200218 14:32,20200218 15:07,9
9,139178,138,357,11465,177,1582065120.0,1582070040.0,20200218 17:32,20200218 18:54,16
10,138810,142,58,8959,29,1582065600.0,1582066440.0,20200218 17:40,20200218 17:54,14
11,139438,105,449,35346,43,1582039440.0,1582040700.0,20200218 10:24,20200218 10:45,28
12,139641,148,42,73585,123,1582033860.0,1582037580.0,20200218 08:51,20200218 09:53,4
13,140026,137,0,12402,19,1582061520.0,1582062060.0,20200218 16:32,20200218 16:41,8
14,138794,144,0,9535,20,1582046520.0,1582047120.0,20200218 12:22,20200218 12:32,14
15,139139,131,418,65588,100,1582035600.0,1582038600.0,20200218 09:20,20200218 10:10,PO
16,138761,142,62,9044,20,1582038960.0,1582039560.0,20200218 10:16,20200218 10:26,14
17,138620,134,376,87859,122,1582058820.0,1582062540.0,20200218 15:47,20200218 16:49,10C
18,140947,132,375,416,136,1582030800.0,1582034940.0,20200218 08:00,20200218 09:09,3
19,139711,150,381,72628,128,1582030800.0,1582034700.0,20200218 08:00,20200218 09:05,4
20,140033,137,432,52918,70,1582025220.0,1582027380.0,20200218 06:27,20200218 07:03,8
21,138734,131,49,32886,60,1582062660.0,1582064460.0,20200218 16:51,20200218 17:21,13
22,139668,106,418,87757,157,1582060500.0,1582065180.0,20200218 16:15,20200218 17:33,PO
23,140392,730,489,8262,32,1582046220.0,1582047180.0,20200218 12:17,20200218 12:33,33
24,139282,150,365,20128,36,1582059420.0,1582060440.0,20200218 15:57,20200218 16:14,2
25,138617,110,418,104119,148,1582049400.0,1582053840.0,20200218 13:10,20200218 14:24,PO
26,139263,150,335,20033,38,1582055160.0,1582056240.0,20200218 14:46,20200218 15:04,2
27,138633,139,1432,37034,49,1582068900.0,1582070340.0,20200218 18:35,20200218 18:59,10G
28,138897,142,322,7263,10,1582047300.0,1582047540.0,20200218 12:35,20200218 12:39,14
29,138556,124,139,26205,47,1582065420.0,1582066800.0,20200218 17:37,20200218 18:00,10A
30,138420,124,0,36489,55,1582068720.0,1582070340.0,20200218 18:32,20200218 18:59,1
31,138890,142,317,7263,19,1582038420.0,1582038960.0,20200218 10:07,20200218 10:16,14
32,139516,726,1375,5197,22,1582046100.0,1582046760.0,20200218 12:15,20200218 12:26,34
33,140396,730,489,8163,36,1582037340.0,1582038360.0,20200218 09:49,20200218 10:06,33
34,138950,143,117,7067,19,1582050420.0,1582050960.0,20200218 13:27,20200218 13:36,14
35,139254,136,0,416,155,1582032900.0,1582037040.0,20200218 08:35,20200218 09:44,19
36,138738,117,485,34781,63,1582033560.0,1582035420.0,20200218 08:46,20200218 09:17,13
37,139566,726,1081,4974,23,1582056180.0,1582056840.0,20200218 15:03,20200218 15:14,34
38,138636,503,82,57050,89,1582048020.0,1582050720.0,20200218 12:47,20200218 13:32,10G
39,138982,144,107,6982,12,1582062840.0,1582063140.0,20200218 16:54,20200218 16:59,14
40,139525,726,1230,4993,11,1582055820.0,1582056120.0,20200218 14:57,20200218 15:02,34
41,139527,726,0,5200,11,1582058280.0,1582058580.0,20200218 15:38,20200218 15:43,34
42,140141,130,199,34406,51,1582067100.0,1582068600.0,20200218 18:05,20200218 18:30,9
43,138653,149,418,37277,63,1582081200.0,1582083060.0,20200218 22:00,20200218 22:31,10G
44,138838,143,65,9537,27,1582068480.0,1582069260.0,20200218 18:28,20200218 18:41,14
45,139137,120,376,49500,62,1582059780.0,1582061640.0,20200218 16:03,20200218 16:34,16
46,138815,142,0,9539,21,1582071780.0,1582072380.0,20200218 19:23,20200218 19:33,14
47,139246,136,543,61477,102,1582029780.0,1582032900.0,20200218 07:43,20200218 08:35,19
48,140274,730,166,8744,33,1582052400.0,1582053360.0,20200218 14:00,20200218 14:16,33
49,138940,142,322,7240,16,1582064160.0,1582064640.0,20200218 17:16,20200218 17:24,14
50,139994,113,375,364,79,1582047060.0,1582048980.0,20200218 12:31,20200218 13:03,7
