,tatripid,vid,start_pdist,end_pdist,num_docs,start_timestamp,end_timestamp,start_tmstmp,end_tmstmp,route_id,destination
0,138621,138,418,103647,148,1580849760.0,1580854200.0,20200204 15:56,20200204 17:10,PO,
1,139177,132,225,53121,68,1580850600.0,1580852640.0,20200204 16:10,20200204 16:44,16,DOWNTOWN
2,138789,144,0,9432,33,1580830260.0,1580831220.0,20200204 10:31,20200204 10:47,14,MCCALLIE + HOUSTON
3,139173,148,357,53074,89,1580856840.0,1580859540.0,20200204 17:54,20200204 18:39,16,DOWNTOWN
4,138424,120,302,39574,70,1580871660.0,1580873760.0,20200204 22:01,20200204 22:36,1,DOWNTOWN
5,138538,117,376,30069,62,1580821680.0,1580823540.0,20200204 08:08,20200204 08:39,10A,AVONDALE
6,138667,104,137,36449,72,1580824920.0,1580827080.0,20200204 09:02,20200204 09:38,10G,DOWNTOWN
7,138554,120,222,26368,49,1580875200.0,1580876640.0,20200204 23:00,20200204 23:24,10A,DOWNTOWN
8,138669,127,128,37792,80,1580839500.0,1580841900.0,20200204 13:05,20200204 13:45,10G,DOWNTOWN
9,140019,137,136,12856,33,1580834220.0,1580835180.0,20200204 11:37,20200204 11:53,8,EASTDALE
10,138896,143,322,7035,13,1580836800.0,1580837160.0,20200204 12:20,20200204 12:26,14,MACLELLAN GYM UNIVERSITY CTR
11,140009,134,416,15561,31,1580837160.0,1580838060.0,20200204 12:26,20200204 12:41,PO,
12,139441,135,485,35585,49,1580818920.0,1580820360.0,20200204 07:22,20200204 07:46,28,CHATTANOOGA STATE
13,138383,119,53,40492,71,1580813040.0,1580815140.0,20200204 05:44,20200204 06:19,1,DOWNTOWN
14,139132,122,47768,49562,7,1580860800.0,1580860980.0,20200204 19:00,20200204 19:03,16,NORTHGATE
15,138745,111,277,34781,62,1580849340.0,1580851200.0,20200204 15:49,20200204 16:20,13,DOWNTOWN
16,138563,119,70,364,154,1580818260.0,1580822340.0,20200204 07:11,20200204 08:19,10A,DOWNTOWN
17,138820,144,0,9566,25,1580837700.0,1580838480.0,20200204 12:35,20200204 12:48,14,MCCALLIE + HOUSTON
18,139362,503,6452,14738,44,1580863740.0,1580865060.0,20200204 19:49,20200204 20:11,21,DOWNTOWN
19,140506,727,0,8207,83,1580874120.0,1580875980.0,20200204 22:42,20200204 23:13,33,SHUTTLE PARK SOUTH
20,139669,145,117,73398,122,1580842980.0,1580846700.0,20200204 14:03,20200204 15:05,4,EASTGATE HAMILTON PL
21,139710,112,0,72552,116,1580820300.0,1580823780.0,20200204 07:45,20200204 08:43,4,DOWNTOWN
22,138372,119,55,31156,68,1580852100.0,1580854140.0,20200204 16:35,20200204 17:09,1,ALTON PARK
23,140339,729,284,9052,29,1580868180.0,1580869020.0,20200204 21:03,20200204 21:17,33,SHUTTLE PARK NORTH
24,139164,148,527,53092,86,1580864340.0,1580866920.0,20200204 19:59,20200204 20:42,16,DOWNTOWN
25,139711,503,0,72600,127,1580820960.0,1580824800.0,20200204 07:56,20200204 09:00,4,DOWNTOWN
26,138534,128,376,30059,64,1580848320.0,1580850300.0,20200204 15:32,20200204 16:05,10A,AVONDALE
27,N/A,752,0,0,4043,1580803740.0,1580860500.0,20200204 03:09,20200204 18:55,U,
28,139120,107,11465,11465,97,1580860800.0,1580863140.0,20200204 19:00,20200204 19:39,PI,
29,139178,103,357,11465,172,1580855580.0,1580860740.0,20200204 17:33,20200204 18:59,16,DOWNTOWN
30,140112,122,377,35874,45,1580863200.0,1580864580.0,20200204 19:40,20200204 20:03,9,EAST LAKE  
31,140125,103,418,51621,99,1580848500.0,1580851500.0,20200204 15:35,20200204 16:25,PO,
32,138935,143,322,6753,15,1580848680.0,1580849160.0,20200204 15:38,20200204 15:46,14,MACLELLAN GYM UNIVERSITY CTR
33,139167,124,0,11465,211,1580852280.0,1580858040.0,20200204 16:38,20200204 18:14,16,DOWNTOWN
34,140382,729,489,8262,33,1580824080.0,1580825040.0,20200204 08:48,20200204 09:04,33,SHUTTLE PARK SOUTH
35,140044,137,432,53218,59,1580841960.0,1580843760.0,20200204 13:46,20200204 14:16,8,GERMANTOWN + BRAINERD RD
