,tatripid,vid,start_pdist,end_pdist,num_docs,start_timestamp,end_timestamp,start_tmstmp,end_tmstmp,route_id,destination
0,140044,138,1023,53063,57,1582138080.0,1582139760.0,20200219 13:48,20200219 14:16,8,GERMANTOWN + BRAINERD RD
1,139466,110,418,90539,130,1582148100.0,1582152000.0,20200219 16:35,20200219 17:40,PO,
2,139300,145,94,15005,23,1582143060.0,1582143720.0,20200219 15:11,20200219 15:22,2,DOWNTOWN
3,140443,703,0,8260,32,1582144860.0,1582145820.0,20200219 15:41,20200219 15:57,33,SHUTTLE PARK SOUTH
4,139257,120,376,32149,37,1582155660.0,1582156740.0,20200219 18:41,20200219 18:59,19,DOWNTOWN
5,138553,134,398,26274,47,1582164420.0,1582165800.0,20200219 21:07,20200219 21:30,10A,DOWNTOWN
6,138920,143,119,6818,16,1582125600.0,1582126020.0,20200219 10:20,20200219 10:27,14,MACLELLAN GYM UNIVERSITY CTR
7,140048,138,95,53073,57,1582148280.0,1582149960.0,20200219 16:38,20200219 17:06,8,GERMANTOWN + BRAINERD RD
8,140264,729,439,8702,27,1582123980.0,1582124760.0,20200219 09:53,20200219 10:06,33,SHUTTLE PARK NORTH
9,140248,718,107,9035,27,1582135200.0,1582135980.0,20200219 13:00,20200219 13:13,33,SHUTTLE PARK NORTH
10,138861,106,0,9743,28,1582160040.0,1582160880.0,20200219 19:54,20200219 20:08,14,MCCALLIE + HOUSTON
11,138818,144,115,9662,22,1582135920.0,1582136520.0,20200219 13:12,20200219 13:22,14,MCCALLIE + HOUSTON
12,139439,105,418,49561,74,1582109400.0,1582111560.0,20200219 05:50,20200219 06:26,PO,
13,139438,104,750,35559,44,1582125960.0,1582127280.0,20200219 10:26,20200219 10:48,28,CHATTANOOGA STATE
14,138379,134,79,31150,66,1582165800.0,1582167780.0,20200219 21:30,20200219 22:03,1,ALTON PARK
15,139523,727,552,5101,10,1582140180.0,1582140420.0,20200219 14:23,20200219 14:27,34,TREMONT + FRAZIER
16,139711,145,103,72631,135,1582116900.0,1582120980.0,20200219 07:55,20200219 09:03,4,DOWNTOWN
17,139516,727,169,5193,23,1582132560.0,1582133220.0,20200219 12:16,20200219 12:27,34,TREMONT + FRAZIER
18,140023,138,24,12823,26,1582139760.0,1582140540.0,20200219 14:16,20200219 14:29,8,EASTDALE
19,138554,134,70,26368,50,1582171200.0,1582172700.0,20200219 23:00,20200219 23:25,10A,DOWNTOWN
20,139698,145,106,72774,123,1582109700.0,1582113420.0,20200219 05:55,20200219 06:57,4,DOWNTOWN
21,140235,718,113,8562,25,1582119120.0,1582119840.0,20200219 08:32,20200219 08:44,33,SHUTTLE PARK NORTH
22,138907,144,120,7077,13,1582130340.0,1582130640.0,20200219 11:39,20200219 11:44,14,MACLELLAN GYM UNIVERSITY CTR
23,140115,101,49,36056,59,1582142460.0,1582144260.0,20200219 15:01,20200219 15:31,9,EAST LAKE  
24,138419,134,0,40595,60,1582153260.0,1582155060.0,20200219 18:01,20200219 18:31,1,DOWNTOWN
25,140330,703,112,8974,29,1582160580.0,1582161420.0,20200219 20:03,20200219 20:17,33,SHUTTLE PARK NORTH
26,140006,135,0,15979,30,1582127100.0,1582127940.0,20200219 10:45,20200219 10:59,7,DOWNTOWN
27,138791,143,0,8820,18,1582128780.0,1582129320.0,20200219 11:13,20200219 11:22,14,MCCALLIE + HOUSTON
28,140103,137,258,35834,67,1582127460.0,1582129500.0,20200219 10:51,20200219 11:25,9,EAST LAKE  
29,140124,140,399,36087,69,1582138200.0,1582140240.0,20200219 13:50,20200219 14:24,9,EAST LAKE  
30,139296,505,432,15064,44,1582134300.0,1582135560.0,20200219 12:45,20200219 13:06,2,DOWNTOWN
31,138617,753,418,103797,141,1582135920.0,1582140120.0,20200219 13:12,20200219 14:22,PO,
32,139671,126,25986,73585,68,1582156800.0,1582158840.0,20200219 19:00,20200219 19:34,4,EASTGATE HAMILTON PL
33,140215,718,3806,8699,24,1582111920.0,1582112640.0,20200219 06:32,20200219 06:44,PO,
34,138793,143,0,9662,27,1582131120.0,1582131900.0,20200219 11:52,20200219 12:05,14,MCCALLIE + HOUSTON
35,139691,128,524,73503,124,1582134000.0,1582137720.0,20200219 12:40,20200219 13:42,4,EASTGATE HAMILTON PL
36,139290,150,432,15176,23,1582120320.0,1582121040.0,20200219 08:52,20200219 09:04,2,DOWNTOWN
37,140013,138,0,12177,21,1582115820.0,1582116420.0,20200219 07:37,20200219 07:47,8,EASTDALE
38,138620,139,296,87735,117,1582145160.0,1582148640.0,20200219 15:46,20200219 16:44,10C,CAMPBELL
39,139173,506,0,53082,73,1582152600.0,1582154820.0,20200219 17:50,20200219 18:27,16,DOWNTOWN
40,139460,105,49443,49443,50,1582156800.0,1582157640.0,20200219 19:00,20200219 19:14,28,DOWNTOWN
41,139741,505,98,72558,136,1582163700.0,1582167780.0,20200219 20:55,20200219 22:03,4,DOWNTOWN
42,138346,135,42,31160,69,1582114500.0,1582116600.0,20200219 07:15,20200219 07:50,1,ALTON PARK
43,139566,727,435,4995,16,1582142880.0,1582143360.0,20200219 15:08,20200219 15:16,34,SHUTTLE PARK NORTH
44,139431,105,91,35346,45,1582146540.0,1582147860.0,20200219 16:09,20200219 16:31,28,CHATTANOOGA STATE
45,139114,103,33,24731,48,1582121700.0,1582123140.0,20200219 09:15,20200219 09:39,15,DOWNTOWN 
46,140349,718,108,8921,33,1582169640.0,1582170600.0,20200219 22:34,20200219 22:50,33,SHUTTLE PARK NORTH
47,138967,144,322,7008,15,1582153380.0,1582153800.0,20200219 18:03,20200219 18:10,14,MACLELLAN GYM UNIVERSITY CTR
48,139449,105,0,33322,33,1582139520.0,1582140480.0,20200219 14:12,20200219 14:28,28,DOWNTOWN
49,138852,106,112,9791,21,1582149540.0,1582150140.0,20200219 16:59,20200219 17:09,14,MCCALLIE + HOUSTON
50,140141,112,183,34677,55,1582153260.0,1582154940.0,20200219 18:01,20200219 18:29,9,DOWNTOWN
51,138851,106,67,9487,29,1582148160.0,1582149000.0,20200219 16:36,20200219 16:50,14,MCCALLIE + HOUSTON
52,139445,105,0,33380,46,1582151160.0,1582152540.0,20200219 17:26,20200219 17:49,28,DOWNTOWN
