,tatripid,vid,start_pdist,end_pdist,num_docs,start_timestamp,end_timestamp,start_tmstmp,end_tmstmp,route_id,destination
0,140147,118,219,52443,137,1581960660.0,1581964260.0,20200217 12:31,20200217 13:31,9,DOWNTOWN
1,138831,144,67,9573,30,1581973680.0,1581974580.0,20200217 16:08,20200217 16:23,14,MCCALLIE + HOUSTON
2,139706,503,97,72643,123,1581937800.0,1581941520.0,20200217 06:10,20200217 07:12,4,DOWNTOWN
3,138754,143,403,9040,18,1581943920.0,1581944460.0,20200217 07:52,20200217 08:01,14,MCCALLIE + HOUSTON
4,139656,503,418,87428,152,1581956700.0,1581961260.0,20200217 11:25,20200217 12:41,PO,
5,138778,144,60,9614,31,1581957840.0,1581958740.0,20200217 11:44,20200217 11:59,14,MCCALLIE + HOUSTON
6,139432,105,805,35613,38,1581970800.0,1581971940.0,20200217 15:20,20200217 15:39,28,CHATTANOOGA STATE
7,139256,104,47377,66969,95,1581978180.0,1581980640.0,20200217 17:23,20200217 18:04,19,DOWNTOWN
8,138940,143,322,6966,15,1581977880.0,1581978300.0,20200217 17:18,20200217 17:25,14,MACLELLAN GYM UNIVERSITY CTR
9,139441,139,554,35346,41,1581942180.0,1581943380.0,20200217 07:23,20200217 07:43,28,CHATTANOOGA STATE
10,139438,139,399,35346,39,1581953040.0,1581954180.0,20200217 10:24,20200217 10:43,28,CHATTANOOGA STATE
11,140040,140,432,53009,48,1581955680.0,1581957300.0,20200217 11:08,20200217 11:35,8,GERMANTOWN + BRAINERD RD
12,139517,727,1252,4831,22,1581960780.0,1581961440.0,20200217 12:33,20200217 12:44,34,TREMONT + FRAZIER
13,140369,729,70,8222,29,1581942720.0,1581943560.0,20200217 07:32,20200217 07:46,33,SHUTTLE PARK SOUTH
14,138779,144,0,9538,25,1581959160.0,1581959880.0,20200217 12:06,20200217 12:18,14,MCCALLIE + HOUSTON
15,140285,726,56,9031,38,1581966540.0,1581967620.0,20200217 14:09,20200217 14:27,33,SHUTTLE PARK NORTH
16,140365,722,162,6603,18,1581941340.0,1581941880.0,20200217 07:09,20200217 07:18,33,SHUTTLE PARK SOUTH
17,138619,137,0,102906,127,1581941520.0,1581945300.0,20200217 07:12,20200217 08:15,10C,CAMPBELL
18,139542,727,1061,4922,9,1581944400.0,1581944640.0,20200217 08:00,20200217 08:04,34,SHUTTLE PARK NORTH
19,138827,144,61,9534,30,1581969060.0,1581969960.0,20200217 14:51,20200217 15:06,14,MCCALLIE + HOUSTON
20,138781,144,58,9299,23,1581953040.0,1581953700.0,20200217 10:24,20200217 10:35,14,MCCALLIE + HOUSTON
21,138921,142,322,6826,17,1581954120.0,1581954600.0,20200217 10:42,20200217 10:50,14,MACLELLAN GYM UNIVERSITY CTR
22,139160,138,327,53043,59,1581976740.0,1581978480.0,20200217 16:59,20200217 17:28,16,DOWNTOWN
23,139525,727,4998,4759,13,1581969300.0,1581969660.0,20200217 14:55,20200217 15:01,34,TREMONT + FRAZIER
24,140030,140,111,249,9,1581983700.0,1581983940.0,20200217 18:55,20200217 18:59,8,EASTDALE
25,139681,113,42,73551,112,1581991080.0,1581994440.0,20200217 20:58,20200217 21:54,4,EASTGATE HAMILTON PL
26,140483,729,7998,7998,14,1581991800.0,1581992160.0,20200217 21:10,20200217 21:16,33,SHUTTLE PARK SOUTH
27,139578,727,435,4877,20,1581983100.0,1581983640.0,20200217 18:45,20200217 18:54,34,SHUTTLE PARK NORTH
28,140135,118,485,34727,64,1581939060.0,1581940980.0,20200217 06:31,20200217 07:03,9,DOWNTOWN
29,138808,143,74,9538,27,1581977040.0,1581977820.0,20200217 17:04,20200217 17:17,14,MCCALLIE + HOUSTON
30,139132,138,1091,38057,53,1581982380.0,1581983940.0,20200217 18:33,20200217 18:59,16,NORTHGATE
31,138414,132,0,40414,58,1581973800.0,1581975600.0,20200217 16:10,20200217 16:40,1,DOWNTOWN
32,138562,117,70,26368,65,1581940200.0,1581942120.0,20200217 06:50,20200217 07:22,10A,DOWNTOWN
33,140101,134,224,36164,63,1581949080.0,1581951000.0,20200217 09:18,20200217 09:50,9,EAST LAKE  
