entry_no,tatripid,vid,start_pdist,end_pdist,num_docs,start_timestamp,end_timestamp,start_tmstmp,end_tmstmp,route_id
0,140127,117,1358,34553,58,1580986860.0,1580988540.0,20200206 06:01,20200206 06:29,9
1,139442,101,517,911,5,1580995320.0,1580995440.0,20200206 08:22,20200206 08:24,28
2,139305,145,74,15061,23,1581030000.0,1581030660.0,20200206 18:00,20200206 18:11,2
3,139750,130,0,31791,60,1581031800.0,1581033540.0,20200206 18:30,20200206 18:59,4
4,139125,111,1091,49289,67,1580992500.0,1580994480.0,20200206 07:35,20200206 08:08,16
5,140236,727,267,8410,33,1580995980.0,1580996940.0,20200206 08:33,20200206 08:49,33
6,138724,118,49,33169,61,1581002460.0,1581004260.0,20200206 10:21,20200206 10:51,13
7,140418,727,489,8203,33,1581016740.0,1581017700.0,20200206 14:19,20200206 14:35,33
8,138644,148,118,11465,166,1581000600.0,1581004920.0,20200206 09:50,20200206 11:02,10G
9,138535,118,172,29866,60,1581025200.0,1581027000.0,20200206 16:40,20200206 17:10,10A
10,139304,505,432,15005,24,1581028320.0,1581028980.0,20200206 17:32,20200206 17:43,2
11,140359,726,145,9016,27,1581042540.0,1581043260.0,20200206 21:29,20200206 21:41,33
12,139352,145,346,9648,27,1581019560.0,1581020340.0,20200206 15:06,20200206 15:19,21
13,140352,729,439,8401,22,1581019320.0,1581019920.0,20200206 15:02,20200206 15:12,33
14,139310,149,117,13817,25,1580988780.0,1580989500.0,20200206 06:33,20200206 06:45,21
15,140948,130,29438,70653,47,1580990100.0,1580991480.0,20200206 06:55,20200206 07:18,3
16,138392,119,0,40462,71,1581001740.0,1581003840.0,20200206 10:09,20200206 10:44,1
17,140461,729,220,8262,27,1581030960.0,1581031740.0,20200206 18:16,20200206 18:29,33
18,139132,139,4126,49355,5,1581033600.0,1581033660.0,20200206 19:00,20200206 19:01,16
19,138401,503,0,40705,94,1581006540.0,1581009300.0,20200206 11:29,20200206 12:15,1
20,140360,726,472,8688,30,1581046200.0,1581047040.0,20200206 22:30,20200206 22:44,33
21,140395,729,68,8136,80,1581014700.0,1581016500.0,20200206 13:45,20200206 14:15,33
22,139160,139,0,52792,73,1581025860.0,1581028020.0,20200206 16:51,20200206 17:27,16
23,138750,140,44,0,200,1581027000.0,1581032460.0,20200206 17:10,20200206 18:41,13
24,139357,505,248,9465,22,1581030180.0,1581030780.0,20200206 18:03,20200206 18:13,21
25,138520,123,376,29880,79,1581010200.0,1581012600.0,20200206 12:30,20200206 13:10,10A
26,140103,138,54,35963,80,1581003900.0,1581006300.0,20200206 10:45,20200206 11:25,9
27,138661,123,1051,37500,71,1581020760.0,1581022800.0,20200206 15:26,20200206 16:00,10G
28,139447,103,0,33371,60,1581021660.0,1581023400.0,20200206 15:41,20200206 16:10,28
29,139164,103,357,53061,71,1581037500.0,1581039600.0,20200206 20:05,20200206 20:40,16
30,140240,727,4438,9053,20,1580998380.0,1580998920.0,20200206 09:13,20200206 09:22,33
31,140409,718,0,8262,37,1581003180.0,1581004260.0,20200206 10:33,20200206 10:51,33
32,139268,149,365,19892,38,1581005700.0,1581006780.0,20200206 11:15,20200206 11:33,2
33,140951,138,625,416,149,1581028800.0,1581032760.0,20200206 17:40,20200206 18:46,3
34,138403,140,0,416,154,1581010080.0,1581014160.0,20200206 12:28,20200206 13:36,1
35,139154,111,413,52921,64,1580994540.0,1580996460.0,20200206 08:09,20200206 08:41,16
36,139177,503,0,52538,88,1581023280.0,1581025860.0,20200206 16:08,20200206 16:51,16
37,138412,111,0,40275,74,1581021120.0,1581023280.0,20200206 15:32,20200206 16:08,1
38,139100,136,64,25409,50,1580987700.0,1580989200.0,20200206 06:15,20200206 06:40,15
39,138407,112,0,40551,62,1581014940.0,1581016800.0,20200206 13:49,20200206 14:20,1
40,139148,503,376,49484,59,1581021480.0,1581023220.0,20200206 15:38,20200206 16:07,16
41,138417,112,0,40464,70,1581026940.0,1581029040.0,20200206 17:09,20200206 17:44,1
42,139690,504,42,73585,126,1581029760.0,1581033540.0,20200206 17:56,20200206 18:59,4
43,140320,727,482,8989,25,1581032460.0,1581033180.0,20200206 18:41,20200206 18:53,33
44,140051,135,432,52989,56,1581031620.0,1581033300.0,20200206 18:27,20200206 18:55,8
45,139717,148,99,79108,120,1580992260.0,1580995860.0,20200206 07:31,20200206 08:31,4
46,140009,117,416,15966,31,1581009840.0,1581010740.0,20200206 12:24,20200206 12:39,PO
47,140233,718,255,8995,30,1580995260.0,1580996160.0,20200206 08:21,20200206 08:36,33
48,139264,150,82,20128,24,1580988540.0,1580989260.0,20200206 06:29,20200206 06:41,2
49,140321,718,106,7911,37,1581032460.0,1581033540.0,20200206 18:41,20200206 18:59,33
50,140392,729,0,8187,38,1581009120.0,1581010260.0,20200206 12:12,20200206 12:31,33
51,140471,703,114,8242,23,1581035820.0,1581036480.0,20200206 19:37,20200206 19:48,33
52,138343,119,0,31162,63,1580987940.0,1580989800.0,20200206 06:19,20200206 06:50,1
53,139636,505,418,87822,140,1580982300.0,1580986440.0,20200206 04:45,20200206 05:54,PO
54,139458,101,0,16682,36,1580998320.0,1580998800.0,20200206 09:12,20200206 09:20,28
55,139297,150,0,15060,39,1581013140.0,1581014280.0,20200206 13:19,20200206 13:38,2
56,139252,101,1075,61477,97,1581016080.0,1581018960.0,20200206 14:08,20200206 14:56,19
57,138421,149,11910,40240,57,1581034020.0,1581035700.0,20200206 19:07,20200206 19:35,1
58,139265,149,7,19891,38,1580994000.0,1580995140.0,20200206 08:00,20200206 08:19,2
59,140484,727,0,8262,112,1581041940.0,1581044700.0,20200206 21:19,20200206 22:05,33
60,139758,120,91,416,155,1581045960.0,1581050640.0,20200206 22:26,20200206 23:44,4
61,138548,504,70,26103,50,1581012660.0,1581014100.0,20200206 13:11,20200206 13:35,10A
62,139280,145,4,12313,19,1581033000.0,1581033540.0,20200206 18:50,20200206 18:59,2
63,140264,718,247,9027,27,1581000720.0,1581001500.0,20200206 09:52,20200206 10:05,33
64,139364,150,346,9633,42,1580998500.0,1580999760.0,20200206 09:15,20200206 09:36,21
65,139159,136,840,11465,111,1581019560.0,1581022920.0,20200206 15:06,20200206 16:02,16
66,139117,106,33,24731,49,1581022200.0,1581023700.0,20200206 15:50,20200206 16:15,15
67,139431,103,341,35483,61,1581023460.0,1581025260.0,20200206 16:11,20200206 16:41,28
68,139328,145,654,13817,52,1581026520.0,1581028080.0,20200206 17:02,20200206 17:28,21
69,139289,149,694,15090,24,1580995140.0,1580995860.0,20200206 08:19,20200206 08:31,2
70,138358,140,46,30846,67,1581008100.0,1581010080.0,20200206 11:55,20200206 12:28,1
71,140500,729,62,8262,31,1581023580.0,1581024480.0,20200206 16:13,20200206 16:28,33
72,140292,718,108,9026,33,1581028860.0,1581029880.0,20200206 17:41,20200206 17:58,33
73,140019,135,0,12350,21,1581006900.0,1581007500.0,20200206 11:35,20200206 11:45,8
74,138360,117,375,30900,59,1581010800.0,1581012540.0,20200206 12:40,20200206 13:09,1
75,140050,135,123,52989,51,1581029400.0,1581030900.0,20200206 17:50,20200206 18:15,8
76,139671,148,148,24261,55,1581031920.0,1581033540.0,20200206 18:32,20200206 18:59,4
77,138740,118,563,34781,58,1581004320.0,1581006000.0,20200206 10:52,20200206 11:20,13
78,140118,503,52,36138,68,1581009360.0,1581011400.0,20200206 12:16,20200206 12:50,9
79,139171,503,0,53121,68,1581015000.0,1581017040.0,20200206 13:50,20200206 14:24,16
80,140503,729,385,8138,30,1581029160.0,1581030000.0,20200206 17:46,20200206 18:00,33
81,139711,505,102,72577,130,1580993700.0,1580997600.0,20200206 07:55,20200206 09:00,4
82,140465,729,220,8149,30,1581032700.0,1581033540.0,20200206 18:45,20200206 18:59,33
83,140504,729,0,8030,29,1581034620.0,1581035460.0,20200206 19:17,20200206 19:31,33
84,139163,103,528,11465,155,1581044400.0,1581048960.0,20200206 22:00,20200206 23:16,16
85,140000,134,416,15793,20,1580982300.0,1580982840.0,20200206 04:45,20200206 04:54,PO
86,140263,718,56,9053,43,1580998380.0,1580999700.0,20200206 09:13,20200206 09:35,33
87,138624,140,376,41099,61,1581005040.0,1581006900.0,20200206 11:04,20200206 11:35,10G
88,139664,125,0,73585,114,1581038820.0,1581042240.0,20200206 20:27,20200206 21:24,4
