,tatripid,vid,start_pdist,end_pdist,num_docs,start_timestamp,end_timestamp,start_tmstmp,end_tmstmp,route_id,destination
0,139350,506,131,416,103,1581620160.0,1581622620.0,20200213 13:56,20200213 14:37,21,DOWNTOWN
1,140015,142,114,12266,18,1581602220.0,1581602760.0,20200213 08:57,20200213 09:06,8,EASTDALE
2,140471,729,209,8165,32,1581640740.0,1581641640.0,20200213 19:39,20200213 19:54,33,SHUTTLE PARK SOUTH
3,138634,128,1006,40888,56,1581644040.0,1581645660.0,20200213 20:34,20200213 21:01,10G,GLENWOOD
4,138907,144,322,7044,17,1581611940.0,1581612420.0,20200213 11:39,20200213 11:47,14,MACLELLAN GYM UNIVERSITY CTR
5,139748,124,112,72799,154,1581620400.0,1581625020.0,20200213 14:00,20200213 15:17,4,DOWNTOWN
6,138401,139,0,40705,83,1581611280.0,1581613740.0,20200213 11:28,20200213 12:09,1,DOWNTOWN
7,140123,134,97,36186,65,1581595680.0,1581597600.0,20200213 07:08,20200213 07:40,9,EAST LAKE  
8,138748,137,122,34781,64,1581624900.0,1581626760.0,20200213 15:15,20200213 15:46,13,DOWNTOWN
9,140110,112,49,36011,65,1581625080.0,1581627000.0,20200213 15:18,20200213 15:50,9,EAST LAKE  
10,139283,148,365,20030,43,1581631500.0,1581632760.0,20200213 17:05,20200213 17:26,2,NORTH CHATTANOOGA
11,139755,132,77,416,340,1581638400.0,1581648060.0,20200213 19:00,20200213 21:41,4,DOWNTOWN
12,140292,726,439,8575,23,1581633960.0,1581634620.0,20200213 17:46,20200213 17:57,33,SHUTTLE PARK NORTH
13,139677,501,38506,73554,75,1581650400.0,1581652560.0,20200213 22:20,20200213 22:56,4,EASTGATE HAMILTON PL
14,138895,141,322,7059,16,1581612660.0,1581613080.0,20200213 11:51,20200213 11:58,14,MACLELLAN GYM UNIVERSITY CTR
15,139989,104,43,416,84,1581603900.0,1581605820.0,20200213 09:25,20200213 09:57,7,CHATTANOOGA HOUSING AUTHORITY
16,139458,136,2041,33340,53,1581602580.0,1581604200.0,20200213 09:03,20200213 09:30,28,DOWNTOWN
17,139354,145,155,9469,27,1581628560.0,1581629340.0,20200213 16:16,20200213 16:29,21,DOWNTOWN
18,138552,128,1151,26321,54,1581638520.0,1581640140.0,20200213 19:02,20200213 19:29,10A,DOWNTOWN
19,138381,128,56,21501,40,1581654300.0,1581655440.0,20200213 23:25,20200213 23:44,1,ALTON PARK
20,139171,139,0,53058,71,1581619800.0,1581621900.0,20200213 13:50,20200213 14:25,16,DOWNTOWN
21,139280,145,14064,19903,10,1581638400.0,1581638640.0,20200213 19:00,20200213 19:04,2,NORTH CHATTANOOGA
22,139433,106,230,33825,41,1581622140.0,1581623340.0,20200213 14:29,20200213 14:49,28,CHATTANOOGA STATE
