entry_no,tatripid,vid,start_pdist,end_pdist,num_docs,start_timestamp,end_timestamp,start_tmstmp,end_tmstmp,route_id
0,138729,125,49,33003,60,1580764560.0,1580766360.0,20200203 16:16,20200203 16:46,13
1,140138,120,78,364,120,1580749380.0,1580752380.0,20200203 12:03,20200203 12:53,9
2,140397,703,0,7349,23,1580743200.0,1580743860.0,20200203 10:20,20200203 10:31,33
3,138520,130,376,29963,78,1580751060.0,1580753340.0,20200203 12:31,20200203 13:09,10A
4,138963,144,322,6834,14,1580766300.0,1580766720.0,20200203 16:45,20200203 16:52,14
5,140471,729,0,8235,31,1580776380.0,1580777340.0,20200203 19:33,20200203 19:49,33
6,139560,726,243,4565,9,1580754000.0,1580754240.0,20200203 13:20,20200203 13:24,34
7,139298,150,154,364,93,1580756280.0,1580758440.0,20200203 13:58,20200203 14:34,2
8,139650,505,42,73585,94,1580733420.0,1580736240.0,20200203 07:37,20200203 08:24,4
9,140296,722,291,9053,34,1580755980.0,1580757000.0,20200203 13:53,20200203 14:10,33
10,138748,140,535,34781,60,1580760900.0,1580762700.0,20200203 15:15,20200203 15:45,13
11,140103,127,49,36318,70,1580745120.0,1580747160.0,20200203 10:52,20200203 11:26,9
12,139446,105,0,33356,46,1580765760.0,1580767140.0,20200203 16:36,20200203 16:59,28
13,139710,112,103,72556,121,1580733600.0,1580737200.0,20200203 07:40,20200203 08:40,4
14,138800,143,403,9151,20,1580757960.0,1580758500.0,20200203 14:26,20200203 14:35,14
15,138616,101,376,87908,109,1580728800.0,1580732040.0,20200203 06:20,20200203 07:14,10C
16,140247,718,281,8725,32,1580751000.0,1580751960.0,20200203 12:30,20200203 12:46,33
17,138839,144,4374,9042,14,1580774400.0,1580774760.0,20200203 19:00,20200203 19:06,14
18,138819,144,58,9559,26,1580754600.0,1580755380.0,20200203 13:30,20200203 13:43,14
19,139670,128,44,73424,134,1580764200.0,1580768280.0,20200203 16:10,20200203 17:18,4
20,139155,120,357,52696,59,1580737380.0,1580739120.0,20200203 08:43,20200203 09:12,16
21,139568,726,4056,4974,27,1580762340.0,1580763120.0,20200203 15:39,20200203 15:52,34
