,trip_id
0,139653
1,139694
2,139461
3,140000
4,139636
5,140097
6,138719
7,138337
8,138614
9,140031
10,139715
11,138643
12,139643
13,138338
14,139121
15,140098
16,138540
17,139644
18,138382
19,139468
20,138735
21,139718
22,140126
23,138341
24,140010
25,139998
26,138541
27,138383
28,140032
29,139261
30,139462
31,139309
32,139439
33,139698
34,140127
35,138342
36,139122
37,139150
38,140105
39,138527
40,139652
41,139245
42,138665
43,138384
44,138720
45,139706
46,139337
47,139285
48,138616
49,139454
50,140011
51,138343
52,140033
53,139646
54,139264
55,138655
56,139151
57,140135
58,139707
59,139123
60,139310
61,138385
62,140104
63,139648
64,138529
65,139253
66,138344
67,138736
68,139440
69,140948
70,139286
71,139339
72,138386
73,139455
74,138345
75,139647
76,139270
77,139716
78,139311
79,139152
80,140012
81,139124
82,139695
83,140123
84,140130
85,138638
86,138619
87,140034
88,138387
89,138721
90,139287
91,139463
92,139338
93,138657
94,139649
95,138563
96,139441
97,138751
98,138530
99,138752
100,139650
101,139153
102,139312
103,138388
104,139709
105,139271
106,138347
107,140099
108,139717
109,138557
110,139125
111,140131
112,139456
113,139246
114,138883
115,138737
116,140013
117,139710
118,139340
119,139288
120,139651
121,138637
122,138618
123,140035
124,138898
125,139990
126,138754
127,138658
128,140947
129,138768
130,139313
131,139265
132,139711
133,139442
134,138884
135,140132
136,139154
137,140106
138,138538
139,138911
140,138389
141,139126
142,138722
143,138755
144,139703
145,139341
146,139289
147,138542
148,138670
149,138769
150,139254
151,139457
152,138353
153,140014
154,138885
155,140036
156,138899
157,139272
158,139640
159,139712
160,139314
161,138756
162,140136
163,139127
164,139155
165,138770
166,138349
167,138738
168,140100
169,140003
170,138886
171,139290
172,139443
173,138531
174,139713
175,138666
176,139342
177,139641
178,138900
179,138398
180,139145
181,138757
182,138667
183,140015
184,139642
185,139336
186,138355
187,139266
188,139250
189,138771
190,138887
191,139156
192,139458
193,140037
194,138390
195,138723
196,140133
197,138901
198,140101
199,138758
200,139364
201,139307
202,138659
203,138350
204,138772
205,138517
206,138888
207,139139
208,139700
209,138400
210,139989
211,139315
212,139444
213,139273
214,138902
215,138759
216,140016
217,139174
218,140102
219,139258
220,138739
221,139655
222,138773
223,140134
224,139702
225,138626
226,140038
227,138889
228,139343
229,138391
230,139291
231,139991
232,138352
233,138903
234,138644
235,139459
236,138760
237,139704
238,138774
239,139267
240,138539
241,139316
242,138890
243,140128
244,138354
245,138912
246,139128
247,139169
248,138724
249,138544
250,140107
251,138761
252,140017
253,139438
254,138518
255,139292
256,139344
257,138781
258,140039
259,138891
260,138393
261,139140
262,139682
263,138904
264,138671
265,138762
266,139251
267,139719
268,139274
269,139317
270,138339
271,140137
272,138740
273,139453
274,140006
275,138775
276,138892
277,140103
278,138399
279,139157
280,138905
281,139657
282,140018
283,139293
284,138356
285,138763
286,139345
287,139437
288,138645
289,138624
290,140007
291,140040
292,138776
293,138394
294,138893
