entry_no,tatripid,vid,start_pdist,end_pdist,num_docs,start_timestamp,end_timestamp,start_tmstmp,end_tmstmp,route_id
0,139707,127,115,72542,136,1581506700.0,1581510720.0,20200212 06:25,20200212 07:32,4
1,139636,752,418,87822,130,1581500940.0,1581504840.0,20200212 04:49,20200212 05:54,PO
2,140046,136,121,52953,60,1581538320.0,1581540060.0,20200212 15:12,20200212 15:41,8
3,138754,144,64,8833,19,1581511800.0,1581512340.0,20200212 07:50,20200212 07:59,14
4,138630,105,96,41071,74,1581532920.0,1581535140.0,20200212 13:42,20200212 14:19,10G
5,139168,148,357,50886,54,1581550380.0,1581551940.0,20200212 18:33,20200212 18:59,16
6,138648,127,8335,37717,87,1581536340.0,1581538920.0,20200212 14:39,20200212 15:22,PO
7,138520,753,86,30069,67,1581528600.0,1581530640.0,20200212 12:30,20200212 13:04,10A
8,138952,141,322,7040,15,1581530940.0,1581531360.0,20200212 13:09,20200212 13:16,14
9,139709,503,107,72558,134,1581510300.0,1581514320.0,20200212 07:25,20200212 08:32,4
10,138934,144,107,7029,16,1581538920.0,1581539400.0,20200212 15:22,20200212 15:30,14
11,138368,127,303,31159,58,1581538980.0,1581540720.0,20200212 15:23,20200212 15:52,1
12,139351,145,231,9614,24,1581535920.0,1581536640.0,20200212 14:32,20200212 14:44,21
13,140422,730,63,8123,25,1581542760.0,1581543720.0,20200212 16:26,20200212 16:42,33
14,138930,144,322,6821,19,1581534120.0,1581534600.0,20200212 14:02,20200212 14:10,14
15,140119,148,49,36218,75,1581535620.0,1581537900.0,20200212 14:27,20200212 15:05,9
16,138667,505,1545,36599,62,1581516000.0,1581517860.0,20200212 09:00,20200212 09:31,10G
17,139167,103,20241,11465,205,1581543360.0,1581548940.0,20200212 16:36,20200212 18:09,16
18,139176,101,0,53121,68,1581531000.0,1581533040.0,20200212 13:10,20200212 13:44,16
19,138664,139,115,20819,38,1581550860.0,1581551940.0,20200212 18:41,20200212 18:59,10G
20,138809,144,58,9546,23,1581547320.0,1581547980.0,20200212 17:42,20200212 17:53,14
21,139309,504,418,28780,41,1581504600.0,1581505800.0,20200212 05:50,20200212 06:10,PO
22,140296,730,9053,9053,2,1581533520.0,1581533580.0,20200212 13:52,20200212 13:53,33
23,138795,144,0,9539,37,1581529140.0,1581530220.0,20200212 12:39,20200212 12:57,14
24,138904,143,317,6995,15,1581521820.0,1581522240.0,20200212 10:37,20200212 10:44,14
25,138898,143,317,7155,15,1581511860.0,1581512280.0,20200212 07:51,20200212 07:58,14
26,138546,501,398,28892,39,1581525300.0,1581526500.0,20200212 11:35,20200212 11:55,10A
27,139326,115,493,13704,50,1581540660.0,1581542160.0,20200212 15:51,20200212 16:16,21
28,139570,726,89,5020,10,1581542520.0,1581543060.0,20200212 16:22,20200212 16:31,34
29,138416,503,0,40555,75,1581544560.0,1581546780.0,20200212 16:56,20200212 17:33,1
30,138907,143,322,7044,17,1581525600.0,1581526080.0,20200212 11:40,20200212 11:48,14
31,140466,730,0,4992,18,1581551460.0,1581551940.0,20200212 18:51,20200212 18:59,33
32,139652,145,375,95688,121,1581505260.0,1581508860.0,20200212 06:01,20200212 07:01,4
33,138817,143,0,9514,37,1581529560.0,1581530640.0,20200212 12:46,20200212 13:04,14
34,138373,139,42,31157,64,1581545160.0,1581547080.0,20200212 17:06,20200212 17:38,1
35,139453,130,0,364,137,1581522120.0,1581525720.0,20200212 10:42,20200212 11:42,28
36,139681,125,178,73585,111,1581559140.0,1581562440.0,20200212 20:59,20200212 21:54,4
37,140031,140,418,64154,88,1581501300.0,1581503880.0,20200212 04:55,20200212 05:38,PO
38,,115,0,0,365,1581499740.0,1581549420.0,20200212 04:29,20200212 18:17,U
39,138797,144,0,9539,23,1581532140.0,1581532800.0,20200212 13:29,20200212 13:40,14
40,138953,141,126,6756,14,1581532140.0,1581532560.0,20200212 13:29,20200212 13:36,14
41,140033,140,257,52989,71,1581506820.0,1581508920.0,20200212 06:27,20200212 07:02,8
42,139661,112,42,72314,143,1581544620.0,1581548940.0,20200212 16:57,20200212 18:09,4
43,139655,145,0,73585,116,1581518160.0,1581521640.0,20200212 09:36,20200212 10:34,4
44,138374,140,42,31119,64,1581546420.0,1581548340.0,20200212 17:27,20200212 17:59,1
45,139671,150,438,27887,53,1581550380.0,1581551940.0,20200212 18:33,20200212 18:59,4
46,138767,144,0,9662,26,1581528000.0,1581528780.0,20200212 12:20,20200212 12:33,14
47,138425,503,0,39600,70,1581566820.0,1581568860.0,20200212 23:07,20200212 23:41,1
48,139561,726,4094,2426,16,1581532320.0,1581532740.0,20200212 13:32,20200212 13:39,34
49,138532,130,453,30069,48,1581531600.0,1581533040.0,20200212 13:20,20200212 13:44,10A
50,138895,144,108,6811,16,1581526680.0,1581527160.0,20200212 11:58,20200212 12:06,14
51,138536,139,376,29813,43,1581549540.0,1581550800.0,20200212 18:19,20200212 18:40,10A
52,138938,144,322,6756,15,1581544620.0,1581545040.0,20200212 16:57,20200212 17:04,14
53,138755,144,58,9662,40,1581512820.0,1581513960.0,20200212 08:07,20200212 08:26,14
54,139675,132,42,80943,102,1581547200.0,1581550260.0,20200212 17:40,20200212 18:31,4
55,138359,130,42,30828,49,1581527760.0,1581529740.0,20200212 12:16,20200212 12:49,1
56,140051,136,432,52989,66,1581550020.0,1581551940.0,20200212 18:27,20200212 18:59,8
57,139153,115,357,53097,72,1581510600.0,1581512760.0,20200212 07:30,20200212 08:06,16
58,139138,148,361,49564,75,1581548100.0,1581550320.0,20200212 17:55,20200212 18:32,16
59,139437,106,418,49619,73,1581522900.0,1581525060.0,20200212 10:55,20200212 11:31,PO
60,139277,115,365,19810,41,1581538800.0,1581540000.0,20200212 15:20,20200212 15:40,2
61,139130,503,376,49564,58,1581535800.0,1581537600.0,20200212 14:30,20200212 15:00,16
62,140432,703,91,8262,25,1581539160.0,1581539880.0,20200212 15:26,20200212 15:38,33
63,138792,141,113,9040,19,1581525480.0,1581526020.0,20200212 11:38,20200212 11:47,14
64,140506,729,84,7985,74,1581565680.0,1581567240.0,20200212 22:48,20200212 23:14,33
65,138919,141,322,7030,13,1581519780.0,1581520140.0,20200212 10:03,20200212 10:09,14
66,140114,103,0,51717,104,1581528900.0,1581532020.0,20200212 12:35,20200212 13:27,9
67,139256,134,746,88169,110,1581545640.0,1581548940.0,20200212 17:14,20200212 18:09,19
68,138360,105,42,31154,78,1581529080.0,1581530880.0,20200212 12:38,20200212 13:08,1
69,138929,144,322,7021,12,1581532800.0,1581533160.0,20200212 13:40,20200212 13:46,14
70,139168,148,51601,11465,148,1581552000.0,1581555840.0,20200212 19:00,20200212 20:04,16
71,139143,506,376,49548,61,1581546000.0,1581547800.0,20200212 17:20,20200212 17:50,16
72,138403,501,0,416,151,1581528600.0,1581532560.0,20200212 12:30,20200212 13:36,1
73,138824,143,67,9048,19,1581533640.0,1581534180.0,20200212 13:54,20200212 14:03,14
74,138422,140,0,39547,61,1581555780.0,1581557580.0,20200212 20:03,20200212 20:33,1
75,139118,117,1457,24731,38,1581543960.0,1581545100.0,20200212 16:46,20200212 17:05,15
76,138533,753,0,30069,51,1581537240.0,1581538800.0,20200212 14:54,20200212 15:20,10A
77,139257,134,0,29326,29,1581551100.0,1581551940.0,20200212 18:45,20200212 18:59,19
78,138558,106,398,416,128,1581515940.0,1581519180.0,20200212 08:59,20200212 09:53,10A
79,138376,503,26536,31027,11,1581552000.0,1581552300.0,20200212 19:00,20200212 19:05,1
80,139518,726,1226,5197,27,1581529800.0,1581530580.0,20200212 12:50,20200212 13:03,34
81,138859,141,115,9040,21,1581553020.0,1581553620.0,20200212 19:17,20200212 19:27,14
82,138624,501,376,41017,60,1581523500.0,1581525300.0,20200212 11:05,20200212 11:35,10G
83,139538,727,2867,13951,21,1581509280.0,1581509820.0,20200212 07:08,20200212 07:17,34
84,139732,119,0,416,186,1581531180.0,1581536220.0,20200212 13:13,20200212 14:37,4
85,139450,106,0,33287,52,1581531180.0,1581532740.0,20200212 13:13,20200212 13:39,28
86,140014,140,145,12823,31,1581513300.0,1581514260.0,20200212 08:15,20200212 08:31,8
87,139560,726,196,5020,17,1581531240.0,1581531720.0,20200212 13:14,20200212 13:22,34
88,139438,130,915,35346,38,1581520980.0,1581522120.0,20200212 10:23,20200212 10:42,28
89,138733,142,89,33024,48,1581540360.0,1581541800.0,20200212 15:46,20200212 16:10,13
90,140421,730,0,8210,33,1581540660.0,1581541620.0,20200212 15:51,20200212 16:07,33
91,138413,127,11910,39575,68,1581540720.0,1581542760.0,20200212 15:52,20200212 16:26,1
92,138370,753,0,31160,69,1581540900.0,1581543180.0,20200212 15:55,20200212 16:33,1
93,139344,504,0,9716,34,1581520980.0,1581521940.0,20200212 10:23,20200212 10:39,21
94,138933,144,108,7069,17,1581537540.0,1581538020.0,20200212 14:59,20200212 15:07,14
95,138917,141,322,7263,13,1581517020.0,1581517380.0,20200212 09:17,20200212 09:23,14
96,138631,117,376,40960,54,1581535080.0,1581536700.0,20200212 14:18,20200212 14:45,10G
97,139178,101,0,11465,183,1581546420.0,1581551400.0,20200212 17:27,20200212 18:50,16
98,139657,752,47,73380,131,1581522960.0,1581526860.0,20200212 10:56,20200212 12:01,4
99,138376,503,61,26257,63,1581550080.0,1581551940.0,20200212 18:28,20200212 18:59,1
100,138547,112,398,413,113,1581528120.0,1581530940.0,20200212 12:22,20200212 13:09,10A
101,138990,141,121,7030,13,1581553680.0,1581554040.0,20200212 19:28,20200212 19:34,14
102,140290,703,56,56,26,1581543540.0,1581543660.0,20200212 16:39,20200212 16:41,33
103,138642,104,0,57104,98,1581544080.0,1581547020.0,20200212 16:48,20200212 17:37,10G
104,138530,124,1006,30069,49,1581510300.0,1581511740.0,20200212 07:25,20200212 07:49,10A
105,139654,126,999,87822,125,1581503760.0,1581507540.0,20200212 05:36,20200212 06:39,4
106,139520,726,1850,4555,20,1581531780.0,1581532320.0,20200212 13:23,20200212 13:32,34
107,138958,143,322,7001,17,1581537960.0,1581538440.0,20200212 15:06,20200212 15:14,14
108,138911,143,322,6820,13,1581513060.0,1581513420.0,20200212 08:11,20200212 08:17,14
109,138521,139,78,30069,51,1581533940.0,1581535440.0,20200212 13:59,20200212 14:24,10A
110,140346,730,439,9052,23,1581563160.0,1581563820.0,20200212 22:06,20200212 22:17,33
111,139177,148,357,52642,54,1581542160.0,1581543960.0,20200212 16:16,20200212 16:46,16
112,138399,123,0,40585,68,1581522720.0,1581524760.0,20200212 10:52,20200212 11:26,1
113,138818,143,66,9041,24,1581531060.0,1581531780.0,20200212 13:11,20200212 13:23,14
114,139461,115,418,90850,111,1581499800.0,1581503100.0,20200212 04:30,20200212 05:25,PO
115,139267,147,84,19678,42,1581519840.0,1581521100.0,20200212 10:04,20200212 10:25,2
116,138408,753,0,40697,72,1581535080.0,1581537240.0,20200212 14:18,20200212 14:54,1
117,139148,148,1006,49564,79,1581539760.0,1581542100.0,20200212 15:36,20200212 16:15,16
118,139342,147,257,9376,15,1581515460.0,1581515940.0,20200212 08:51,20200212 08:59,21
119,138941,144,107,6808,15,1581547980.0,1581548460.0,20200212 17:53,20200212 18:01,14
120,138935,144,108,6755,14,1581540180.0,1581540540.0,20200212 15:43,20200212 15:49,14
121,139249,134,745,61477,68,1581549000.0,1581551040.0,20200212 18:10,20200212 18:44,19
122,139684,149,42,73565,132,1581538380.0,1581542340.0,20200212 15:13,20200212 16:19,4
123,138812,144,58,9040,29,1581550740.0,1581551640.0,20200212 18:39,20200212 18:54,14
124,139992,124,42,416,69,1581525420.0,1581528360.0,20200212 11:37,20200212 12:26,7
125,138968,143,322,7012,11,1581549660.0,1581550020.0,20200212 18:21,20200212 18:27,14
126,139144,506,376,49548,68,1581553680.0,1581555720.0,20200212 19:28,20200212 20:02,16
127,138379,140,42,31156,76,1581560700.0,1581562980.0,20200212 21:25,20200212 22:03,1
128,139637,119,418,87822,154,1581511740.0,1581516360.0,20200212 07:49,20200212 09:06,PO
