,tatripid,vid,start_pdist,end_pdist,num_docs,start_timestamp,end_timestamp,start_tmstmp,end_tmstmp,route_id,destination
0,139661,127,0,73478,136,1582926960.0,1582931040.0,20200228 16:56,20200228 18:04,4,EASTGATE HAMILTON PL
1,139716,145,0,79245,90,1582890900.0,1582893600.0,20200228 06:55,20200228 07:40,4,DOWNTOWN EXPRESS
2,140248,726,156,8366,38,1582912920.0,1582914060.0,20200228 13:02,20200228 13:21,33,SHUTTLE PARK NORTH
3,138803,141,58,9538,23,1582921320.0,1582921980.0,20200228 15:22,20200228 15:33,14,MCCALLIE + HOUSTON
4,139568,727,196,5020,12,1582922640.0,1582923000.0,20200228 15:44,20200228 15:50,34,SHUTTLE PARK NORTH
5,139291,752,110,15064,22,1582901700.0,1582902360.0,20200228 09:55,20200228 10:06,2,DOWNTOWN
6,140049,139,53218,53218,14,1582928880.0,1582929240.0,20200228 17:28,20200228 17:34,8,GERMANTOWN + BRAINERD RD
7,140287,703,110,8945,28,1582920840.0,1582921620.0,20200228 15:14,20200228 15:27,33,SHUTTLE PARK NORTH
8,139273,752,162,19817,49,1582900260.0,1582901700.0,20200228 09:31,20200228 09:55,2,NORTH CHATTANOOGA
9,138418,120,0,39661,74,1582929600.0,1582931820.0,20200228 17:40,20200228 18:17,1,DOWNTOWN
10,139444,138,750,35346,36,1582900560.0,1582901640.0,20200228 09:36,20200228 09:54,28,CHATTANOOGA STATE
11,138774,142,0,9535,23,1582902000.0,1582902720.0,20200228 10:00,20200228 10:12,14,MCCALLIE + HOUSTON
12,138968,142,322,7030,10,1582932240.0,1582932480.0,20200228 18:24,20200228 18:28,14,MACLELLAN GYM UNIVERSITY CTR
13,140117,111,49,36168,70,1582908960.0,1582911000.0,20200228 11:56,20200228 12:30,9,EAST LAKE  
14,140016,139,170,11830,27,1582900560.0,1582901340.0,20200228 09:36,20200228 09:49,8,EASTDALE
15,138357,132,42,31157,69,1582906500.0,1582908600.0,20200228 11:15,20200228 11:50,1,ALTON PARK
16,138754,141,58,9662,37,1582893960.0,1582895100.0,20200228 07:46,20200228 08:05,14,MCCALLIE + HOUSTON
17,140418,726,489,8049,35,1582917360.0,1582918380.0,20200228 14:16,20200228 14:33,33,SHUTTLE PARK SOUTH
18,140223,718,117,8862,33,1582892340.0,1582893300.0,20200228 07:19,20200228 07:35,33,SHUTTLE PARK NORTH
19,138830,142,58,9540,17,1582923000.0,1582923480.0,20200228 15:50,20200228 15:58,14,MCCALLIE + HOUSTON
20,138643,122,8335,37822,100,1582883400.0,1582886400.0,20200228 04:50,20200228 05:40,PO,
21,140027,139,0,585,4,1582928760.0,1582928820.0,20200228 17:26,20200228 17:27,8,EASTDALE
22,140485,703,271,8232,35,1582943160.0,1582944240.0,20200228 21:26,20200228 21:44,33,SHUTTLE PARK SOUTH
23,139253,103,633,88166,111,1582890360.0,1582893660.0,20200228 06:46,20200228 07:41,19,DOWNTOWN
24,139170,111,357,53057,67,1582906920.0,1582908900.0,20200228 11:22,20200228 11:55,16,DOWNTOWN
25,138644,150,0,11465,161,1582901400.0,1582905660.0,20200228 09:50,20200228 11:01,10G,DOWNTOWN
26,138735,119,297,34781,85,1582885920.0,1582888440.0,20200228 05:32,20200228 06:14,13,DOWNTOWN
27,139261,149,418,35728,56,1582887060.0,1582888740.0,20200228 05:51,20200228 06:19,PO,
28,138542,140,398,28779,47,1582895760.0,1582897140.0,20200228 08:16,20200228 08:39,10A,DOWNTOWN VIA DODSON AVE HEALTH CTR
29,139255,135,251,416,177,1582912860.0,1582917540.0,20200228 13:01,20200228 14:19,19,DOWNTOWN
30,138758,141,0,9030,35,1582899120.0,1582900140.0,20200228 09:12,20200228 09:29,14,MCCALLIE + HOUSTON
31,139683,145,655,87822,126,1582912560.0,1582916340.0,20200228 12:56,20200228 13:59,4,EASTGATE HAMILTON PL
32,138953,143,317,7198,20,1582914480.0,1582915080.0,20200228 13:28,20200228 13:38,14,MACLELLAN GYM UNIVERSITY CTR
33,138358,110,375,31122,52,1582909620.0,1582911180.0,20200228 12:07,20200228 12:33,1,ALTON PARK
34,140286,703,166,8920,24,1582919280.0,1582920000.0,20200228 14:48,20200228 15:00,33,SHUTTLE PARK NORTH
35,138724,119,49,32807,47,1582903320.0,1582904760.0,20200228 10:22,20200228 10:46,13,ROSSVILLE
36,140226,726,745,9053,43,1582893240.0,1582894500.0,20200228 07:34,20200228 07:55,33,SHUTTLE PARK NORTH
37,139103,137,64,25249,50,1582897740.0,1582899240.0,20200228 08:49,20200228 09:14,15,ST ELMO VIA INCLINE 
38,138894,141,108,6756,20,1582907460.0,1582908000.0,20200228 11:31,20200228 11:40,14,MACLELLAN GYM UNIVERSITY CTR
