entry_no,tatripid,vid,start_pdist,end_pdist,num_docs,start_timestamp,end_timestamp,start_tmstmp,end_tmstmp,route_id
0,138970,143,2148,6755,22,1582588800.0,1582589460.0,20200224 19:00,20200224 19:11,14
1,140042,103,532,53066,60,1582565220.0,1582566960.0,20200224 12:27,20200224 12:56,8
2,139327,501,721,13709,39,1582579860.0,1582581000.0,20200224 16:31,20200224 16:50,21
3,138962,143,54,7030,12,1582579380.0,1582579740.0,20200224 16:23,20200224 16:29,14
4,139461,501,418,89879,101,1582536960.0,1582539960.0,20200224 04:36,20200224 05:26,PO
5,138552,149,1151,26286,49,1582589100.0,1582590540.0,20200224 19:05,20200224 19:29,10A
6,139507,727,1235,5074,25,1582554720.0,1582555440.0,20200224 09:32,20200224 09:44,34
7,139277,503,99,20127,38,1582575660.0,1582576740.0,20200224 15:21,20200224 15:39,2
8,139349,148,0,9639,27,1582568280.0,1582569060.0,20200224 13:18,20200224 13:31,21
9,140219,722,0,8403,41,1582544940.0,1582546140.0,20200224 06:49,20200224 07:09,33
10,138900,143,322,7263,14,1582552200.0,1582552560.0,20200224 08:50,20200224 08:56,14
11,138645,112,100,37815,79,1582560000.0,1582562340.0,20200224 11:00,20200224 11:39,10G
12,139353,501,346,9613,33,1582576800.0,1582577760.0,20200224 15:40,20200224 15:56,21
13,138883,142,322,6517,12,1582547940.0,1582548300.0,20200224 07:39,20200224 07:45,14
14,140121,753,26673,36081,11,1582588800.0,1582589100.0,20200224 19:00,20200224 19:05,9
15,138619,115,133,102793,133,1582546080.0,1582550100.0,20200224 07:08,20200224 08:15,10C
16,139303,503,0,15058,32,1582580760.0,1582581720.0,20200224 16:46,20200224 17:02,2
17,139552,727,39,4869,20,1582559520.0,1582560120.0,20200224 10:52,20200224 11:02,34
18,139105,139,0,40916,58,1582572660.0,1582574340.0,20200224 14:31,20200224 14:59,PO
19,140315,729,166,8839,26,1582578060.0,1582578840.0,20200224 16:01,20200224 16:14,33
20,139359,501,0,14657,52,1582589100.0,1582590660.0,20200224 19:05,20200224 19:31,21
21,138894,142,126,6980,13,1582561920.0,1582562280.0,20200224 11:32,20200224 11:38,14
22,140464,703,124,8257,24,1582587300.0,1582587960.0,20200224 18:35,20200224 18:46,33
23,139113,137,33,24731,69,1582550400.0,1582552440.0,20200224 08:20,20200224 08:54,15
24,140393,729,68,8227,36,1582566060.0,1582567140.0,20200224 12:41,20200224 12:59,33
25,139702,131,381,364,207,1582555560.0,1582561200.0,20200224 09:46,20200224 11:20,4
26,139441,138,399,35346,54,1582547280.0,1582548960.0,20200224 07:28,20200224 07:56,28
27,139651,505,0,73585,129,1582548360.0,1582552260.0,20200224 07:46,20200224 08:51,4
28,138558,126,398,416,126,1582552800.0,1582555980.0,20200224 09:00,20200224 09:53,10A
29,139273,506,365,19893,49,1582554660.0,1582556160.0,20200224 09:31,20200224 09:56,2
30,138821,141,0,9662,42,1582566840.0,1582567680.0,20200224 12:54,20200224 13:08,14
31,139734,126,76426,416,136,1582588800.0,1582592280.0,20200224 19:00,20200224 19:58,4
32,138732,144,488,48597,82,1582572780.0,1582575240.0,20200224 14:33,20200224 15:14,13
33,139431,110,150,35346,77,1582578540.0,1582580880.0,20200224 16:09,20200224 16:48,28
34,139257,138,32176,416,277,1582588800.0,1582597140.0,20200224 19:00,20200224 21:19,19
35,138981,141,322,6902,14,1582579740.0,1582580100.0,20200224 16:29,20200224 16:35,14
36,140117,126,377,36032,61,1582563600.0,1582565400.0,20200224 12:00,20200224 12:30,9
37,138402,134,0,40638,78,1582563060.0,1582565400.0,20200224 11:51,20200224 12:30,1
38,138904,143,322,7263,14,1582558440.0,1582558800.0,20200224 10:34,20200224 10:40,14
39,138939,142,127,7003,17,1582581420.0,1582581900.0,20200224 16:57,20200224 17:05,14
40,139288,506,432,14467,26,1582548480.0,1582549260.0,20200224 07:48,20200224 08:01,2
41,140463,718,0,8245,20,1582587000.0,1582587540.0,20200224 18:30,20200224 18:39,33
42,138885,142,127,7205,23,1582550460.0,1582551120.0,20200224 08:21,20200224 08:32,14
43,140954,143,322,416,190,1582593840.0,1582599000.0,20200224 20:24,20200224 21:50,14
44,140492,726,603,8042,36,1582600680.0,1582601760.0,20200224 22:18,20200224 22:36,33
45,139642,149,42,73585,103,1582552920.0,1582556040.0,20200224 09:02,20200224 09:54,4
46,139548,727,435,4974,11,1582555500.0,1582555800.0,20200224 09:45,20200224 09:50,34
47,139695,123,0,47012,72,1582545360.0,1582547520.0,20200224 06:56,20200224 07:32,4
48,138853,141,115,9572,27,1582582740.0,1582583520.0,20200224 17:19,20200224 17:32,14
