,tatripid,vid,start_pdist,end_pdist,num_docs,start_timestamp,end_timestamp,start_tmstmp,end_tmstmp,route_id,destination
0,138425,150,11910,40236,70,1582344240.0,1582346280.0,20200221 23:04,20200221 23:38,1,DOWNTOWN
1,139434,101,750,35241,39,1582310400.0,1582311540.0,20200221 13:40,20200221 13:59,28,CHATTANOOGA STATE
2,139656,130,418,87790,147,1582302720.0,1582307100.0,20200221 11:32,20200221 12:45,PO,
3,138424,124,0,39551,63,1582340580.0,1582342440.0,20200221 22:03,20200221 22:34,1,DOWNTOWN
4,139534,727,0,5203,19,1582324800.0,1582325340.0,20200221 17:40,20200221 17:49,34,TREMONT + FRAZIER
5,139359,148,346,14751,41,1582330200.0,1582331400.0,20200221 19:10,20200221 19:30,21,DOWNTOWN
6,138646,131,146,37861,55,1582306320.0,1582307940.0,20200221 12:32,20200221 12:59,10G,DOWNTOWN
7,139298,505,432,395,117,1582311480.0,1582314420.0,20200221 13:58,20200221 14:47,2,DOWNTOWN
8,139552,727,114,4922,18,1582300440.0,1582300980.0,20200221 10:54,20200221 11:03,34,SHUTTLE PARK NORTH
9,139178,113,11465,11465,109,1582329600.0,1582332840.0,20200221 19:00,20200221 19:54,PI,
10,138757,142,64,9539,18,1582293240.0,1582293720.0,20200221 08:54,20200221 09:02,14,MCCALLIE + HOUSTON
11,139121,101,0,65588,84,1582279920.0,1582282440.0,20200221 05:12,20200221 05:54,16,NORTHGATE
12,139143,503,376,49564,60,1582323540.0,1582325340.0,20200221 17:19,20200221 17:49,16,NORTHGATE
13,139752,149,381,41443,78,1582327200.0,1582329540.0,20200221 18:20,20200221 18:59,4,DOWNTOWN
14,140362,718,70,8261,27,1582285920.0,1582286700.0,20200221 06:52,20200221 07:05,33,SHUTTLE PARK SOUTH
15,138627,134,376,41228,59,1582299900.0,1582301640.0,20200221 10:45,20200221 11:14,10G,GLENWOOD
16,139554,727,231,0,35,1582302780.0,1582303800.0,20200221 11:33,20200221 11:50,34,SHUTTLE PARK NORTH
17,138722,127,387,33061,53,1582290900.0,1582292460.0,20200221 08:15,20200221 08:41,13,ROSSVILLE
