,tatripid,vid,start_pdist,end_pdist,num_docs,start_timestamp,end_timestamp,start_tmstmp,end_tmstmp,route_id,destination
0,140469,718,0,8242,25,1582849440.0,1582850160.0,20200227 19:24,20200227 19:36,33,SHUTTLE PARK SOUTH
1,138393,125,0,40429,69,1582817400.0,1582819500.0,20200227 10:30,20200227 11:05,1,DOWNTOWN
2,138415,506,0,416,208,1582839060.0,1582844760.0,20200227 16:31,20200227 18:06,1,DOWNTOWN
3,138770,143,61,9535,30,1582810500.0,1582811340.0,20200227 08:35,20200227 08:49,14,MCCALLIE + HOUSTON
4,140947,118,1105,416,133,1582808580.0,1582812060.0,20200227 08:03,20200227 09:01,3,3 DOWNTOWN 
5,139751,124,98,72515,140,1582837440.0,1582841700.0,20200227 16:04,20200227 17:15,4,DOWNTOWN
6,139445,101,84,33372,40,1582842480.0,1582843680.0,20200227 17:28,20200227 17:48,28,DOWNTOWN
7,140020,139,209,12823,23,1582823700.0,1582824360.0,20200227 12:15,20200227 12:26,8,EASTDALE
8,139550,726,243,5020,18,1582816800.0,1582817340.0,20200227 10:20,20200227 10:29,34,SHUTTLE PARK NORTH
9,138358,125,45,31154,54,1582822860.0,1582824480.0,20200227 12:01,20200227 12:28,1,ALTON PARK
10,138831,143,60,9465,20,1582837980.0,1582838520.0,20200227 16:13,20200227 16:22,14,MCCALLIE + HOUSTON
11,140097,117,418,51642,78,1582797120.0,1582799460.0,20200227 04:52,20200227 05:31,PO,
12,138914,141,322,7025,12,1582809300.0,1582809660.0,20200227 08:15,20200227 08:21,14,MACLELLAN GYM UNIVERSITY CTR
13,140371,718,0,8224,29,1582807440.0,1582808280.0,20200227 07:44,20200227 07:58,33,SHUTTLE PARK SOUTH
14,139673,504,418,87822,148,1582834500.0,1582838940.0,20200227 15:15,20200227 16:29,PO,
15,140443,703,489,489,4,1582836060.0,1582836120.0,20200227 15:41,20200227 15:42,33,SHUTTLE PARK SOUTH
16,138388,752,0,40501,71,1582806540.0,1582808640.0,20200227 07:29,20200227 08:04,1,DOWNTOWN
17,140140,137,485,34804,57,1582837200.0,1582838880.0,20200227 16:00,20200227 16:28,9,DOWNTOWN
18,139671,501,55,26761,62,1582846080.0,1582847940.0,20200227 18:28,20200227 18:59,4,EASTGATE HAMILTON PL
19,140044,139,192,53133,64,1582829280.0,1582831200.0,20200227 13:48,20200227 14:20,8,GERMANTOWN + BRAINERD RD
20,138885,142,322,7263,13,1582809660.0,1582810020.0,20200227 08:21,20200227 08:27,14,MACLELLAN GYM UNIVERSITY CTR
21,138375,115,375,31146,52,1582844520.0,1582846020.0,20200227 18:02,20200227 18:27,1,ALTON PARK
22,138829,143,61,9539,32,1582835400.0,1582836360.0,20200227 15:30,20200227 15:46,14,MCCALLIE + HOUSTON
23,140225,718,697,8961,26,1582806660.0,1582807380.0,20200227 07:31,20200227 07:43,33,SHUTTLE PARK NORTH
24,139733,132,0,84506,176,1582842660.0,1582847940.0,20200227 17:31,20200227 18:59,4,DOWNTOWN
25,140279,703,255,8303,25,1582839420.0,1582840140.0,20200227 16:37,20200227 16:49,33,SHUTTLE PARK NORTH
26,139116,105,468,24731,38,1582834020.0,1582835100.0,20200227 15:07,20200227 15:25,15,DOWNTOWN 
27,139430,101,91,35404,64,1582840560.0,1582842420.0,20200227 16:56,20200227 17:27,28,CHATTANOOGA STATE
28,138902,143,317,6308,16,1582813920.0,1582814400.0,20200227 09:32,20200227 09:40,14,MACLELLAN GYM UNIVERSITY CTR
