entry_no,tatripid,vid,start_pdist,end_pdist,num_docs,start_timestamp,end_timestamp,start_tmstmp,end_tmstmp,route_id
0,140415,730,489,7833,29,1582739400.0,1582740240.0,20200226 12:50,20200226 13:04,33
1,138656,110,146,37629,68,1582735920.0,1582737960.0,20200226 11:52,20200226 12:26,10G
2,138562,137,70,26146,63,1582717920.0,1582719780.0,20200226 06:52,20200226 07:23,10A
3,139993,138,15051,416,62,1582734300.0,1582735560.0,20200226 11:25,20200226 11:46,7
4,138821,143,64,8852,30,1582739580.0,1582740420.0,20200226 12:53,20200226 13:07,14
5,140135,124,259,34748,60,1582716660.0,1582718400.0,20200226 06:31,20200226 07:00,9
6,140320,730,56,402,38,1582760160.0,1582761120.0,20200226 18:36,20200226 18:52,33
7,138800,142,59,9588,18,1582745100.0,1582745580.0,20200226 14:25,20200226 14:33,14
8,140390,730,3687,8126,25,1582734300.0,1582734780.0,20200226 11:25,20200226 11:33,33
9,138991,143,317,6756,14,1582764660.0,1582765020.0,20200226 19:51,20200226 19:57,14
10,139130,136,376,49564,68,1582745460.0,1582747500.0,20200226 14:31,20200226 15:05,16
11,139689,501,76,73551,120,1582750080.0,1582753620.0,20200226 15:48,20200226 16:47,4
12,139463,111,369,76803,69,1582719660.0,1582721760.0,20200226 07:21,20200226 07:56,3
13,139308,145,57,416,238,1582761840.0,1582769040.0,20200226 19:04,20200226 21:04,2
14,138796,142,0,9534,23,1582740540.0,1582741140.0,20200226 13:09,20200226 13:19,14
15,139166,139,0,52561,71,1582745100.0,1582747200.0,20200226 14:25,20200226 15:00,16
16,138641,131,283,41011,75,1582752360.0,1582754580.0,20200226 16:26,20200226 17:03,10G
17,138425,148,0,40299,71,1582776360.0,1582778460.0,20200226 23:06,20200226 23:41,1
18,138669,111,101,37587,72,1582740300.0,1582742460.0,20200226 13:05,20200226 13:41,10G
19,139134,503,784,49564,67,1582770480.0,1582772460.0,20200226 21:28,20200226 22:01,16
20,139141,119,1058,49564,58,1582741260.0,1582742940.0,20200226 13:21,20200226 13:49,16
21,139727,504,0,70999,134,1582754820.0,1582758840.0,20200226 17:07,20200226 18:14,4
22,139699,134,102,75120,128,1582726320.0,1582730160.0,20200226 09:12,20200226 10:16,4
23,138754,142,403,9534,20,1582721520.0,1582722060.0,20200226 07:52,20200226 08:01,14
24,138542,125,398,28798,42,1582723080.0,1582724340.0,20200226 08:18,20200226 08:39,10A
25,139319,150,467,13714,35,1582735740.0,1582736760.0,20200226 11:49,20200226 12:06,21
26,138750,130,1358,416,216,1582755420.0,1582761420.0,20200226 17:17,20200226 18:57,13
27,140131,117,485,34471,55,1582720980.0,1582722600.0,20200226 07:43,20200226 08:10,9
