entry_no,tatripid,vid,start_pdist,end_pdist,num_docs,start_timestamp,end_timestamp,start_tmstmp,end_tmstmp,route_id
0,139681,117,0,73489,108,1583974860.0,1583978100.0,20200311 21:01,20200311 21:55,4
1,138395,123,0,416,133,1583943540.0,1583946900.0,20200311 12:19,20200311 13:15,1
2,139441,140,443,35613,45,1583925660.0,1583926980.0,20200311 07:21,20200311 07:43,28
3,138359,137,42,30810,66,1583943360.0,1583945340.0,20200311 12:16,20200311 12:49,1
4,139158,148,87,52894,70,1583945460.0,1583947560.0,20200311 12:51,20200311 13:26,16
5,140500,718,412,8262,32,1583957760.0,1583958660.0,20200311 16:16,20200311 16:31,33
6,140269,726,204,8975,32,1583943480.0,1583944380.0,20200311 12:18,20200311 12:33,33
7,139352,145,346,9491,26,1583953620.0,1583954340.0,20200311 15:07,20200311 15:19,21
8,139673,506,418,87822,149,1583954100.0,1583958540.0,20200311 15:15,20200311 16:29,PO
9,139134,150,376,49449,71,1583976480.0,1583978580.0,20200311 21:28,20200311 22:03,16
10,,148,0,0,8060,1583913420.0,1583971140.0,20200311 03:57,20200311 19:59,U
11,139730,149,73,416,103,1583983500.0,1583988720.0,20200311 23:25,20200312 00:52,4
12,139750,144,0,91905,169,1583966040.0,1583971140.0,20200311 18:34,20200311 19:59,4
13,138389,143,0,40274,72,1583928540.0,1583930700.0,20200311 08:09,20200311 08:45,1
14,139689,112,54,73399,109,1583956260.0,1583959560.0,20200311 15:51,20200311 16:46,4
15,138523,148,453,29788,48,1583962560.0,1583964000.0,20200311 17:36,20200311 18:00,10A
16,140141,119,106,34057,55,1583964120.0,1583965740.0,20200311 18:02,20200311 18:29,9
17,139165,127,0,11465,145,1583944140.0,1583947980.0,20200311 12:29,20200311 13:33,16
18,139709,148,127,72496,115,1583926440.0,1583929920.0,20200311 07:34,20200311 08:32,4
19,139691,126,53,73585,115,1583945700.0,1583949180.0,20200311 12:55,20200311 13:53,4
20,138557,130,139,364,130,1583926980.0,1583930280.0,20200311 07:43,20200311 08:38,10A
