entry_no,tatripid,vid,start_pdist,end_pdist,num_docs,start_timestamp,end_timestamp,start_tmstmp,end_tmstmp,route_id
0,139576,726,122,4869,15,1583450820.0,1583451240.0,20200305 18:27,20200305 18:34,34
1,139534,726,0,5203,30,1583448600.0,1583449500.0,20200305 17:50,20200305 18:05,34
2,138654,501,1268,11465,142,1583470800.0,1583475120.0,20200306 00:00,20200306 01:12,10G
3,139691,503,55,73558,139,1583430120.0,1583434260.0,20200305 12:42,20200305 13:51,4
4,140327,730,95,8570,28,1583455020.0,1583455860.0,20200305 19:37,20200305 19:51,33
5,138915,141,108,6953,12,1583415360.0,1583415660.0,20200305 08:36,20200305 08:41,14
6,138373,130,375,31153,58,1583446200.0,1583447940.0,20200305 17:10,20200305 17:39,1
7,138635,145,376,40456,52,1583465640.0,1583467200.0,20200305 22:34,20200305 23:00,10G
8,140342,730,283,8536,58,1583462160.0,1583463120.0,20200305 21:36,20200305 21:52,33
9,139274,753,365,19988,25,1583423040.0,1583423760.0,20200305 10:44,20200305 10:56,2
10,140416,727,0,8219,24,1583432340.0,1583433000.0,20200305 13:19,20200305 13:30,33
11,138747,135,235,0,112,1583449380.0,1583452740.0,20200305 18:03,20200305 18:59,13
12,139292,148,432,15009,22,1583422080.0,1583422680.0,20200305 10:28,20200305 10:38,2
13,139308,150,64,416,203,1583453160.0,1583458680.0,20200305 19:06,20200305 20:38,2
14,139464,120,418,89848,101,1583407200.0,1583410200.0,20200305 06:20,20200305 07:10,PO
15,138345,111,139,31139,58,1583409540.0,1583411280.0,20200305 06:59,20200305 07:28,1
16,138894,142,123,6755,15,1583425740.0,1583426160.0,20200305 11:29,20200305 11:36,14
17,138419,145,0,40368,70,1583449080.0,1583451240.0,20200305 17:58,20200305 18:34,1
18,140316,727,226,8744,29,1583449680.0,1583450520.0,20200305 18:08,20200305 18:22,33
19,139554,726,192,0,37,1583425920.0,1583427000.0,20200305 11:32,20200305 11:50,34
20,138418,130,0,40260,75,1583448000.0,1583450220.0,20200305 17:40,20200305 18:17,1
21,139280,150,365,11621,19,1583452200.0,1583452740.0,20200305 18:50,20200305 18:59,2
22,138650,145,8335,37861,87,1583444580.0,1583447160.0,20200305 16:43,20200305 17:26,PO
23,139693,127,202,73585,106,1583461800.0,1583465040.0,20200305 21:30,20200305 22:24,4
24,139742,118,0,416,182,1583466900.0,1583471880.0,20200305 22:55,20200306 00:18,4
