entry_no,tatripid,vid,start_pdist,end_pdist,num_docs,start_timestamp,end_timestamp,start_tmstmp,end_tmstmp,route_id
0,138901,144,107,3396,31,1584623280.0,1584624120.0,20200319 09:08,20200319 09:22,14
1,139748,130,94,72760,157,1584640800.0,1584645480.0,20200319 14:00,20200319 15:18,4
2,138729,140,49,33003,53,1584648840.0,1584650400.0,20200319 16:14,20200319 16:40,13
3,138960,144,133,4100,20,1584646920.0,1584647520.0,20200319 15:42,20200319 15:52,14
4,139637,753,418,87822,125,1584618720.0,1584622440.0,20200319 07:52,20200319 08:54,PO
5,138808,142,4404,8919,15,1584651900.0,1584652320.0,20200319 17:05,20200319 17:12,14
6,138537,115,0,8335,119,1584658740.0,1584662340.0,20200319 18:59,20200319 19:59,10A
7,138634,148,1006,40567,47,1584664560.0,1584666000.0,20200319 20:36,20200319 21:00,10G
8,139305,501,0,15005,29,1584654960.0,1584655800.0,20200319 17:56,20200319 18:10,2
9,139163,504,87,11465,171,1584669540.0,1584674100.0,20200319 21:59,20200319 23:15,16
10,138843,143,4710,8874,15,1584640740.0,1584641160.0,20200319 13:59,20200319 14:06,14
11,138921,143,322,4100,23,1584628980.0,1584629580.0,20200319 10:43,20200319 10:53,14
12,139351,506,740,9716,23,1584642780.0,1584643440.0,20200319 14:33,20200319 14:44,21
13,139292,147,58,13612,20,1584628440.0,1584628980.0,20200319 10:34,20200319 10:43,2
14,139689,134,42,73585,121,1584647040.0,1584650640.0,20200319 15:44,20200319 16:44,4
15,139247,103,406,61429,79,1584634860.0,1584637200.0,20200319 12:21,20200319 13:00,19
16,139502,726,0,4966,14,1584619740.0,1584620100.0,20200319 08:09,20200319 08:15,34
17,139650,505,0,73585,102,1584617520.0,1584620640.0,20200319 07:32,20200319 08:24,4
18,138825,144,4631,9196,17,1584641580.0,1584642060.0,20200319 14:13,20200319 14:21,14
19,138663,118,145,37749,70,1584651900.0,1584653940.0,20200319 17:05,20200319 17:39,10G
20,138360,128,42,30371,62,1584635880.0,1584637680.0,20200319 12:38,20200319 13:08,1
21,139720,505,75,364,220,1584636300.0,1584642300.0,20200319 12:45,20200319 14:25,4
22,138978,143,115,4105,13,1584646140.0,1584646500.0,20200319 15:29,20200319 15:35,14
23,139740,505,84,72033,146,1584657900.0,1584662340.0,20200319 18:45,20200319 19:59,4
24,138746,140,44,34781,76,1584650400.0,1584652680.0,20200319 16:40,20200319 17:18,13
25,139723,118,0,72601,136,1584630960.0,1584635040.0,20200319 11:16,20200319 12:24,4
26,140498,727,70,8157,25,1584645240.0,1584645960.0,20200319 15:14,20200319 15:26,33
27,138353,130,0,30694,61,1584620220.0,1584622020.0,20200319 08:17,20200319 08:47,1
28,139755,134,108,69304,119,1584658800.0,1584662340.0,20200319 19:00,20200319 19:59,4
