,tatripid,vid,start_pdist,end_pdist,num_docs,start_timestamp,end_timestamp,start_tmstmp,end_tmstmp,route_id,destination
0,138519,111,418,46093,89,1584373200.0,1584375840.0,20200316 11:40,20200316 12:24,PO,
1,139994,753,42,390,110,1584375960.0,1584378660.0,20200316 12:26,20200316 13:11,7,CHATTANOOGA HOUSING AUTHORITY
2,138887,144,111,4105,28,1584363960.0,1584364800.0,20200316 09:06,20200316 09:20,14,MACLELLAN GYM UNIVERSITY CTR
3,138927,144,603,4105,10,1584378000.0,1584378240.0,20200316 13:00,20200316 13:04,14,MACLELLAN GYM UNIVERSITY CTR
4,138669,117,134,37774,74,1584378300.0,1584380460.0,20200316 13:05,20200316 13:41,10G,DOWNTOWN
5,139676,501,117,73494,109,1584403200.0,1584406440.0,20200316 20:00,20200316 20:54,4,EASTGATE HAMILTON PL
6,138941,144,219,3907,20,1584394320.0,1584394920.0,20200316 17:32,20200316 17:42,14,MACLELLAN GYM UNIVERSITY CTR
7,138860,143,4408,9540,17,1584401940.0,1584402420.0,20200316 19:39,20200316 19:47,14,MCCALLIE + HOUSTON
8,139749,504,0,416,270,1584390240.0,1584397800.0,20200316 16:24,20200316 18:30,4,DOWNTOWN
9,138357,117,42,30771,72,1584371760.0,1584373920.0,20200316 11:16,20200316 11:52,1,ALTON PARK
10,139269,150,0,19591,45,1584375900.0,1584377220.0,20200316 12:25,20200316 12:47,2,NORTH CHATTANOOGA
11,139168,138,60,11465,188,1584397500.0,1584403140.0,20200316 18:25,20200316 19:59,16,DOWNTOWN
12,140127,135,339,34480,54,1584352980.0,1584354600.0,20200316 06:03,20200316 06:30,9,DOWNTOWN
13,138783,143,3649,9003,10,1584361620.0,1584361920.0,20200316 08:27,20200316 08:32,14,MCCALLIE + HOUSTON
14,139688,120,375,73466,104,1584380580.0,1584383700.0,20200316 13:43,20200316 14:35,4,EASTGATE HAMILTON PL
15,140107,142,54,35814,75,1584367800.0,1584370020.0,20200316 10:10,20200316 10:47,9,EAST LAKE  
16,138664,111,105,11465,159,1584398400.0,1584403140.0,20200316 18:40,20200316 19:59,10G,DOWNTOWN
17,139728,132,47843,72763,54,1584403200.0,1584404820.0,20200316 20:00,20200316 20:27,4,DOWNTOWN
18,138410,127,0,40371,66,1584384420.0,1584386400.0,20200316 14:47,20200316 15:20,1,DOWNTOWN
19,138738,139,535,34781,58,1584362700.0,1584364440.0,20200316 08:45,20200316 09:14,13,DOWNTOWN
20,138558,132,398,416,114,1584363420.0,1584366600.0,20200316 08:57,20200316 09:50,10A,DOWNTOWN VIA DODSON AVE HEALTH CTR
21,138655,115,107,37764,68,1584354300.0,1584356280.0,20200316 06:25,20200316 06:58,10G,DOWNTOWN
22,138884,144,322,4105,26,1584360180.0,1584360960.0,20200316 08:03,20200316 08:16,14,MACLELLAN GYM UNIVERSITY CTR
23,139751,149,97,72802,146,1584388800.0,1584393180.0,20200316 16:00,20200316 17:13,4,DOWNTOWN
24,139280,503,566,19889,28,1584399000.0,1584399840.0,20200316 18:50,20200316 19:04,2,NORTH CHATTANOOGA
