,tatripid,vid,start_pdist,end_pdist,num_docs,start_timestamp,end_timestamp,start_tmstmp,end_tmstmp,route_id,destination
0,138948,144,219,2260,14,1585612380.0,1585612740.0,20200330 19:53,20200330 19:59,14,MACLELLAN GYM UNIVERSITY CTR
1,139692,145,42,32423,66,1585610760.0,1585612740.0,20200330 19:26,20200330 19:59,4,EASTGATE HAMILTON PL
2,138667,107,999,36477,66,1585572960.0,1585574940.0,20200330 08:56,20200330 09:29,10G,DOWNTOWN
3,140382,730,489,7560,26,1585572540.0,1585573260.0,20200330 08:49,20200330 09:01,33,SHUTTLE PARK SOUTH
4,138806,144,4858,9133,16,1585599960.0,1585600380.0,20200330 16:26,20200330 16:33,14,MCCALLIE + HOUSTON
5,139163,504,563,11465,146,1585619940.0,1585623720.0,20200330 21:59,20200330 23:02,16,DOWNTOWN
6,140021,138,195,12823,15,1585587600.0,1585588020.0,20200330 13:00,20200330 13:07,8,EASTDALE
7,140126,128,323,34824,58,1585560660.0,1585562400.0,20200330 05:31,20200330 06:00,9,DOWNTOWN
8,139282,117,365,19904,28,1585598220.0,1585599000.0,20200330 15:57,20200330 16:10,2,NORTH CHATTANOOGA
9,140037,138,432,53064,62,1585573620.0,1585575480.0,20200330 09:07,20200330 09:38,8,GERMANTOWN + BRAINERD RD
10,138526,503,376,29814,10,1585626060.0,1585627140.0,20200330 23:41,20200330 23:59,10A,AVONDALE
11,138985,142,219,4105,23,1585604760.0,1585605420.0,20200330 17:46,20200330 17:57,14,MACLELLAN GYM UNIVERSITY CTR
12,138346,117,42,30694,62,1585566900.0,1585568760.0,20200330 07:15,20200330 07:46,1,ALTON PARK
13,140269,703,272,8868,26,1585584960.0,1585585740.0,20200330 12:16,20200330 12:29,33,SHUTTLE PARK NORTH
14,138767,144,3433,9196,31,1585585200.0,1585586100.0,20200330 12:20,20200330 12:35,14,MCCALLIE + HOUSTON
15,139454,110,1519,33340,31,1585563840.0,1585564800.0,20200330 06:24,20200330 06:40,28,DOWNTOWN
16,138885,144,322,3989,15,1585570920.0,1585571340.0,20200330 08:22,20200330 08:29,14,MACLELLAN GYM UNIVERSITY CTR
17,140230,726,2048,8232,44,1585569360.0,1585570620.0,20200330 07:56,20200330 08:17,33,SHUTTLE PARK NORTH
18,138773,141,3598,9457,9,1585576020.0,1585576260.0,20200330 09:47,20200330 09:51,14,MCCALLIE + HOUSTON
19,139988,112,45,400,94,1585594200.0,1585596420.0,20200330 14:50,20200330 15:27,7,CHATTANOOGA HOUSING AUTHORITY
20,138902,141,219,3396,36,1585574940.0,1585576020.0,20200330 09:29,20200330 09:47,14,MACLELLAN GYM UNIVERSITY CTR
21,138953,142,219,4105,24,1585589220.0,1585589880.0,20200330 13:27,20200330 13:38,14,MACLELLAN GYM UNIVERSITY CTR
22,138668,101,373,86303,79,1585610400.0,1585612740.0,20200330 19:20,20200330 19:59,10G,DOWNTOWN VIA HWY 58 STUART
23,138645,120,111,37861,69,1585580400.0,1585582440.0,20200330 11:00,20200330 11:34,10G,DOWNTOWN
24,138358,117,42,30509,57,1585583880.0,1585585620.0,20200330 11:58,20200330 12:27,1,ALTON PARK
25,138914,142,107,4105,30,1585570260.0,1585571160.0,20200330 08:11,20200330 08:26,14,MACLELLAN GYM UNIVERSITY CTR
26,139450,107,3462,33340,48,1585588500.0,1585589880.0,20200330 13:15,20200330 13:38,28,DOWNTOWN
