,tatripid,vid,start_pdist,end_pdist,num_docs,start_timestamp,end_timestamp,start_tmstmp,end_tmstmp,route_id,destination
0,139718,150,0,72640,130,1585646700.0,1585650540.0,20200331 05:25,20200331 06:29,4,DOWNTOWN
1,139116,135,441,24731,51,1585681560.0,1585683000.0,20200331 15:06,20200331 15:30,15,DOWNTOWN 
2,140145,115,240,33963,59,1585683060.0,1585684800.0,20200331 15:31,20200331 16:00,9,DOWNTOWN
3,140278,703,56,8828,41,1585684920.0,1585686120.0,20200331 16:02,20200331 16:22,33,SHUTTLE PARK NORTH
4,138346,124,0,30694,63,1585653300.0,1585655160.0,20200331 07:15,20200331 07:46,1,ALTON PARK
5,140133,107,535,52715,86,1585660260.0,1585662840.0,20200331 09:11,20200331 09:54,9,DOWNTOWN
6,138553,149,1151,26368,56,1585702920.0,1585704540.0,20200331 21:02,20200331 21:29,10A,DOWNTOWN
7,139701,119,0,72802,119,1585653000.0,1585656540.0,20200331 07:10,20200331 08:09,4,DOWNTOWN
8,139118,135,95,24731,51,1585687560.0,1585689060.0,20200331 16:46,20200331 17:11,15,DOWNTOWN 
9,139465,140,36,77015,98,1585690200.0,1585693200.0,20200331 17:30,20200331 18:20,3,ENTERPRISE SOUTH
10,138954,143,603,3989,24,1585676340.0,1585677000.0,20200331 13:39,20200331 13:50,14,MACLELLAN GYM UNIVERSITY CTR
11,138928,144,219,3886,21,1585674780.0,1585675380.0,20200331 13:13,20200331 13:23,14,MACLELLAN GYM UNIVERSITY CTR
12,140479,729,123,8129,38,1585701360.0,1585702440.0,20200331 20:36,20200331 20:54,33,SHUTTLE PARK SOUTH
13,139446,110,1548,33319,53,1585686720.0,1585688280.0,20200331 16:32,20200331 16:58,28,DOWNTOWN
14,140152,148,535,34519,48,1585703040.0,1585704420.0,20200331 21:04,20200331 21:27,9,DOWNTOWN
15,138730,127,49,33106,73,1585689120.0,1585691340.0,20200331 17:12,20200331 17:49,13,ROSSVILLE
16,140048,139,432,53139,73,1585686360.0,1585688580.0,20200331 16:26,20200331 17:03,8,GERMANTOWN + BRAINERD RD
17,138652,503,111,37265,66,1585699200.0,1585701120.0,20200331 20:00,20200331 20:32,10G,DOWNTOWN
18,139444,140,158,34369,51,1585661220.0,1585662720.0,20200331 09:27,20200331 09:52,28,CHATTANOOGA STATE
19,139753,150,0,71967,118,1585680300.0,1585683840.0,20200331 14:45,20200331 15:44,4,DOWNTOWN
20,139717,115,64,79313,93,1585654260.0,1585657020.0,20200331 07:31,20200331 08:17,4,DOWNTOWN EXPRESS
21,139500,726,132,4938,12,1585654080.0,1585654380.0,20200331 07:28,20200331 07:33,34,TREMONT + FRAZIER
22,138830,143,3629,8646,11,1585684320.0,1585684680.0,20200331 15:52,20200331 15:58,14,MCCALLIE + HOUSTON
23,140244,718,603,8974,22,1585666920.0,1585667580.0,20200331 11:02,20200331 11:13,33,SHUTTLE PARK NORTH
24,138926,141,54,4100,29,1585671840.0,1585672680.0,20200331 12:24,20200331 12:38,14,MACLELLAN GYM UNIVERSITY CTR
25,138342,112,45,30767,66,1585648500.0,1585650480.0,20200331 05:55,20200331 06:28,1,ALTON PARK
26,138642,112,0,56958,94,1585687440.0,1585690260.0,20200331 16:44,20200331 17:31,PO,
27,140313,729,439,8969,31,1585689660.0,1585690560.0,20200331 17:21,20200331 17:36,33,SHUTTLE PARK NORTH
28,138808,144,3636,9279,16,1585688700.0,1585689180.0,20200331 17:05,20200331 17:13,14,MCCALLIE + HOUSTON
29,139681,504,42,73503,127,1585702500.0,1585706340.0,20200331 20:55,20200331 21:59,4,EASTGATE HAMILTON PL
30,138937,144,130,4105,21,1585685640.0,1585686240.0,20200331 16:14,20200331 16:24,14,MACLELLAN GYM UNIVERSITY CTR
31,140344,729,56,8974,27,1585705740.0,1585706520.0,20200331 21:49,20200331 22:02,33,SHUTTLE PARK NORTH
32,138390,127,0,40274,71,1585660080.0,1585662180.0,20200331 09:08,20200331 09:43,1,DOWNTOWN
33,139454,140,1843,33151,29,1585650480.0,1585651320.0,20200331 06:28,20200331 06:42,28,DOWNTOWN
34,139450,110,2789,33340,34,1585675380.0,1585676400.0,20200331 13:23,20200331 13:40,28,DOWNTOWN
35,138552,149,398,26136,53,1585695780.0,1585697340.0,20200331 19:03,20200331 19:29,10A,DOWNTOWN
36,139117,135,33,24731,51,1585684440.0,1585686000.0,20200331 15:54,20200331 16:20,15,DOWNTOWN 
37,140350,727,166,9052,29,1585709040.0,1585709940.0,20200331 22:44,20200331 22:59,33,SHUTTLE PARK NORTH
38,139693,145,1110,73585,109,1585704600.0,1585707840.0,20200331 21:30,20200331 22:24,4,EASTGATE HAMILTON PL
39,139646,150,0,73585,108,1585650600.0,1585653840.0,20200331 06:30,20200331 07:24,4,EASTGATE HAMILTON PL
40,138757,144,5578,9662,26,1585659480.0,1585660260.0,20200331 08:58,20200331 09:11,14,MCCALLIE + HOUSTON
41,139733,126,109,416,245,1585690200.0,1585697040.0,20200331 17:30,20200331 19:24,4,DOWNTOWN
42,138891,144,400,4100,25,1585664760.0,1585665540.0,20200331 10:26,20200331 10:39,14,MACLELLAN GYM UNIVERSITY CTR
43,138796,144,4872,9330,16,1585674300.0,1585674780.0,20200331 13:05,20200331 13:13,14,MCCALLIE + HOUSTON
44,139501,726,462,5099,27,1585655100.0,1585655880.0,20200331 07:45,20200331 07:58,34,TREMONT + FRAZIER
45,139436,110,458,34393,49,1585670340.0,1585671840.0,20200331 11:59,20200331 12:24,28,CHATTANOOGA STATE
