,tatripid,vid,start_pdist,end_pdist,num_docs,start_timestamp,end_timestamp,start_tmstmp,end_tmstmp,route_id,destination
0,140134,122,126,34560,52,1584021060.0,1584022620.0,20200312 09:51,20200312 10:17,9,DOWNTOWN
1,140142,505,814,33295,49,1584058200.0,1584059640.0,20200312 20:10,20200312 20:34,9,DOWNTOWN
2,140041,143,532,51300,50,1584028140.0,1584029640.0,20200312 11:49,20200312 12:14,8,GERMANTOWN + BRAINERD RD
3,139134,147,376,49544,60,1584062940.0,1584064740.0,20200312 21:29,20200312 21:59,16,NORTHGATE
4,138556,101,398,26201,51,1584048960.0,1584050460.0,20200312 17:36,20200312 18:01,10A,DOWNTOWN
5,139175,101,357,11465,141,1584028260.0,1584031860.0,20200312 11:51,20200312 12:51,16,DOWNTOWN
6,139665,149,46,73585,120,1584066300.0,1584069840.0,20200312 22:25,20200312 23:24,4,EASTGATE HAMILTON PL
7,139652,503,42,95727,110,1584007140.0,1584010500.0,20200312 05:59,20200312 06:55,4,EASTGATE HAMILTON PL VIA HEALTH CTR
8,140329,718,5183,8918,14,1584057600.0,1584057960.0,20200312 20:00,20200312 20:06,33,SHUTTLE PARK NORTH
9,138349,131,42,31155,65,1584016620.0,1584018600.0,20200312 08:37,20200312 09:10,1,ALTON PARK
10,139703,134,105,91918,210,1584015000.0,1584020700.0,20200312 08:10,20200312 09:45,4,DOWNTOWN
11,140463,730,220,7744,19,1584052020.0,1584052620.0,20200312 18:27,20200312 18:37,33,SHUTTLE PARK SOUTH
12,139658,117,42,73585,119,1584026340.0,1584029940.0,20200312 11:19,20200312 12:19,4,EASTGATE HAMILTON PL
13,139344,753,346,9772,30,1584023100.0,1584024000.0,20200312 10:25,20200312 10:40,21,DOWNTOWN
14,139149,118,376,49563,67,1584046680.0,1584048660.0,20200312 16:58,20200312 17:31,16,NORTHGATE
15,139731,132,75,72802,119,1584024900.0,1584028440.0,20200312 10:55,20200312 11:54,4,DOWNTOWN
16,139737,120,122,31891,51,1584056100.0,1584057540.0,20200312 19:35,20200312 19:59,4,DOWNTOWN
17,139692,503,28379,73519,57,1584057600.0,1584059280.0,20200312 20:00,20200312 20:28,4,EASTGATE HAMILTON PL
18,139748,124,99,72802,139,1584036120.0,1584040740.0,20200312 14:02,20200312 15:19,4,DOWNTOWN
19,139687,503,0,73560,124,1584047700.0,1584051480.0,20200312 17:15,20200312 18:18,4,EASTGATE HAMILTON PL
20,139324,752,370,13787,50,1584038520.0,1584040020.0,20200312 14:42,20200312 15:07,21,GOLDEN GATEWAY
21,138386,127,11690,40349,67,1584010440.0,1584012420.0,20200312 06:54,20200312 07:27,1,DOWNTOWN
22,139548,726,370,4565,8,1584020640.0,1584020880.0,20200312 09:44,20200312 09:48,34,SHUTTLE PARK NORTH
23,139753,128,0,72611,123,1584038760.0,1584042480.0,20200312 14:46,20200312 15:48,4,DOWNTOWN
24,139573,726,146,4736,12,1584047700.0,1584048060.0,20200312 17:15,20200312 17:21,34,SHUTTLE PARK NORTH
25,138740,142,535,34781,73,1584024420.0,1584026580.0,20200312 10:47,20200312 11:23,13,DOWNTOWN
26,139356,752,1160,9598,27,1584048420.0,1584049260.0,20200312 17:27,20200312 17:41,21,DOWNTOWN
27,138653,504,1051,37626,56,1584064800.0,1584066420.0,20200312 22:00,20200312 22:27,10G,DOWNTOWN
28,139694,503,418,47025,78,1584001500.0,1584003840.0,20200312 04:25,20200312 05:04,PO,
29,139646,504,54,73585,114,1584008820.0,1584012240.0,20200312 06:27,20200312 07:24,4,EASTGATE HAMILTON PL
30,140018,143,0,11795,19,1584024960.0,1584025500.0,20200312 10:56,20200312 11:05,8,EASTDALE
31,139501,726,0,4760,19,1584013500.0,1584014160.0,20200312 07:45,20200312 07:56,34,TREMONT + FRAZIER
32,139538,726,345,13941,35,1584010920.0,1584011940.0,20200312 07:02,20200312 07:19,34,TREMONT + FRAZIER
33,139431,103,341,35613,40,1584043740.0,1584044940.0,20200312 16:09,20200312 16:29,28,CHATTANOOGA STATE
34,139340,751,133,9618,25,1584013560.0,1584014280.0,20200312 07:46,20200312 07:58,21,DOWNTOWN
35,140354,730,439,8571,26,1584045060.0,1584045840.0,20200312 16:31,20200312 16:44,33,SHUTTLE PARK NORTH
36,138375,101,375,31145,64,1584050520.0,1584052380.0,20200312 18:02,20200312 18:33,1,ALTON PARK
37,140023,143,249,12823,27,1584036960.0,1584037740.0,20200312 14:16,20200312 14:29,8,EASTDALE
38,139729,149,72,72802,119,1584062700.0,1584066240.0,20200312 21:25,20200312 22:24,4,DOWNTOWN
39,138359,127,44,31119,67,1584029700.0,1584031680.0,20200312 12:15,20200312 12:48,1,ALTON PARK
40,139758,503,0,416,190,1584066420.0,1584071580.0,20200312 22:27,20200312 23:53,4,DOWNTOWN
41,139507,726,1494,5020,20,1584020040.0,1584020580.0,20200312 09:34,20200312 09:43,34,TREMONT + FRAZIER
42,138629,128,0,57045,103,1584030000.0,1584033060.0,20200312 12:20,20200312 13:11,PO,
43,139322,753,721,13707,44,1584034380.0,1584035640.0,20200312 13:33,20200312 13:54,21,GOLDEN GATEWAY
44,140024,143,0,12578,30,1584039300.0,1584040200.0,20200312 14:55,20200312 15:10,8,EASTDALE
45,138365,127,42,31152,58,1584037140.0,1584038880.0,20200312 14:19,20200312 14:48,1,ALTON PARK
46,140333,718,439,8994,29,1584058920.0,1584059700.0,20200312 20:22,20200312 20:35,33,SHUTTLE PARK NORTH
47,139140,118,65588,65588,1,1584026340.0,1584026340.0,20200312 11:19,20200312 11:19,16,NORTHGATE
48,140028,143,0,12458,24,1584048900.0,1584049620.0,20200312 17:35,20200312 17:47,8,EASTDALE
49,140035,143,205,52992,65,1584013620.0,1584015540.0,20200312 07:47,20200312 08:19,8,GERMANTOWN + BRAINERD RD
50,138545,135,348,28831,46,1584026100.0,1584027480.0,20200312 11:15,20200312 11:38,10A,DOWNTOWN VIA DODSON AVE HEALTH CTR
51,139432,103,341,35613,37,1584040860.0,1584041940.0,20200312 15:21,20200312 15:39,28,CHATTANOOGA STATE
52,139575,726,39,4565,13,1584049560.0,1584050100.0,20200312 17:46,20200312 17:55,34,SHUTTLE PARK NORTH
53,139304,126,432,15053,22,1584048600.0,1584049200.0,20200312 17:30,20200312 17:40,2,DOWNTOWN
54,139257,122,102133,416,101,1584057600.0,1584060000.0,20200312 20:00,20200312 20:40,19,DOWNTOWN
55,139128,122,102,49384,65,1584022680.0,1584024600.0,20200312 10:18,20200312 10:50,16,NORTHGATE
56,139705,117,0,72784,120,1584022740.0,1584026340.0,20200312 10:19,20200312 11:19,4,DOWNTOWN
57,139648,124,418,87822,125,1584009420.0,1584013140.0,20200312 06:37,20200312 07:39,PO,
58,139164,147,357,52973,52,1584057780.0,1584059340.0,20200312 20:03,20200312 20:29,16,DOWNTOWN
59,140335,727,435,8975,31,1584059820.0,1584060720.0,20200312 20:37,20200312 20:52,33,SHUTTLE PARK NORTH
60,140243,730,99,9014,24,1584023340.0,1584024060.0,20200312 10:29,20200312 10:41,33,SHUTTLE PARK NORTH
61,139668,123,418,87768,150,1584044340.0,1584048840.0,20200312 16:19,20200312 17:34,PO,
62,140003,136,0,15986,192,1584013380.0,1584018060.0,20200312 07:43,20200312 09:01,7,DOWNTOWN
63,140947,112,11,416,138,1584014460.0,1584018000.0,20200312 08:01,20200312 09:00,3,3 DOWNTOWN 
64,140501,730,0,8120,32,1584045840.0,1584046800.0,20200312 16:44,20200312 17:00,33,SHUTTLE PARK SOUTH
65,138616,110,82,87653,100,1584008400.0,1584011400.0,20200312 06:20,20200312 07:10,10C,CAMPBELL
66,139637,132,418,87822,124,1584013920.0,1584017640.0,20200312 07:52,20200312 08:54,PO,
67,139275,753,365,19893,38,1584032400.0,1584033540.0,20200312 13:00,20200312 13:19,2,NORTH CHATTANOOGA
68,138651,504,0,37861,75,1584049800.0,1584052020.0,20200312 17:50,20200312 18:27,10G,DOWNTOWN
69,139361,126,145,416,156,1584064500.0,1584069180.0,20200312 21:55,20200312 23:13,21,DOWNTOWN
70,139454,138,0,32697,37,1584008520.0,1584009540.0,20200312 06:22,20200312 06:39,28,DOWNTOWN
71,138626,131,376,41064,54,1584020700.0,1584022260.0,20200312 09:45,20200312 10:11,10G,GLENWOOD
72,138389,144,0,40570,73,1584015120.0,1584017340.0,20200312 08:12,20200312 08:49,1,DOWNTOWN
73,139527,726,691,5037,17,1584041640.0,1584042120.0,20200312 15:34,20200312 15:42,34,TREMONT + FRAZIER
74,139750,127,0,91970,176,1584052200.0,1584057540.0,20200312 18:30,20200312 19:59,4,DOWNTOWN
75,138421,504,11785,40550,48,1584054300.0,1584055740.0,20200312 19:05,20200312 19:29,1,DOWNTOWN
76,139541,726,947,5020,26,1584012780.0,1584013680.0,20200312 07:33,20200312 07:48,34,SHUTTLE PARK NORTH
77,140472,730,489,7548,24,1584056820.0,1584057540.0,20200312 19:47,20200312 19:59,33,SHUTTLE PARK SOUTH
