entry_no,tatripid,vid,start_pdist,end_pdist,num_docs,start_timestamp,end_timestamp,start_tmstmp,end_tmstmp,route_id
0,140100,138,0,36167,49,1585140000.0,1585141500.0,20200325 08:40,20200325 09:05,9
1,139553,726,435,4974,19,1585149180.0,1585149720.0,20200325 11:13,20200325 11:22,34
2,139738,139,108,0,212,1585160400.0,1585166820.0,20200325 14:20,20200325 16:07,4
3,140452,729,66,8262,34,1585161120.0,1585162080.0,20200325 14:32,20200325 14:48,33
4,139144,147,324,49352,58,1585179000.0,1585180740.0,20200325 19:30,20200325 19:59,16
5,138861,143,4709,9540,13,1585180920.0,1585181280.0,20200325 20:02,20200325 20:08,14
6,139671,134,42,73585,138,1585175100.0,1585179240.0,20200325 18:25,20200325 19:34,4
7,138550,136,1009,36030,79,1585166100.0,1585168440.0,20200325 15:55,20200325 16:34,PO
8,139508,726,0,5203,32,1585144080.0,1585145040.0,20200325 09:48,20200325 10:04,34
9,139646,145,495,73585,109,1585132200.0,1585135440.0,20200325 06:30,20200325 07:24,4
10,138553,148,70,26365,62,1585184400.0,1585186260.0,20200325 21:00,20200325 21:31,10A
11,139339,504,161,9653,30,1585132860.0,1585133880.0,20200325 06:41,20200325 06:58,21
12,139317,504,654,13787,39,1585147320.0,1585148520.0,20200325 10:42,20200325 11:02,21
13,138353,123,42,30694,57,1585138680.0,1585140360.0,20200325 08:18,20200325 08:46,1
14,140124,140,0,36181,71,1585158300.0,1585160400.0,20200325 13:45,20200325 14:20,9
15,139702,122,109,381,227,1585143600.0,1585149840.0,20200325 09:40,20200325 11:24,4
16,138902,142,107,3094,31,1585142940.0,1585143840.0,20200325 09:29,20200325 09:44,14
17,138765,144,5414,8485,8,1585151220.0,1585151460.0,20200325 11:47,20200325 11:51,14
18,138986,143,322,4100,22,1585174080.0,1585174740.0,20200325 18:08,20200325 18:19,14
19,138903,142,322,4105,21,1585144440.0,1585145100.0,20200325 09:54,20200325 10:05,14
20,138544,112,70,28892,51,1585145460.0,1585146960.0,20200325 10:11,20200325 10:36,10A
21,138649,138,130,37861,69,1585168200.0,1585170240.0,20200325 16:30,20200325 17:04,10G
22,139125,138,376,49312,44,1585136520.0,1585137840.0,20200325 07:42,20200325 08:04,16
23,138926,143,219,4100,23,1585153440.0,1585154100.0,20200325 12:24,20200325 12:35,14
24,140470,726,385,7852,31,1585179000.0,1585179900.0,20200325 19:30,20200325 19:45,33
25,140003,119,131,15986,186,1585136520.0,1585141080.0,20200325 07:42,20200325 08:58,7
26,138350,125,375,30694,56,1585142400.0,1585144080.0,20200325 09:20,20200325 09:48,1
27,138895,144,54,3989,26,1585151460.0,1585152240.0,20200325 11:51,20200325 12:04,14
28,139640,145,128,73585,106,1585139460.0,1585142640.0,20200325 08:31,20200325 09:24,4
29,140111,124,377,36318,66,1585171740.0,1585173660.0,20200325 17:29,20200325 18:01,9
30,139137,115,74,49150,86,1585166100.0,1585168680.0,20200325 15:55,20200325 16:38,16
31,138941,144,129,4105,19,1585172100.0,1585172700.0,20200325 17:35,20200325 17:45,14
32,138788,143,4755,9662,25,1585145340.0,1585146060.0,20200325 10:09,20200325 10:21,14
33,140097,128,418,51843,84,1585126200.0,1585128720.0,20200325 04:50,20200325 05:32,PO
34,139113,101,441,24731,50,1585139100.0,1585140540.0,20200325 08:25,20200325 08:49,15
35,140307,729,293,8974,28,1585160280.0,1585161060.0,20200325 14:18,20200325 14:31,33
36,138562,140,70,26368,50,1585133460.0,1585134960.0,20200325 06:51,20200325 07:16,10A
37,138352,130,418,44931,77,1585144080.0,1585146360.0,20200325 09:48,20200325 10:26,PO
38,138759,144,4379,9045,10,1585143600.0,1585143840.0,20200325 09:40,20200325 09:44,14
39,138636,134,0,56477,102,1585154460.0,1585157520.0,20200325 12:41,20200325 13:32,PO
40,138798,144,4614,9662,21,1585158300.0,1585158900.0,20200325 13:45,20200325 13:55,14
41,139661,751,0,73270,126,1585169760.0,1585173540.0,20200325 16:56,20200325 17:59,4
42,138884,144,54,4100,30,1585137600.0,1585138440.0,20200325 08:00,20200325 08:14,14
43,140283,703,107,9053,28,1585156380.0,1585157220.0,20200325 13:13,20200325 13:27,33
44,139145,505,418,65588,102,1585140300.0,1585143360.0,20200325 08:45,20200325 09:36,PO
45,139245,139,1455,61477,102,1585130280.0,1585133400.0,20200325 05:58,20200325 06:50,19
46,139430,103,736,34392,49,1585170000.0,1585171440.0,20200325 17:00,20200325 17:24,28
47,139272,147,365,19905,27,1585139400.0,1585140180.0,20200325 08:30,20200325 08:43,2
48,139281,504,4,19783,41,1585157520.0,1585158780.0,20200325 13:32,20200325 13:53,2
49,139740,145,102,72437,147,1585176300.0,1585180740.0,20200325 18:45,20200325 19:59,4
50,139163,147,161,11465,159,1585187880.0,1585192080.0,20200325 21:58,20200325 23:08,16
51,140322,729,97,9052,29,1585176420.0,1585177260.0,20200325 18:47,20200325 19:01,33
52,139541,726,435,5020,11,1585136460.0,1585136760.0,20200325 07:41,20200325 07:46,34
