entry_no,tatripid,vid,start_pdist,end_pdist,num_docs,start_timestamp,end_timestamp,start_tmstmp,end_tmstmp,route_id
0,139309,753,418,28761,50,1585302540.0,1585303980.0,20200327 05:49,20200327 06:13,PO
1,139143,150,376,49564,62,1585343940.0,1585345740.0,20200327 17:19,20200327 17:49,16
2,138643,128,8335,37599,84,1585299780.0,1585302300.0,20200327 05:03,20200327 05:45,PO
3,139302,504,57,15065,42,1585339800.0,1585341000.0,20200327 16:10,20200327 16:30,2
4,138840,144,4477,9273,19,1585350720.0,1585351260.0,20200327 19:12,20200327 19:21,14
5,139114,138,33,24731,57,1585314600.0,1585316280.0,20200327 09:10,20200327 09:38,15
6,139638,505,46,73585,119,1585311000.0,1585314540.0,20200327 08:10,20200327 09:09,4
7,139327,504,654,13787,40,1585341060.0,1585342260.0,20200327 16:31,20200327 16:51,21
8,138532,131,376,30069,44,1585329720.0,1585331040.0,20200327 13:22,20200327 13:44,10A
9,138407,130,0,40269,64,1585331220.0,1585333140.0,20200327 13:47,20200327 14:19,1
10,139137,101,1006,49164,56,1585339680.0,1585341300.0,20200327 16:08,20200327 16:35,16
11,139115,138,33,11465,94,1585317600.0,1585320420.0,20200327 10:00,20200327 10:47,15
12,138345,134,42,30694,62,1585306620.0,1585308480.0,20200327 06:57,20200327 07:28,1
13,139991,139,0,416,98,1585316700.0,1585319040.0,20200327 09:45,20200327 10:24,7
14,140386,726,568,8262,21,1585315680.0,1585316280.0,20200327 09:28,20200327 09:38,33
15,138968,144,125,4100,27,1585347660.0,1585348440.0,20200327 18:21,20200327 18:34,14
16,138617,106,418,104119,150,1585329000.0,1585333500.0,20200327 13:10,20200327 14:25,PO
17,139351,504,548,9600,29,1585333800.0,1585334700.0,20200327 14:30,20200327 14:45,21
18,139656,149,0,87822,138,1585323000.0,1585327140.0,20200327 11:30,20200327 12:39,4
19,140287,726,56,8894,35,1585336140.0,1585337160.0,20200327 15:09,20200327 15:26,33
20,140102,131,49,36191,50,1585316700.0,1585318200.0,20200327 09:45,20200327 10:10,9
21,138619,140,418,102777,130,1585307400.0,1585311360.0,20200327 07:10,20200327 08:16,PO
22,139716,751,0,79245,79,1585307100.0,1585309440.0,20200327 07:05,20200327 07:44,4
23,139560,727,106,5020,10,1585329660.0,1585329960.0,20200327 13:21,20200327 13:26,34
24,139257,135,254,102143,156,1585348860.0,1585353540.0,20200327 18:41,20200327 19:59,19
25,139666,115,42,73585,118,1585317300.0,1585320840.0,20200327 09:55,20200327 10:54,4
26,139265,501,365,19905,30,1585310400.0,1585311300.0,20200327 08:00,20200327 08:15,2
27,138549,130,398,416,87,1585335180.0,1585337760.0,20200327 14:53,20200327 15:36,10A
28,138836,144,4719,9540,11,1585346160.0,1585346460.0,20200327 17:56,20200327 18:01,14
29,138657,128,112,37821,80,1585307400.0,1585309800.0,20200327 07:10,20200327 07:50,10G
30,139335,504,62,13730,38,1585356660.0,1585357800.0,20200327 20:51,20200327 21:10,21
31,139450,103,2237,33380,32,1585329780.0,1585330740.0,20200327 13:23,20200327 13:39,28
32,140489,726,123,8164,26,1585360860.0,1585361580.0,20200327 22:01,20200327 22:13,33
33,139135,117,376,49564,58,1585324560.0,1585326300.0,20200327 11:56,20200327 12:25,16
34,138829,144,5106,9540,17,1585337580.0,1585338060.0,20200327 15:33,20200327 15:41,14
35,138784,143,4755,9662,7,1585313880.0,1585314060.0,20200327 08:58,20200327 09:01,14
36,138403,124,342,412,151,1585326720.0,1585330680.0,20200327 12:32,20200327 13:38,1
37,140248,718,409,9053,34,1585328520.0,1585329480.0,20200327 13:02,20200327 13:18,33
38,139108,110,64,25409,45,1585343760.0,1585345080.0,20200327 17:16,20200327 17:38,15
39,139120,110,11465,11465,24,1585353600.0,1585353720.0,20200327 20:00,20200327 20:02,PI
40,139526,727,0,5037,25,1585336560.0,1585337280.0,20200327 15:16,20200327 15:28,34
41,139517,727,0,5197,19,1585326960.0,1585327500.0,20200327 12:36,20200327 12:45,34
42,138383,142,0,40331,76,1585302060.0,1585304340.0,20200327 05:41,20200327 06:19,1
