entry_no,tatripid,vid,start_pdist,end_pdist,num_docs,start_timestamp,end_timestamp,start_tmstmp,end_tmstmp,route_id
0,139323,147,418,28786,56,1585245840.0,1585247520.0,20200326 14:04,20200326 14:32,PO
1,138781,144,3674,9130,10,1585232880.0,1585233120.0,20200326 10:28,20200326 10:32,14
2,140225,729,107,7972,30,1585222320.0,1585223160.0,20200326 07:32,20200326 07:46,33
3,138767,141,5054,8467,18,1585239900.0,1585240440.0,20200326 12:25,20200326 12:34,14
4,140021,136,249,12823,16,1585241820.0,1585242300.0,20200326 12:57,20200326 13:05,8
5,139638,150,183,73585,108,1585224900.0,1585228140.0,20200326 08:15,20200326 09:09,4
6,140398,729,0,8076,24,1585234200.0,1585234860.0,20200326 10:50,20200326 11:01,33
7,138562,133,1151,26224,60,1585219860.0,1585221660.0,20200326 06:51,20200326 07:21,10A
8,138851,143,3605,9196,24,1585255080.0,1585255800.0,20200326 16:38,20200326 16:50,14
9,140011,136,357,11867,23,1585217760.0,1585218540.0,20200326 06:16,20200326 06:29,8
10,139168,135,0,11465,188,1585261500.0,1585267140.0,20200326 18:25,20200326 19:59,16
11,139169,125,375,52879,72,1585232100.0,1585234260.0,20200326 10:15,20200326 10:51,16
12,140464,718,81,7909,20,1585262220.0,1585262820.0,20200326 18:37,20200326 18:47,33
13,138398,120,0,40334,76,1585226880.0,1585229160.0,20200326 08:48,20200326 09:26,1
14,138816,141,4374,9045,11,1585266420.0,1585266720.0,20200326 19:47,20200326 19:52,14
15,138861,143,4399,4708,3,1585267080.0,1585267140.0,20200326 19:58,20200326 19:59,14
16,138962,144,120,3907,14,1585254120.0,1585254540.0,20200326 16:22,20200326 16:29,14
17,140146,135,80,33641,60,1585257900.0,1585259640.0,20200326 17:25,20200326 17:54,9
18,139175,139,0,11465,154,1585237500.0,1585241520.0,20200326 11:45,20200326 12:52,16
19,138751,141,418,16539,57,1585221300.0,1585223040.0,20200326 07:15,20200326 07:44,PO
20,139442,112,470,34392,40,1585224180.0,1585225320.0,20200326 08:03,20200326 08:22,28
21,139701,150,0,72800,129,1585221000.0,1585224840.0,20200326 07:10,20200326 08:14,4
22,139665,150,0,73585,104,1585276320.0,1585279440.0,20200326 22:32,20200326 23:24,4
23,139993,134,42,381,99,1585235100.0,1585237500.0,20200326 11:05,20200326 11:45,7
24,138915,143,317,4105,17,1585226280.0,1585226760.0,20200326 08:38,20200326 08:46,14
25,139659,146,496,73440,126,1585239720.0,1585243500.0,20200326 12:22,20200326 13:25,4
26,139538,726,1640,13759,39,1585220460.0,1585221600.0,20200326 07:01,20200326 07:20,34
27,139285,753,432,15261,18,1585217760.0,1585218240.0,20200326 06:16,20200326 06:24,2
28,138916,143,126,4100,21,1585227480.0,1585228080.0,20200326 08:58,20200326 09:08,14
29,138555,142,227,26201,59,1585246200.0,1585247940.0,20200326 14:10,20200326 14:39,10A
30,138800,141,4715,8806,12,1585247100.0,1585247460.0,20200326 14:25,20200326 14:31,14
31,139102,101,64,25300,51,1585223940.0,1585225500.0,20200326 07:59,20200326 08:25,15
32,138558,133,398,48623,282,1585227360.0,1585233300.0,20200326 08:56,20200326 10:35,10A
33,138771,144,3684,8727,10,1585227900.0,1585228200.0,20200326 09:05,20200326 09:10,14
34,138799,141,4717,9041,23,1585245900.0,1585246560.0,20200326 14:05,20200326 14:16,14
35,140482,703,121,8166,25,1585270740.0,1585271460.0,20200326 20:59,20200326 21:11,33
36,139644,501,418,87573,130,1585214400.0,1585218300.0,20200326 05:20,20200326 06:25,PO
37,139691,150,0,73585,118,1585240800.0,1585244340.0,20200326 12:40,20200326 13:39,4
38,138661,120,134,37861,70,1585250400.0,1585252500.0,20200326 15:20,20200326 15:55,10G
39,140125,128,182,51876,89,1585251660.0,1585254360.0,20200326 15:41,20200326 16:26,9
40,138635,505,1006,40903,49,1585276560.0,1585278000.0,20200326 22:36,20200326 23:00,10G
41,138898,144,130,3989,19,1585223100.0,1585223700.0,20200326 07:45,20200326 07:55,14
42,138378,148,375,30183,59,1585269240.0,1585270980.0,20200326 20:34,20200326 21:03,1
43,139177,135,357,53121,57,1585253760.0,1585255440.0,20200326 16:16,20200326 16:44,16
44,138353,120,0,30694,66,1585224900.0,1585226820.0,20200326 08:15,20200326 08:47,1
45,139363,147,346,14719,37,1585271520.0,1585272600.0,20200326 21:12,20200326 21:30,21
46,139308,504,57,416,109,1585263900.0,1585267140.0,20200326 19:05,20200326 19:59,2
47,139130,106,621,49564,58,1585247400.0,1585249200.0,20200326 14:30,20200326 15:00,16
48,139359,147,0,14751,47,1585264140.0,1585265520.0,20200326 19:09,20200326 19:32,21
49,139346,751,0,8612,37,1585236900.0,1585237980.0,20200326 11:35,20200326 11:53,21
50,140952,124,416,416,37,1585267200.0,1585267620.0,20200326 20:00,20200326 20:07,PI
51,138882,143,219,416,210,1585267500.0,1585273560.0,20200326 20:05,20200326 21:46,14
52,138425,148,342,39610,83,1585278300.0,1585280820.0,20200326 23:05,20200326 23:47,1
53,138530,111,321,30069,49,1585221900.0,1585223340.0,20200326 07:25,20200326 07:49,10A
54,138719,124,418,48711,89,1585212300.0,1585215000.0,20200326 04:45,20200326 05:30,PO
55,138738,126,193,34781,76,1585226460.0,1585228740.0,20200326 08:41,20200326 09:19,13
56,140462,729,0,8236,29,1585261200.0,1585262040.0,20200326 18:20,20200326 18:34,33
57,140101,124,49,36318,76,1585228320.0,1585230660.0,20200326 09:12,20200326 09:51,9
58,140468,718,0,8262,24,1585263840.0,1585264560.0,20200326 19:04,20200326 19:16,33
59,139745,126,127,72551,118,1585267200.0,1585270740.0,20200326 20:00,20200326 20:59,4
60,140394,729,0,8039,29,1585243020.0,1585243860.0,20200326 13:17,20200326 13:31,33
61,140360,727,0,8921,29,1585276140.0,1585277040.0,20200326 22:29,20200326 22:44,33
62,139513,726,1317,4555,19,1585236120.0,1585236660.0,20200326 11:22,20200326 11:31,34
63,139176,128,553,53075,62,1585242900.0,1585244760.0,20200326 13:15,20200326 13:46,16
64,139996,110,15703,21351,88,1585251960.0,1585254600.0,20200326 15:46,20200326 16:30,7
65,139682,133,0,418,220,1585232820.0,1585239840.0,20200326 10:27,20200326 12:24,4
66,139650,501,43,73585,111,1585222080.0,1585225440.0,20200326 07:28,20200326 08:24,4
67,138933,141,54,4100,26,1585248780.0,1585249500.0,20200326 14:53,20200326 15:05,14
68,140474,703,3687,8262,19,1585267200.0,1585267740.0,20200326 20:00,20200326 20:09,33
69,138537,101,8335,8335,70,1585267200.0,1585268700.0,20200326 20:00,20200326 20:25,PI
70,140128,128,115,400,109,1585232100.0,1585234800.0,20200326 10:15,20200326 11:00,9
71,139739,146,99,72679,144,1585254840.0,1585259160.0,20200326 16:34,20200326 17:46,4
72,138840,144,3433,9125,24,1585264140.0,1585264860.0,20200326 19:09,20200326 19:21,14
73,140495,703,209,8262,104,1585277880.0,1585280400.0,20200326 22:58,20200326 23:40,33
74,140329,718,97,5346,17,1585266660.0,1585267140.0,20200326 19:51,20200326 19:59,33
75,138386,111,0,39526,69,1585219800.0,1585221840.0,20200326 06:50,20200326 07:24,1
76,138394,117,0,40517,86,1585235280.0,1585237860.0,20200326 11:08,20200326 11:51,1
77,139547,726,146,4712,19,1585228800.0,1585229340.0,20200326 09:20,20200326 09:29,34
78,139099,101,0,41178,80,1585214100.0,1585216440.0,20200326 05:15,20200326 05:54,PO
79,138357,120,0,30759,104,1585235880.0,1585239000.0,20200326 11:18,20200326 12:10,1
80,140099,128,377,36194,64,1585222740.0,1585224660.0,20200326 07:39,20200326 08:11,9
81,139264,751,351,20078,26,1585218660.0,1585219440.0,20200326 06:31,20200326 06:44,2
82,138742,126,1358,405,111,1585241340.0,1585244040.0,20200326 12:49,20200326 13:34,13
83,138724,126,49,33099,59,1585232280.0,1585234020.0,20200326 10:18,20200326 10:47,13
84,138887,141,54,4100,32,1585227780.0,1585228740.0,20200326 09:03,20200326 09:19,14
85,138728,139,49,33006,54,1585249920.0,1585251540.0,20200326 15:12,20200326 15:39,13
86,139657,147,0,73585,116,1585234560.0,1585238040.0,20200326 10:56,20200326 11:54,4
87,138567,503,86,26368,77,1585258860.0,1585261140.0,20200326 17:41,20200326 18:19,10A
88,139708,125,381,364,182,1585219500.0,1585224360.0,20200326 06:45,20200326 08:06,4
89,138747,139,44,416,266,1585258800.0,1585266840.0,20200326 17:40,20200326 19:54,13
90,139640,149,375,73585,98,1585226100.0,1585229040.0,20200326 08:35,20200326 09:24,4
91,139147,128,418,65512,95,1585240020.0,1585242840.0,20200326 12:27,20200326 13:14,PO
92,138752,144,418,16494,39,1585221960.0,1585223100.0,20200326 07:26,20200326 07:45,PO
93,140254,729,162,9053,33,1585236780.0,1585237740.0,20200326 11:33,20200326 11:49,33
94,139131,115,919,49564,57,1585254060.0,1585255740.0,20200326 16:21,20200326 16:49,16
95,138958,144,54,4100,29,1585249080.0,1585249920.0,20200326 14:58,20200326 15:12,14
96,138812,141,3433,9009,24,1585261260.0,1585261920.0,20200326 18:21,20200326 18:32,14
97,138421,148,0,40328,55,1585263840.0,1585265460.0,20200326 19:04,20200326 19:31,1
98,140008,101,195,15986,17,1585238760.0,1585239240.0,20200326 12:06,20200326 12:14,7
99,138639,133,1006,40460,113,1585225560.0,1585229460.0,20200326 08:26,20200326 09:31,10G
100,139705,119,5444,71988,118,1585232460.0,1585236060.0,20200326 10:21,20200326 11:21,4
101,139313,751,703,13740,27,1585224120.0,1585224900.0,20200326 08:02,20200326 08:15,21
102,140039,136,432,53218,56,1585232760.0,1585234440.0,20200326 10:26,20200326 10:54,8
103,138755,141,4824,8955,9,1585224960.0,1585225200.0,20200326 08:16,20200326 08:20,14
104,139563,726,105,947,7,1585246500.0,1585246680.0,20200326 14:15,20200326 14:18,34
105,139433,103,750,34335,49,1585247400.0,1585248840.0,20200326 14:30,20200326 14:54,28
106,138798,141,5783,8934,19,1585244400.0,1585244880.0,20200326 13:40,20200326 13:48,14
107,140434,703,70,8211,33,1585254480.0,1585255500.0,20200326 16:28,20200326 16:45,33
108,140097,124,418,51956,80,1585212660.0,1585215060.0,20200326 04:51,20200326 05:31,PO
109,139144,501,45838,49552,5,1585267200.0,1585267320.0,20200326 20:00,20200326 20:02,16
110,139446,103,1591,33340,41,1585255200.0,1585256400.0,20200326 16:40,20200326 17:00,28
111,139524,726,0,5037,22,1585247700.0,1585248360.0,20200326 14:35,20200326 14:46,34
112,140118,135,3369,36054,81,1585239000.0,1585241460.0,20200326 12:10,20200326 12:51,9
113,139103,101,350,25409,49,1585227000.0,1585228440.0,20200326 08:50,20200326 09:14,15
114,139759,129,375,83562,102,1585259880.0,1585262340.0,20200326 17:58,20200326 18:39,4
115,139677,146,42,73585,104,1585274520.0,1585277640.0,20200326 22:02,20200326 22:54,4
116,138784,143,3505,9196,23,1585226760.0,1585227480.0,20200326 08:46,20200326 08:58,14
117,138935,141,54,3977,29,1585251000.0,1585251840.0,20200326 15:30,20200326 15:44,14
118,138403,127,0,416,150,1585240020.0,1585243920.0,20200326 12:27,20200326 13:32,1
119,139655,506,375,73585,100,1585230240.0,1585233240.0,20200326 09:44,20200326 10:34,4
120,140395,729,489,8148,43,1585244820.0,1585246080.0,20200326 13:47,20200326 14:08,33
121,138951,143,322,3907,8,1585241340.0,1585241520.0,20200326 12:49,20200326 12:52,14
122,140029,136,195,12390,15,1585261140.0,1585261560.0,20200326 18:19,20200326 18:26,8
123,138811,141,3636,8751,10,1585260300.0,1585260600.0,20200326 18:05,20200326 18:10,14
124,138630,142,919,40698,55,1585244520.0,1585246140.0,20200326 13:42,20200326 14:09,10G
125,138943,141,54,3907,21,1585260600.0,1585261200.0,20200326 18:10,20200326 18:20,14
126,139151,124,0,53121,68,1585218300.0,1585220340.0,20200326 06:25,20200326 06:59,16
127,138622,503,418,103844,131,1585254840.0,1585258800.0,20200326 16:34,20200326 17:40,PO
128,139988,124,42,364,93,1585248720.0,1585250940.0,20200326 14:52,20200326 15:29,7
129,139645,150,418,87822,127,1585217100.0,1585220940.0,20200326 06:05,20200326 07:09,PO
130,138842,144,4905,7988,15,1585266780.0,1585267140.0,20200326 19:53,20200326 19:59,14
131,138766,141,3599,8926,11,1585238700.0,1585239000.0,20200326 12:05,20200326 12:10,14
132,139994,130,375,416,71,1585240260.0,1585242360.0,20200326 12:31,20200326 13:06,7
133,138408,120,0,39792,81,1585246380.0,1585248840.0,20200326 14:13,20200326 14:54,1
134,139579,726,6419,6419,24,1585267200.0,1585267320.0,20200326 20:00,20200326 20:02,34
135,140102,128,377,36170,63,1585230240.0,1585232100.0,20200326 09:44,20200326 10:15,9
136,139265,753,365,19592,44,1585224120.0,1585225380.0,20200326 08:02,20200326 08:23,2
137,140339,729,112,9020,30,1585271220.0,1585272060.0,20200326 21:07,20200326 21:21,33
138,139639,119,4156,87287,124,1585228740.0,1585232640.0,20200326 09:19,20200326 10:24,4
139,138658,111,102,11465,151,1585223400.0,1585227360.0,20200326 07:50,20200326 08:56,10G
140,139741,146,381,72600,123,1585270800.0,1585274460.0,20200326 21:00,20200326 22:01,4
141,139101,101,64,25308,53,1585220880.0,1585222440.0,20200326 07:08,20200326 07:34,15
