entry_no,tatripid,vid,start_pdist,end_pdist,num_docs,start_timestamp,end_timestamp,start_tmstmp,end_tmstmp,route_id
0,139125,105,450,49421,56,1584963480.0,1584965100.0,20200323 07:38,20200323 08:05,16
1,138764,141,3511,8936,17,1584976860.0,1584977340.0,20200323 11:21,20200323 11:29,14
2,139269,149,84,19892,41,1584980820.0,1584982020.0,20200323 12:27,20200323 12:47,2
3,140322,730,439,8975,26,1585004040.0,1585004760.0,20200323 18:54,20200323 19:06,33
4,139993,132,375,364,90,1584976200.0,1584978240.0,20200323 11:10,20200323 11:44,7
5,139566,726,303,4565,10,1584990840.0,1584991140.0,20200323 15:14,20200323 15:19,34
6,139730,149,90,92533,154,1585020300.0,1585024440.0,20200323 23:25,20200324 00:34,4
7,138561,146,215,26127,60,1584984600.0,1584986400.0,20200323 13:30,20200323 14:00,10A
8,138981,144,322,4100,22,1584995220.0,1584995820.0,20200323 16:27,20200323 16:37,14
9,138537,129,376,8335,116,1585004460.0,1585007940.0,20200323 19:01,20200323 19:59,10A
10,139434,103,454,35346,41,1584985260.0,1584986460.0,20200323 13:41,20200323 14:01,28
11,139574,726,1098,4877,27,1584998880.0,1584999660.0,20200323 17:28,20200323 17:41,34
12,139272,150,4,19591,39,1584966360.0,1584967500.0,20200323 08:26,20200323 08:45,2
13,139124,503,95,49438,56,1584961140.0,1584962820.0,20200323 06:59,20200323 07:27,16
14,139705,124,0,72766,124,1584972900.0,1584976620.0,20200323 10:15,20200323 11:17,4
15,138844,144,4947,9540,18,1584987480.0,1584988020.0,20200323 14:18,20200323 14:27,14
16,138745,134,44,34781,69,1584992400.0,1584994500.0,20200323 15:40,20200323 16:15,13
17,138852,144,3595,9465,18,1584997080.0,1584997560.0,20200323 16:58,20200323 17:06,14
18,139510,726,1235,5197,19,1584973380.0,1584973920.0,20200323 10:23,20200323 10:32,34
19,140233,730,56,8923,43,1584965580.0,1584966840.0,20200323 08:13,20200323 08:34,33
20,138525,505,376,29655,46,1585013580.0,1585014960.0,20200323 21:33,20200323 21:56,10A
21,139540,726,1044,4736,13,1584962160.0,1584962580.0,20200323 07:16,20200323 07:23,34
22,140492,703,489,8262,26,1585016400.0,1585017120.0,20200323 22:20,20200323 22:32,33
23,140438,722,0,8216,31,1584983220.0,1584984120.0,20200323 13:07,20200323 13:22,33
24,138752,143,418,17159,45,1584962640.0,1584964020.0,20200323 07:24,20200323 07:47,PO
25,139673,117,418,87822,148,1584990900.0,1584995340.0,20200323 15:15,20200323 16:29,PO
26,138927,141,279,4100,23,1584982380.0,1584983040.0,20200323 12:53,20200323 13:04,14
27,138928,141,322,4025,21,1584983700.0,1584984300.0,20200323 13:15,20200323 13:25,14
28,139344,150,0,9030,15,1584973680.0,1584974100.0,20200323 10:28,20200323 10:35,21
29,140301,722,89,8763,26,1584995040.0,1584995760.0,20200323 16:24,20200323 16:36,33
30,138652,505,93,93,3,1585007880.0,1585007940.0,20200323 19:58,20200323 19:59,10G
31,138630,119,376,41210,56,1584985320.0,1584987000.0,20200323 13:42,20200323 14:10,10G
32,139668,111,418,87822,137,1584994800.0,1584998940.0,20200323 16:20,20200323 17:29,PO
33,139458,111,0,33340,46,1584968880.0,1584970200.0,20200323 09:08,20200323 09:30,28
34,139754,501,101,72802,139,1584996300.0,1585000440.0,20200323 16:45,20200323 17:54,4
35,139725,132,85,72788,163,1584992400.0,1584997320.0,20200323 15:40,20200323 17:02,4
36,138638,128,1006,41228,60,1584961560.0,1584963360.0,20200323 07:06,20200323 07:36,10G
37,140246,703,101,9015,25,1584979140.0,1584979920.0,20200323 11:59,20200323 12:12,33
38,138652,505,393,37437,61,1585008000.0,1585009800.0,20200323 20:00,20200323 20:30,10G
39,139665,149,0,73585,119,1585016700.0,1585020240.0,20200323 22:25,20200323 23:24,4
40,139273,150,96,20009,43,1584969900.0,1584971160.0,20200323 09:25,20200323 09:46,2
41,138831,143,4622,9298,17,1584994320.0,1584994800.0,20200323 16:12,20200323 16:20,14
